,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air movement acceptability,Air movement preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
26,Brazil,0.54,1.3,69.1,0.17,54354,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,23.8,74.9,33.46,,,,,Database 2
27,Brazil,0.75,1.3,72.9,0.1,54355,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,22.6,72.7,19.69,,,,,Database 2
28,Brazil,0.5,1.3,73.5,0.22,54356,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,22.7,72.9,43.31,,,,,Database 2
29,Brazil,0.68,1.3,46.5,0.08,54357,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,21.9,71.4,15.75,,,,,Database 2
30,Brazil,0.71,1.3,56.5,0.09,54358,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,21.6,70.9,17.72,,,,,Database 2
31,Brazil,0.78,1.3,51.6,0.06,54359,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,20.6,69.1,11.81,,,,,Database 2
32,Brazil,0.68,1.3,43.0,0.1,54360,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,20.2,68.3,19.69,,,,,Database 2
33,Brazil,0.67,1.3,69.0,0.09,54361,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,22.6,72.7,17.72,,,,,Database 2
34,Brazil,0.5,1.3,74.5,0.1,54362,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,25.7,78.3,19.69,,,,,Database 2
35,Brazil,0.83,1.3,64.3,0.07,54363,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,20.3,68.5,13.78,,,,,Database 2
36,Brazil,0.72,1.3,67.9,0.1,54364,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,22.0,71.6,19.69,,,,,Database 2
37,Brazil,0.55,1.3,73.6,0.06,54365,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,25.2,77.4,11.81,,,,,Database 2
38,Brazil,0.48,1.3,75.8,0.08,54366,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,26.6,79.9,15.75,,,,,Database 2
39,Brazil,0.85,1.3,63.3,0.09,54367,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,19.8,67.6,17.72,,,,,Database 2
40,Brazil,0.83,1.3,64.3,0.08,54368,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,20.2,68.4,15.75,,,,,Database 2
41,Brazil,0.81,1.3,82.4,0.06,54369,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,17.6,63.6,11.81,,,,,Database 2
42,Brazil,0.78,1.3,83.8,0.07,54370,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,20.8,69.4,13.78,,,,,Database 2
43,Brazil,0.65,1.3,77.6,0.08,54371,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,23.3,74.0,15.75,,,,,Database 2
44,Brazil,0.68,1.3,82.1,0.06,54372,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,23.0,73.5,11.81,,,,,Database 2
45,Brazil,0.62,1.3,83.1,0.08,54373,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,24.2,75.5,15.75,,,,,Database 2
46,Brazil,0.61,1.3,81.8,0.07,54374,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,24.3,75.7,13.78,,,,,Database 2
47,Brazil,0.54,1.3,75.5,0.07,54375,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,24.9,76.8,13.78,,,,,Database 2
48,Brazil,0.51,1.3,77.2,0.14,54376,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,25.3,77.5,27.56,,,,,Database 2
49,Brazil,0.37,1.3,67.5,0.23,54377,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.7,81.8,45.28,,,,,Database 2
50,Brazil,0.34,1.3,72.0,0.16,54378,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.7,81.9,31.5,,,,,Database 2
51,Brazil,0.39,1.3,74.3,0.1,54379,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.3,81.1,19.69,,,,,Database 2
52,Brazil,0.38,1.3,74.2,0.14,54380,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,2.0,,,,28.3,82.9,27.56,,,,,Database 2
53,Brazil,0.37,1.3,75.8,0.12,54381,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,26.9,80.4,23.62,,,,,Database 2
54,Brazil,0.45,1.3,70.5,0.07,54382,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,26.3,79.4,13.78,,,,,Database 2
55,Brazil,0.67,1.3,67.5,0.17,54383,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,22.0,71.6,33.46,,,,,Database 2
56,Brazil,0.6,1.3,70.4,0.26,54384,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,21.8,71.2,51.18,,,,,Database 2
57,Brazil,0.41,1.3,59.5,0.14,54385,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,28.5,83.2,27.56,,,,,Database 2
58,Brazil,0.4,1.3,57.0,0.06,54386,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.1,80.8,11.81,,,,,Database 2
59,Brazil,0.37,1.3,68.4,0.11,54387,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.6,81.6,21.65,,,,,Database 2
60,Brazil,0.54,1.3,68.8,0.11,54388,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,24.5,76.1,21.65,,,,,Database 2
61,Brazil,0.38,1.3,63.2,0.06,54389,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.5,81.6,11.81,,,,,Database 2
62,Brazil,0.36,1.3,59.6,0.06,54390,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.9,82.3,11.81,,,,,Database 2
63,Brazil,0.33,1.3,66.0,0.07,54391,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,28.4,83.1,13.78,,,,,Database 2
64,Brazil,0.33,1.3,64.5,0.18,54392,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Spring,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,28.1,82.6,35.43,,,,,Database 2
65,Brazil,0.46,1.3,55.4,0.15,54393,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Office,Air Conditioned,,2.0,,,,25.1,77.1,29.53,,,,,Database 2
66,Brazil,0.46,1.3,55.7,0.15,54394,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Office,Air Conditioned,,2.0,,,,24.7,76.4,29.53,,,,,Database 2
67,Brazil,0.46,1.3,55.5,0.18,54395,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Office,Air Conditioned,,1.0,,,,24.6,76.2,35.43,,,,,Database 2
68,Brazil,0.46,1.3,54.4,0.15,54396,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Office,Air Conditioned,,1.0,,,,25.2,77.3,29.53,,,,,Database 2
69,Brazil,0.46,1.3,59.0,0.16,54397,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Office,Air Conditioned,,1.0,,,,24.0,75.1,31.5,,,,,Database 2
70,Brazil,0.46,1.3,57.2,0.19,54398,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Office,Air Conditioned,,1.0,,,,23.9,75.1,37.4,,,,,Database 2
71,Brazil,0.46,1.3,58.9,0.17,54399,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Aw,Tropical wet savanna,BrasÌ_lia,Office,Air Conditioned,,0.0,,,,23.5,74.4,33.46,,,,,Database 2
