,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
10,Pakistan,2.35,89.66,31.09,0.62,1.13,69.3,1.3,90236,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,2.0,cooler,32.6,90.7,32.6,90.7,31.5,88.6,30.3,86.6,30.9,87.6,30.9,87.6,255.83,1.3,255.83,Database 1
11,Pakistan,1.23,36.78,29.32,0.6,0.89,75.2,0.42,90237,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,29.9,85.8,29.9,85.8,30.0,85.9,30.0,86.0,30.0,86.0,30.0,86.0,83.17,0.42,83.17,Database 1
12,Pakistan,1.49,50.55,29.95,0.6,0.89,73.3,0.42,90238,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,1.0,cooler,30.5,86.9,30.5,86.9,30.5,86.9,30.5,86.9,30.5,86.9,30.5,86.9,83.17,0.42,83.17,Database 1
13,Pakistan,1.87,70.72,30.56,0.6,1.01,72.0,0.42,90239,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.8,87.4,30.8,87.4,30.7,87.2,30.6,87.0,30.6,87.1,30.6,87.1,83.17,0.42,83.17,Database 1
14,Pakistan,2.02,77.83,31.34,0.6,1.01,70.8,0.32,90240,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,63.96,0.32,63.96,Database 1
15,Pakistan,2.02,77.66,30.68,0.6,1.01,67.7,0.42,90241,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.1,88.0,31.1,88.0,31.2,88.2,31.3,88.4,31.3,88.3,31.3,88.3,83.17,0.42,83.17,Database 1
16,Pakistan,1.26,38.34,28.92,0.6,0.77,66.4,1.02,90242,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.4,88.5,31.4,88.5,31.3,88.4,31.3,88.3,31.3,88.3,31.3,88.3,200.81,1.02,200.81,Database 1
17,Pakistan,2.05,78.83,30.4,0.6,1.01,66.2,0.5,90243,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,1.0,no change,31.3,88.3,31.3,88.3,31.4,88.4,31.4,88.6,31.4,88.5,31.4,88.5,99.23,0.5,99.23,Database 1
18,Pakistan,2.27,87.23,34.2,0.6,1.88,66.5,0.36,90244,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.0,87.8,31.0,87.8,31.1,88.0,31.2,88.2,31.2,88.2,31.2,88.2,70.87,0.36,70.87,Database 1
19,Pakistan,1.95,74.24,30.56,0.6,1.01,67.3,0.38,90245,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,1.0,no change,30.9,87.6,30.9,87.6,31.0,87.8,31.1,88.0,31.1,88.0,31.1,88.0,75.67,0.38,75.67,Database 1
20,Pakistan,1.99,76.26,31.45,0.62,1.13,67.6,0.36,90246,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,1.0,no change,30.8,87.4,30.8,87.4,31.0,87.8,31.1,88.1,31.1,88.0,31.1,88.0,70.87,0.36,70.87,Database 1
21,Pakistan,1.94,73.83,30.62,0.6,1.01,68.5,0.38,90247,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.0,87.8,31.0,87.8,30.9,87.6,30.8,87.4,30.8,87.4,30.8,87.4,75.67,0.38,75.67,Database 1
22,Pakistan,1.75,64.15,32.06,0.6,0.89,70.1,0.12,90248,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,1.0,no change,30.4,86.7,30.4,86.7,30.6,87.0,30.7,87.3,30.7,87.3,30.7,87.3,22.76,0.12,22.76,Database 1
23,Pakistan,1.09,29.9,30.25,0.6,0.77,70.1,0.2,90249,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.0,86.0,30.0,86.0,30.3,86.6,30.7,87.2,30.6,87.1,30.6,87.1,39.86,0.2,39.86,Database 1
