,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Humidity preference,Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Fan,Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
37,Malaysia,0.66,1.0,60.0,,25254,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,24.3,75.7,,,,,,,,,,28.5,83.3,Database 2
38,Malaysia,0.45,1.2,60.0,,25255,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,24.3,75.7,,,,,,,,,,28.5,83.3,Database 2
39,Malaysia,0.94,1.0,60.0,,25256,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,24.3,75.7,,,,,,,,,,28.5,83.3,Database 2
40,Malaysia,0.73,1.2,59.0,,25257,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,23.9,75.0,,,,,,,,,,28.5,83.3,Database 2
41,Malaysia,0.76,1.0,59.0,,25258,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,23.9,75.0,,,,,,,,,,28.5,83.3,Database 2
42,Malaysia,0.86,1.0,59.0,,25259,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,23.9,75.0,,,,,,,,,,28.5,83.3,Database 2
43,Malaysia,0.7,1.2,52.0,,25260,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,25.7,78.3,,,,,,,,,,28.5,83.3,Database 2
44,Malaysia,0.71,1.0,52.0,,25261,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,25.7,78.3,,,,,,,,,,28.5,83.3,Database 2
45,Malaysia,0.79,1.2,52.0,,25262,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,25.7,78.3,,,,,,,,,,28.5,83.3,Database 2
46,Malaysia,0.73,1.2,52.0,,25263,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,25.4,77.7,,,,,,,,,,28.5,83.3,Database 2
47,Malaysia,0.55,1.2,52.0,,25264,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,25.4,77.7,,,,,,,,,,28.5,83.3,Database 2
48,Malaysia,0.48,1.0,52.0,,25265,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,25.4,77.7,,,,,,,,,,28.5,83.3,Database 2
49,Malaysia,0.86,1.2,50.0,,25266,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,23.7,74.7,,,,,,,,,,28.5,83.3,Database 2
50,Malaysia,0.77,1.0,50.0,,25267,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,23.7,74.7,,,,,,,,,,28.5,83.3,Database 2
51,Malaysia,0.57,1.2,70.0,,25268,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,29.9,85.8,,,,,,,,,,28.5,83.3,Database 2
52,Malaysia,0.73,1.0,73.0,,25269,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,29.3,84.7,,,,,,,,,,28.5,83.3,Database 2
53,Malaysia,0.76,1.0,73.0,,25270,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,29.3,84.7,,,,,,,,,,28.5,83.3,Database 2
54,Malaysia,0.63,1.2,71.0,,25271,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,28.8,83.8,,,,,,,,,,28.5,83.3,Database 2
55,Malaysia,0.59,1.0,71.0,,25272,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,28.8,83.8,,,,,,,,,,28.5,83.3,Database 2
56,Malaysia,0.57,1.2,71.0,,25273,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,28.8,83.8,,,,,,,,,,28.5,83.3,Database 2
57,Malaysia,0.76,1.0,71.0,,25274,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,28.8,83.8,,,,,,,,,,28.5,83.3,Database 2
58,Malaysia,0.57,1.2,71.0,,25275,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,28.8,83.8,,,,,,,,,,28.5,83.3,Database 2
59,Malaysia,0.65,1.0,69.0,,25276,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,29.6,85.3,,,,,,,,,,28.5,83.3,Database 2
60,Malaysia,0.87,1.2,69.0,,25277,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,29.8,85.6,,,,,,,,,,28.5,83.3,Database 2
61,Malaysia,0.78,1.0,69.0,,25278,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,29.8,85.6,,,,,,,,,,28.5,83.3,Database 2
62,Malaysia,0.63,1.2,69.0,,25279,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,30.4,86.7,,,,,,,,,,28.5,83.3,Database 2
63,Malaysia,0.68,1.0,69.0,,25280,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,30.4,86.7,,,,,,,,,,28.5,83.3,Database 2
64,Malaysia,0.84,1.0,69.0,,25281,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,30.4,86.7,,,,,,,,,,28.5,83.3,Database 2
65,Malaysia,0.62,1.0,70.0,,25282,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,30.2,86.4,,,,,,,,,,28.5,83.3,Database 2
