,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
188,Philippines,-0.5,11.0,22.92,0.39,1.3,52.1,0.11,20910,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,more,5.0,23.3,74.0,23.0,73.4,21.59,25.9,78.6,Database 2
189,Philippines,0.2,6.0,26.63,0.8,1.3,52.1,0.12,20911,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,cooler,1.0,no change,5.0,23.1,73.7,23.0,73.3,23.01,25.9,78.6,Database 2
190,Philippines,-0.3,7.0,23.9,0.64,1.2,51.6,0.09,20912,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,5.0,22.7,72.8,22.6,72.7,17.16,25.9,78.6,Database 2
191,Philippines,0.0,5.0,25.76,0.89,1.2,51.6,0.1,20913,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,no change,5.0,22.6,72.7,22.6,72.7,20.12,25.9,78.6,Database 2
192,Philippines,0.0,5.0,25.25,0.78,1.2,51.1,0.08,20914,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,warmer,1.0,no change,6.0,23.0,73.3,22.7,72.9,14.83,25.9,78.6,Database 2
193,Philippines,-0.6,12.0,22.81,0.5,1.2,50.9,0.09,20915,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,0.0,warmer,1.0,no change,5.0,23.1,73.6,22.7,72.9,18.21,25.9,78.6,Database 2
194,Philippines,0.0,5.0,25.41,0.76,1.3,52.1,0.09,20916,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,5.0,21.9,71.5,21.9,71.5,18.64,25.9,78.6,Database 2
195,Philippines,-0.6,12.0,23.42,0.78,1.2,53.6,0.15,20917,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,0.0,cooler,0.0,less,3.0,21.7,71.1,21.3,70.4,29.77,25.9,78.6,Database 2
196,Philippines,0.1,5.0,25.06,0.4,1.5,50.1,0.1,20918,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,cooler,1.0,no change,5.0,22.9,73.2,23.8,74.8,19.13,25.9,78.6,Database 2
197,Philippines,-0.4,8.0,23.74,0.5,1.1,48.0,0.07,20919,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,no change,5.0,23.8,74.8,23.9,75.0,13.35,25.9,78.6,Database 2
198,Philippines,0.2,6.0,26.07,0.56,1.4,49.1,0.11,20920,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,more,4.0,23.8,74.8,23.7,74.6,22.58,25.9,78.6,Database 2
199,Philippines,-1.3,39.0,20.57,0.4,1.3,51.7,0.21,20921,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,5.0,22.8,73.1,22.1,71.7,41.95,25.9,78.6,Database 2
200,Philippines,-2.1,79.0,17.47,0.4,1.3,57.6,0.58,20922,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,cooler,1.0,no change,5.0,23.3,74.0,21.8,71.2,113.68,25.9,78.6,Database 2
201,Philippines,0.1,5.0,25.86,0.42,1.6,55.6,0.14,20923,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,1.0,0.0,cooler,1.0,more,5.0,23.2,73.8,23.6,74.5,26.94,25.9,78.6,Database 2
