,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
91,Iran,1.15,0.8,60.7,0.05,8372,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,26.0,0.0,no change,20.0,68.1,9.84,5.0,41.0,Database 2
92,Iran,1.11,0.8,60.7,0.04,8373,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,39.0,0.0,no change,20.0,68.1,7.87,5.0,41.0,Database 2
93,Iran,1.51,1.0,60.7,0.03,8374,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,21.0,0.0,no change,20.0,68.1,5.91,5.0,41.0,Database 2
94,Iran,1.67,1.2,62.4,0.01,8375,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,45.0,0.0,no change,20.3,68.6,1.97,5.0,41.0,Database 2
95,Iran,1.15,1.9,62.4,0.02,8376,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,13.0,0.0,no change,20.3,68.6,3.94,5.0,41.0,Database 2
96,Iran,1.48,1.9,62.4,0.03,8377,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,35.0,0.0,no change,20.3,68.6,5.91,5.0,41.0,Database 2
97,Iran,1.73,1.2,57.7,0.0,8378,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,37.0,-2.0,warmer,17.0,62.5,0.0,5.0,41.0,Database 2
98,Iran,1.78,1.2,57.7,0.01,8379,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,29.0,-2.0,warmer,17.0,62.5,1.97,5.0,41.0,Database 2
99,Iran,2.0,1.6,64.0,0.03,8380,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,66.0,-1.0,warmer,18.7,65.7,5.91,5.0,41.0,Database 2
100,Iran,1.75,1.9,64.0,0.0,8381,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,58.0,-1.0,warmer,18.7,65.7,0.0,5.0,41.0,Database 2
101,Iran,1.97,1.2,64.0,0.02,8382,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,47.0,-1.0,warmer,18.7,65.7,3.94,5.0,41.0,Database 2
102,Iran,1.75,2.0,64.0,0.03,8383,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,42.0,0.0,warmer,18.7,65.7,5.91,5.0,41.0,Database 2
103,Iran,2.0,2.0,64.0,0.0,8384,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,24.0,-1.0,warmer,18.7,65.7,0.0,5.0,41.0,Database 2
104,Iran,1.7,0.8,62.8,0.05,8385,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,69.0,0.0,no change,19.7,67.4,9.84,5.0,41.0,Database 2
105,Iran,1.75,2.4,62.8,0.04,8386,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,64.0,0.0,warmer,19.7,67.4,7.87,5.0,41.0,Database 2
106,Iran,1.67,1.0,62.8,0.01,8387,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,60.0,0.0,warmer,19.7,67.4,1.97,5.0,41.0,Database 2
