,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Database
30,Indonesia,0.53,1.0,64.0,83394,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,-1.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
31,Indonesia,0.63,1.0,64.0,83395,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,26.0,-2.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
32,Indonesia,0.63,1.0,67.0,83396,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,-2.0,24.0,75.2,24.0,75.2,24.3,75.7,Database 1
33,Indonesia,0.63,1.0,67.0,83397,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,-1.0,24.0,75.2,24.0,75.2,24.3,75.7,Database 1
34,Indonesia,0.53,1.0,67.0,83398,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,-1.0,24.0,75.2,24.0,75.2,24.3,75.7,Database 1
35,Indonesia,0.63,1.0,67.0,83399,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,26.0,0.0,24.0,75.2,24.0,75.2,24.3,75.7,Database 1
36,Indonesia,0.53,1.0,67.0,83400,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,26.0,-2.0,24.0,75.2,24.0,75.2,24.3,75.7,Database 1
37,Indonesia,0.63,1.0,67.0,83401,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,-2.0,24.0,75.2,24.0,75.2,24.3,75.7,Database 1
38,Indonesia,0.53,1.0,67.0,83402,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,29.0,-2.0,24.0,75.2,24.0,75.2,24.3,75.7,Database 1
39,Indonesia,0.53,1.0,62.0,83403,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,40.0,-2.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
40,Indonesia,0.53,1.0,62.0,83404,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,35.0,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
41,Indonesia,0.63,1.0,62.0,83405,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,-1.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
42,Indonesia,0.53,1.0,62.0,83406,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,27.0,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
43,Indonesia,0.63,1.0,62.0,83407,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
44,Indonesia,0.53,1.0,62.0,83408,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,28.0,-2.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
45,Indonesia,0.63,1.0,62.0,83409,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,25.0,-1.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
46,Indonesia,0.53,1.0,62.0,83410,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
47,Indonesia,0.53,1.0,62.0,83411,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,27.0,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
48,Indonesia,0.53,1.0,62.0,83412,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,35.0,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
49,Indonesia,0.53,1.0,62.0,83413,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,40.0,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
50,Indonesia,0.53,1.0,62.0,83414,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,25.0,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
51,Indonesia,0.63,1.0,62.0,83415,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
52,Indonesia,0.53,1.0,62.0,83416,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,24.0,75.2,24.0,75.2,24.5,76.1,Database 1
53,Indonesia,0.53,1.0,62.0,83417,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,45.0,0.0,26.0,78.8,26.0,78.8,26.5,79.7,Database 1
54,Indonesia,0.53,1.0,62.0,83418,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,40.0,-1.0,26.0,78.8,26.0,78.8,26.5,79.7,Database 1
55,Indonesia,0.63,1.0,62.0,83419,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,33.0,-2.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
56,Indonesia,0.63,1.0,62.0,83420,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,33.0,-2.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
57,Indonesia,0.53,1.0,62.0,83421,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,31.0,0.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
58,Indonesia,0.63,1.0,62.0,83422,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,34.0,-1.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
59,Indonesia,0.63,1.0,62.0,83423,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,32.0,0.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
60,Indonesia,0.63,1.0,62.0,83424,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
61,Indonesia,0.53,1.0,62.0,83425,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,28.0,-1.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
62,Indonesia,0.53,1.0,62.0,83426,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,31.0,0.0,24.0,75.2,24.0,75.2,24.6,76.3,Database 1
63,Indonesia,0.63,1.0,63.0,83427,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
64,Indonesia,0.63,1.0,63.0,83428,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
65,Indonesia,0.53,1.0,63.0,83429,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,30.0,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
66,Indonesia,0.63,1.0,63.0,83430,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
67,Indonesia,0.53,1.0,63.0,83431,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,24.0,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
68,Indonesia,0.63,1.0,63.0,83432,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,29.0,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
69,Indonesia,0.53,1.0,63.0,83433,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,30.0,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
70,Indonesia,0.63,1.0,63.0,83434,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,25.0,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
71,Indonesia,0.53,1.0,63.0,83435,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,-1.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
72,Indonesia,0.63,1.0,63.0,83436,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,-1.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
73,Indonesia,0.53,1.0,63.0,83437,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,21.0,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
74,Indonesia,0.63,1.0,63.0,83438,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,25.0,77.0,25.0,77.0,24.4,75.9,Database 1
