,Country,Clo,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Database
26,Canada,0.6,43.6,83986,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,43.0,0.0,no change,22.9,73.2,23.4,74.1,Database 1
27,Canada,0.5,43.0,83987,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,33.0,-1.0,warmer,23.1,73.6,23.6,74.5,Database 1
28,Canada,0.5,42.1,83988,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,45.0,-1.0,warmer,23.5,74.3,23.5,74.3,Database 1
29,Canada,0.3,40.1,83989,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,37.0,0.0,cooler,24.3,75.7,24.4,75.9,Database 1
30,Canada,0.5,41.6,83990,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,63.0,-1.0,no change,23.5,74.3,23.4,74.1,Database 1
31,Canada,0.8,44.0,83991,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,36.0,-2.0,warmer,22.2,72.0,22.5,72.5,Database 1
32,Canada,0.6,45.9,83992,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,39.0,-2.0,warmer,21.5,70.7,21.8,71.2,Database 1
33,Canada,0.6,43.1,83993,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,29.0,0.0,no change,22.5,72.5,22.7,72.9,Database 1
34,Canada,0.6,40.5,83994,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,38.0,-1.0,no change,23.6,74.5,23.8,74.8,Database 1
35,Canada,0.9,44.0,83995,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,55.0,-1.0,warmer,21.9,71.4,22.2,72.0,Database 1
36,Canada,0.3,40.0,83996,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,45.0,1.0,no change,23.6,74.5,23.6,74.5,Database 1
37,Canada,0.8,44.7,83997,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,43.0,-2.0,warmer,21.6,70.9,21.8,71.2,Database 1
38,Canada,0.7,42.2,83998,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,46.0,-1.0,no change,22.6,72.7,23.0,73.4,Database 1
