,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
30,Japan,0.34,,51.5,30,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-1.0,cooler,5.0,23.6,74.4,25.0,77.0,Database 2
31,Japan,0.49,,72.8,31,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,no change,3.0,26.9,80.5,18.0,64.4,Database 2
32,Japan,0.45,,72.8,32,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,no change,5.0,26.9,80.5,18.0,64.4,Database 2
33,Japan,0.34,,72.8,33,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,warmer,3.0,26.9,80.5,18.0,64.4,Database 2
34,Japan,0.34,,72.8,34,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,no change,3.0,26.9,80.5,18.0,64.4,Database 2
35,Japan,0.34,,72.8,35,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-0.0,cooler,1.0,26.9,80.5,18.0,64.4,Database 2
36,Japan,,,72.8,36,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,cooler,4.0,26.9,80.5,18.0,64.4,Database 2
37,Japan,0.33,,72.8,37,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,2.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
38,Japan,0.24,,72.8,38,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,2.0,cooler,4.0,26.9,80.5,18.0,64.4,Database 2
39,Japan,0.34,,72.8,39,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,cooler,1.0,26.9,80.5,18.0,64.4,Database 2
