,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,activity_10,activity_30,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Blind (curtain),Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
1049,Tunisia,-1.3,42.0,20.94,0.97,1.1,65.0,0.14,28074,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.0,1.2,17.5,63.5,17.5,63.5,17.7,63.9,17.9,64.2,27.19,0.14,27.21,0.0,0.0,13.0,55.4,Database 2
1050,Tunisia,-0.9,21.0,21.6,0.74,1.4,61.0,0.1,28075,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,1.0,2.0,1.6,1.0,16.6,61.9,16.6,61.9,17.0,62.6,17.3,63.1,19.97,0.1,19.99,0.0,0.0,13.0,55.4,Database 2
1051,Tunisia,-0.5,10.0,23.92,0.95,1.2,64.0,0.16,28076,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,-1.0,,1.2,1.2,19.4,66.9,19.4,66.9,19.6,67.4,19.9,67.8,30.7,0.16,30.72,0.0,1.0,13.0,55.4,Database 2
1052,Tunisia,-0.3,7.0,24.54,0.89,1.4,71.0,0.17,28077,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,2.0,18.6,65.5,18.6,65.5,18.7,65.7,18.9,66.0,32.89,0.17,32.91,0.0,0.0,13.0,55.4,Database 2
1053,Tunisia,-0.6,12.0,23.28,1.17,1.2,70.0,0.27,28078,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,1.2,18.4,65.1,18.4,65.1,18.4,65.2,18.5,65.3,53.9,0.27,53.94,0.0,0.0,13.0,55.4,Database 2
1054,Tunisia,-2.2,84.0,18.52,0.66,1.1,65.0,0.14,28079,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,2.0,1.0,1.2,17.5,63.5,17.5,63.5,17.7,63.9,17.9,64.2,27.19,0.14,27.21,0.0,0.0,13.0,55.4,Database 2
1055,Tunisia,-1.2,37.0,20.7,0.81,1.2,60.0,0.47,28080,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.0,1.6,20.1,68.2,20.1,68.2,20.1,68.2,20.2,68.4,93.03,0.47,93.1,,,13.0,55.4,Database 2
1056,Tunisia,-1.6,56.0,19.55,0.72,1.2,64.0,0.27,28081,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,1.2,18.5,65.3,18.5,65.3,18.5,65.4,18.6,65.5,52.56,0.27,52.6,0.0,1.0,13.0,55.4,Database 2
1057,Tunisia,-1.1,32.0,21.41,0.98,1.1,61.0,0.12,28082,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,1.0,2.0,1.0,1.2,18.1,64.6,18.1,64.6,18.3,64.9,18.4,65.1,23.07,0.12,23.09,0.0,0.0,13.0,55.4,Database 2
1058,Tunisia,,,,,1.2,66.0,0.29,28083,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,1.2,18.7,65.7,18.7,65.7,18.8,65.9,19.0,66.2,57.89,0.29,57.93,0.0,0.0,13.0,55.4,Database 2
1059,Tunisia,-0.9,21.0,22.2,0.84,1.2,70.0,0.16,28084,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,1.2,18.9,66.0,18.9,66.0,19.0,66.3,19.2,66.6,31.81,0.16,31.83,0.0,0.0,13.0,55.4,Database 2
1060,Tunisia,-0.7,15.0,22.92,0.92,1.2,70.0,0.16,28085,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,1.2,18.9,66.0,18.9,66.0,19.0,66.3,19.2,66.6,31.81,0.16,31.83,0.0,0.0,13.0,55.4,Database 2
1061,Tunisia,-0.8,19.0,22.59,1.43,1.1,59.0,0.35,28086,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.0,1.2,17.4,63.3,17.4,63.3,17.5,63.5,17.7,63.9,68.01,0.35,68.06,0.0,0.0,13.0,55.4,Database 2
1062,Tunisia,-0.2,6.0,24.96,0.87,1.6,70.0,0.15,28087,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.6,1.6,17.8,64.0,17.8,64.0,17.9,64.1,17.9,64.2,29.27,0.15,29.3,0.0,0.0,13.0,55.4,Database 2
1063,Tunisia,-0.8,18.0,22.46,1.08,1.2,65.0,0.22,28088,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,1.2,17.9,64.2,17.9,64.2,18.0,64.4,18.1,64.6,44.04,0.22,44.07,0.0,0.0,13.0,55.4,Database 2
1064,Tunisia,0.4,8.0,26.02,0.33,1.8,65.0,0.21,28089,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.0,3.8,24.2,75.6,24.2,75.6,24.2,75.6,24.3,75.7,41.82,0.21,41.85,0.0,0.0,27.0,80.6,Database 2
1065,Tunisia,-0.4,8.0,23.52,0.38,1.3,65.0,0.21,28090,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,2.0,1.0,2.0,24.2,75.6,24.2,75.6,24.2,75.6,24.3,75.7,41.82,0.21,41.85,0.0,0.0,27.0,80.6,Database 2
1066,Tunisia,-0.6,13.0,22.98,0.38,1.1,68.0,0.1,28091,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,1.0,5.0,1.0,1.2,24.1,75.4,24.1,75.4,24.3,75.7,24.4,75.9,20.22,0.1,20.24,0.0,0.0,27.0,80.6,Database 2
1067,Tunisia,-1.7,61.0,20.54,0.5,1.1,59.0,0.19,28092,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,2.0,1.0,1.2,21.0,69.8,21.0,69.8,21.3,70.4,21.7,71.1,37.33,0.19,37.36,0.0,0.0,27.0,80.6,Database 2
1068,Tunisia,-1.5,49.0,21.31,0.45,1.0,62.0,0.15,28093,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,,1.0,1.0,23.2,73.8,23.2,73.8,23.0,73.5,22.9,73.2,29.45,0.15,29.47,0.0,0.0,27.0,80.6,Database 2
1069,Tunisia,-2.1,82.0,19.95,0.38,1.0,60.0,0.16,28094,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,-1.0,5.0,1.0,1.0,21.6,70.9,21.6,70.9,21.8,71.3,22.1,71.8,31.65,0.16,31.67,0.0,0.0,27.0,80.6,Database 2
1070,Tunisia,-1.7,61.0,21.31,0.18,1.0,59.0,0.14,28095,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,1.0,2.0,1.0,1.0,24.7,76.5,24.7,76.5,24.7,76.5,24.7,76.5,27.59,0.14,27.61,0.0,0.0,27.0,80.6,Database 2
1071,Tunisia,-0.5,11.0,23.63,0.5,1.1,65.0,0.17,28096,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.0,1.2,24.5,76.1,24.5,76.1,24.5,76.1,24.5,76.1,32.9,0.17,32.93,0.0,0.0,27.0,80.6,Database 2
1072,Tunisia,-1.0,25.0,22.33,0.33,1.1,68.0,0.19,28097,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.0,1.2,24.7,76.5,24.7,76.5,24.7,76.5,24.8,76.6,38.15,0.19,38.18,0.0,0.0,27.0,80.6,Database 2
1073,Tunisia,0.7,15.0,28.78,0.77,1.3,72.0,0.18,28098,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,1.0,5.0,1.0,2.0,25.4,77.7,25.4,77.7,25.3,77.5,25.1,77.2,35.56,0.18,35.58,0.0,0.0,27.0,80.6,Database 2
1074,Tunisia,-0.7,15.0,23.51,0.4,1.0,60.0,0.14,28099,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.0,1.0,25.1,77.2,25.1,77.2,25.1,77.2,25.1,77.2,26.84,0.14,26.86,0.0,1.0,27.0,80.6,Database 2
1075,Tunisia,0.0,5.0,25.0,0.39,1.3,60.0,0.17,28100,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1996.0,Summer,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.0,2.0,25.1,77.2,25.1,77.2,25.1,77.2,25.1,77.2,32.49,0.17,32.51,0.0,1.0,27.0,80.6,Database 2
