,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Blind (curtain),Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
22,Germany,0.66,1.4,47.7,0.04,74267,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,22.9,73.2,7.87,0.0,0.0,1.0,22.5,72.5,Database 2
23,Germany,0.72,2.8,39.3,3.1,74268,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,24.4,75.9,610.17,0.0,0.0,0.0,22.5,72.5,Database 2
24,Germany,0.47,1.3,42.2,0.16,74269,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,24.0,75.2,31.49,0.0,0.0,0.0,22.5,72.5,Database 2
25,Germany,0.66,1.4,44.3,1.18,74270,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,22.9,73.2,232.26,0.0,0.0,0.0,22.5,72.5,Database 2
26,Germany,0.71,2.7,40.0,1.53,74271,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,warmer,25.2,77.4,301.15,0.0,0.0,0.0,22.5,72.5,Database 2
27,Germany,0.71,1.4,32.2,3.97,74272,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,24.8,76.6,781.42,0.0,0.0,1.0,22.5,72.5,Database 2
28,Germany,0.61,1.0,27.0,0.1,74273,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,25.6,78.1,19.68,0.0,1.0,1.0,22.5,72.5,Database 2
29,Germany,0.61,1.2,31.9,1.64,74274,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,28.3,82.9,322.8,0.0,0.0,0.0,22.5,72.5,Database 2
30,Germany,0.71,1.2,23.8,0.04,74275,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,29.9,85.8,7.87,0.0,0.0,1.0,22.5,72.5,Database 2
31,Germany,0.61,1.3,23.8,0.04,74276,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,29.9,85.8,7.87,0.0,0.0,1.0,22.5,72.5,Database 2
