,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
23,Sweden,0.7,16.0,28.3,0.51,1.8,54.0,0.0,49999,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,less,23.9,75.0,24.3,75.7,24.3,75.7,no change,0.0,0.0,,,Database 2
24,Sweden,0.0,5.0,25.24,0.63,1.2,57.4,0.0,50000,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,no change,22.9,73.2,24.7,76.5,24.4,75.9,no change,0.0,0.0,,,Database 2
25,Sweden,1.0,25.0,30.44,0.7,1.9,54.9,0.0,50001,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,no change,23.7,74.7,24.3,75.7,24.2,75.6,drier,-1.0,0.0,,,Database 2
26,Sweden,-0.1,5.0,25.05,0.72,1.2,53.2,0.0,50002,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0.0,no change,more,22.4,72.3,23.8,74.8,23.4,74.1,no change,0.0,0.0,,,Database 2
27,Sweden,1.3,39.0,31.07,0.49,2.4,49.4,0.0,50003,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0.0,no change,no change,23.6,74.5,24.1,75.4,24.0,75.2,more humid,2.0,0.0,,,Database 2
28,Sweden,0.8,18.0,28.68,0.53,1.9,49.6,0.0,50004,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0.0,no change,no change,23.3,73.9,24.8,76.6,24.3,75.7,no change,0.0,0.0,,,Database 2
29,Sweden,0.4,8.0,26.98,0.63,1.6,52.2,0.0,50005,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0.0,no change,no change,22.5,72.5,24.6,76.3,23.8,74.8,more humid,2.0,0.0,,,Database 2
30,Sweden,0.3,7.0,26.51,0.69,1.2,51.6,0.1,50006,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1.0,cooler,no change,23.8,74.8,25.0,77.0,24.6,76.3,more humid,2.0,19.69,,,Database 2
31,Sweden,0.7,15.0,28.2,0.53,1.8,51.3,0.0,50007,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1.0,cooler,no change,23.2,73.8,25.3,77.5,24.7,76.5,drier,-1.0,0.0,,,Database 2
32,Sweden,0.1,5.0,25.7,0.63,1.2,50.9,0.1,50008,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0.0,no change,no change,22.6,72.7,25.1,77.2,24.2,75.6,more humid,2.0,19.69,,,Database 2
