,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Database
23,France,0.9,21.0,28.44,0.64,1.2,48.0,0.1,50189,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,26.8,80.2,27.0,80.6,26.9,80.4,drier,-2.0,19.69,Database 2
24,France,0.3,7.0,25.97,0.39,1.0,47.6,0.1,50190,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,26.6,79.9,28.1,82.6,27.5,81.5,more humid,1.0,19.69,Database 2
25,France,0.9,21.0,28.51,0.58,1.3,49.3,0.1,50191,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,26.4,79.5,27.5,81.5,27.0,80.6,no change,0.0,19.69,Database 2
26,France,0.5,10.0,26.78,0.59,1.1,49.6,0.1,50192,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,26.3,79.3,26.7,80.1,26.5,79.7,no change,-2.0,19.69,Database 2
27,France,0.9,22.0,29.62,0.77,1.4,55.5,0.1,50193,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,no change,24.2,75.6,27.1,80.8,25.7,78.3,no change,-1.0,19.69,Database 2
28,France,0.5,10.0,26.83,0.61,1.1,50.2,0.1,50194,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,-1.0,no change,less,26.1,79.0,26.9,80.4,26.5,79.7,drier,-2.0,19.69,Database 2
29,France,0.8,18.0,28.57,0.6,1.4,55.4,0.1,50195,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.2,77.4,26.1,79.0,25.8,78.4,drier,-1.0,19.69,Database 2
30,France,0.6,12.0,28.1,0.7,1.6,45.2,0.1,50294,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,no change,22.8,73.0,26.7,80.1,23.8,74.8,drier,-1.0,19.69,Database 2
31,France,0.4,9.0,26.9,0.69,1.3,40.0,0.0,50297,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,24.1,75.4,26.8,80.2,24.8,76.6,no change,1.0,0.0,Database 2
32,France,0.3,7.0,26.13,0.65,1.2,40.4,0.0,50300,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,cooler,less,24.6,76.3,27.2,81.0,25.3,77.5,drier,-1.0,0.0,Database 2
33,France,0.4,8.0,26.7,0.62,1.3,40.9,0.1,50302,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,-1.0,warmer,no change,23.7,74.7,27.5,81.5,24.8,76.6,no change,0.0,19.69,Database 2
34,France,0.8,18.0,28.28,0.54,1.7,39.5,0.0,50303,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,24.7,76.5,27.1,80.8,25.4,77.7,no change,0.0,0.0,Database 2
35,France,0.2,6.0,26.02,0.61,1.2,39.0,0.1,50305,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,-1.0,no change,no change,25.0,77.0,27.1,80.8,25.5,77.9,more humid,1.0,19.69,Database 2
36,France,0.4,8.0,26.38,0.62,1.3,44.8,0.0,50309,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,-1.0,warmer,no change,24.7,76.5,26.0,78.8,25.0,77.0,no change,0.0,0.0,Database 2
37,France,-0.8,18.0,22.92,0.51,1.0,59.4,0.1,50413,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,23.2,73.8,24.0,75.2,23.7,74.7,no change,-2.0,19.69,Database 2
38,France,-0.9,24.0,22.57,0.43,1.0,59.2,0.1,50414,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,-2.0,warmer,more,23.2,73.8,24.3,75.7,23.9,75.0,drier,-1.0,19.69,Database 2
39,France,0.4,8.0,27.08,1.01,1.1,39.3,0.1,50762,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,23.9,75.0,24.8,76.6,24.5,76.1,no change,0.0,19.69,Database 2
40,France,0.7,14.0,28.19,0.67,1.6,39.3,0.1,50765,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,23.8,74.8,25.2,77.4,24.7,76.5,no change,0.0,19.69,Database 2
41,France,0.2,6.0,25.87,0.61,1.2,36.6,0.1,50768,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,24.8,76.6,25.5,77.9,25.2,77.4,more humid,3.0,19.69,Database 2
42,France,0.7,15.0,28.39,0.87,1.3,35.9,0.1,50770,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,24.9,76.8,25.8,78.4,25.4,77.7,no change,0.0,19.69,Database 2
