,Country,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Age,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
30,Denmark,36.1,26885,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,0.0,1.0,cooler,more,4.0,22.3,72.2,0.8,33.5,Database 2
31,Denmark,36.1,26886,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,-0.0,1.0,no change,more,4.0,22.3,72.2,0.8,33.5,Database 2
32,Denmark,36.1,26887,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,19.0,1.0,0.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
33,Denmark,36.1,26888,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,0.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
34,Denmark,36.1,26889,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,3.0,25.5,77.9,0.8,33.5,Database 2
35,Denmark,36.1,26890,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,2.0,1.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
36,Denmark,36.1,26891,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,2.0,0.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
37,Denmark,36.1,26892,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
38,Denmark,36.1,26893,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,1.0,no change,more,3.0,25.5,77.9,0.8,33.5,Database 2
39,Denmark,36.1,26894,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,0.0,1.0,cooler,no change,4.0,25.5,77.9,0.8,33.5,Database 2
40,Denmark,36.1,26895,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,4.0,25.5,77.9,0.8,33.5,Database 2
41,Denmark,37.0,26896,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,0.0,cooler,more,3.0,25.7,78.3,0.8,33.5,Database 2
42,Denmark,36.1,26897,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,2.0,0.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
43,Denmark,34.4,26898,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-1.0,1.0,no change,more,4.0,23.8,74.8,0.8,33.5,Database 2
44,Denmark,36.1,26899,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,19.0,1.0,1.0,cooler,,3.0,25.5,77.9,0.8,33.5,Database 2
45,Denmark,36.1,26900,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,2.0,0.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
46,Denmark,36.1,26901,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,1.0,1.0,no change,no change,4.0,25.5,77.9,0.8,33.5,Database 2
47,Denmark,34.5,26902,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,0.0,1.0,no change,no change,4.0,25.1,77.1,0.8,33.5,Database 2
48,Denmark,34.5,26903,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,4.0,25.1,77.1,0.8,33.5,Database 2
49,Denmark,36.1,26904,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,0.0,cooler,more,4.0,25.5,77.9,0.8,33.5,Database 2
50,Denmark,36.1,26905,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,1.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
51,Denmark,34.5,26906,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-0.0,1.0,no change,,4.0,25.1,77.1,0.8,33.5,Database 2
52,Denmark,36.1,26907,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,cooler,more,3.0,25.5,77.9,0.8,33.5,Database 2
53,Denmark,34.5,26908,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-0.0,1.0,no change,more,3.0,25.1,77.1,0.8,33.5,Database 2
54,Denmark,34.5,26909,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,-1.0,1.0,cooler,no change,4.0,25.1,77.1,0.8,33.5,Database 2
55,Denmark,34.5,26910,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,,4.0,25.1,77.1,0.8,33.5,Database 2
56,Denmark,36.2,26911,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,1.0,cooler,more,3.0,25.7,78.2,0.8,33.5,Database 2
57,Denmark,34.5,26912,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,-0.0,1.0,no change,more,4.0,25.1,77.1,0.8,33.5,Database 2
58,Denmark,34.6,26913,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,16.0,0.0,1.0,cooler,no change,4.0,23.8,74.9,0.8,33.5,Database 2
59,Denmark,34.5,26914,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,-1.0,1.0,no change,no change,3.0,25.1,77.2,0.8,33.5,Database 2
60,Denmark,34.5,26915,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,2.0,0.0,cooler,more,3.0,25.1,77.2,0.8,33.5,Database 2
61,Denmark,36.1,26916,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,0.0,1.0,no change,more,4.0,22.6,72.7,0.8,33.5,Database 2
62,Denmark,37.5,26917,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,1.0,0.0,cooler,more,3.0,25.8,78.4,0.8,33.5,Database 2
63,Denmark,37.5,26918,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,17.0,1.0,1.0,cooler,no change,4.0,25.8,78.4,0.8,33.5,Database 2
64,Denmark,39.2,26919,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,1.0,1.0,cooler,more,4.0,23.9,75.0,0.8,33.5,Database 2
65,Denmark,38.5,26920,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,18.0,2.0,1.0,cooler,more,3.0,25.0,77.0,0.8,33.5,Database 2
66,Denmark,38.5,26921,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Classroom,Naturally Ventilated,Mechanical Heating,19.0,1.0,1.0,cooler,more,4.0,25.0,77.0,0.8,33.5,Database 2
