,Country,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
23,Nigeria,68.0,0.0,75777,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,1.0,,more,37.0,98.6,no change,-1.0,0.0,38.1,100.6,Database 2
24,Nigeria,68.0,0.5,75778,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,1.0,no change,no change,36.0,96.8,,0.0,98.0,38.1,100.6,Database 2
25,Nigeria,68.0,0.5,75779,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,,more,36.0,96.8,drier,-3.0,98.0,38.1,100.6,Database 2
26,Nigeria,69.0,0.7,75780,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,68.0,1.0,cooler,more,35.0,95.0,,-3.0,137.2,38.1,100.6,Database 2
27,Nigeria,54.0,0.0,75781,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,cooler,more,35.0,95.0,drier,-2.0,0.0,38.1,100.6,Database 2
28,Nigeria,74.0,0.7,75782,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,cooler,more,38.0,100.4,no change,-2.0,137.2,38.1,100.6,Database 2
29,Nigeria,59.0,0.5,75783,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,1.0,cooler,more,36.0,96.8,more humid,-3.0,98.0,38.1,100.6,Database 2
30,Nigeria,80.0,0.0,75784,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,68.0,2.0,no change,more,35.0,95.0,drier,-2.0,0.0,38.1,100.6,Database 2
31,Nigeria,68.0,0.7,75785,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,68.0,2.0,no change,more,33.0,91.4,no change,1.0,137.2,38.1,100.6,Database 2
32,Nigeria,59.0,0.5,75786,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,,more,37.0,98.6,no change,-3.0,98.0,38.1,100.6,Database 2
