,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Age,Thermal sensation,activity_20,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
25,Belgium,0.7,2.4,54.3,0.0,65052,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,2.4,21.2,70.2,0.0,5.0,41.0,Database 2
26,Belgium,0.72,1.2,56.7,0.0,65053,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,65.0,0.0,1.2,20.4,68.7,0.0,5.0,41.0,Database 2
27,Belgium,0.4,1.6,61.1,0.0,65054,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.6,21.1,70.0,0.0,5.0,41.0,Database 2
28,Belgium,0.66,1.2,57.8,0.0,65055,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,0.0,1.2,20.9,69.6,0.0,5.0,41.0,Database 2
29,Belgium,0.69,1.0,59.0,0.0,65056,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,-1.0,1.6,17.3,63.1,0.0,5.0,41.0,Database 2
30,Belgium,1.1,1.0,41.0,0.0,65057,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,-2.0,1.6,14.0,57.2,0.0,5.0,41.0,Database 2
31,Belgium,0.75,1.6,45.0,0.0,65058,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,-2.0,1.2,13.0,55.4,0.0,5.0,41.0,Database 2
32,Belgium,1.11,1.0,54.0,0.0,65059,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,0.0,1.0,19.0,66.2,0.0,5.0,41.0,Database 2
33,Belgium,1.11,1.0,51.0,0.0,65060,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,0.0,1.0,19.0,66.2,0.0,5.0,41.0,Database 2
34,Belgium,1.0,1.0,46.0,0.0,65061,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.0,19.0,66.2,0.0,5.0,41.0,Database 2
35,Belgium,1.0,1.0,53.0,0.0,65062,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.6,20.0,68.0,0.0,5.0,41.0,Database 2
36,Belgium,1.01,1.0,50.0,0.0,65063,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,0.8,18.0,64.4,0.0,5.0,41.0,Database 2
37,Belgium,1.01,1.0,62.0,0.0,65064,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,0.0,1.2,18.0,64.4,0.0,5.0,41.0,Database 2
38,Belgium,0.75,1.0,56.0,0.0,65065,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,2.4,18.7,65.7,0.0,5.0,41.0,Database 2
39,Belgium,1.0,1.0,66.0,0.0,65066,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,20.0,0.0,2.4,18.0,64.4,0.0,5.0,41.0,Database 2
40,Belgium,0.91,1.0,50.0,0.0,65067,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,1.0,1.0,20.0,68.0,0.0,5.0,41.0,Database 2
41,Belgium,0.76,1.0,63.0,0.0,65068,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.6,19.0,66.2,0.0,5.0,41.0,Database 2
42,Belgium,1.1,1.0,68.0,0.0,65069,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,-1.0,1.2,18.0,64.4,0.0,5.0,41.0,Database 2
43,Belgium,1.04,1.0,57.0,0.0,65070,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,0.0,0.8,20.0,68.0,0.0,5.0,41.0,Database 2
44,Belgium,0.76,1.0,53.0,0.0,65071,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.0,19.0,66.2,0.0,5.0,41.0,Database 2
45,Belgium,0.66,1.0,63.0,0.0,65072,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,0.0,2.4,19.0,66.2,0.0,5.0,41.0,Database 2
46,Belgium,0.86,1.0,42.4,0.0,65073,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,-1.0,2.4,17.0,62.6,0.0,5.0,41.0,Database 2
47,Belgium,0.86,1.0,56.7,0.0,65074,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,-1.0,1.6,18.0,64.4,0.0,5.0,41.0,Database 2
48,Belgium,0.56,1.0,35.8,0.0,65075,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,65.0,-2.0,1.6,13.2,55.8,0.0,5.0,41.0,Database 2
