,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
82727,29,1,0.1,24.9,25.5,61.6,0.56,1.1,13.4,1
82728,26,1,0.11,25.1,25.5,61,0.45,1.1,13.4,0
82729,33,2,0.09,24.7,25.2,61.2,0.75,1.1,13.4,-1
82730,28,1,0.13,24.8,25.3,61.5,0.65,1.1,13.4,0
82731,34,1,0.12,25.1,25.8,61.3,0.56,1.1,13.4,1
82732,32,1,0.09,25.4,25.8,60.6,0.65,1.1,13.4,0
82733,31,1,0.1,25.1,25.6,60.9,0.65,1.1,13.4,1
82734,34,1,0.12,25.6,25.8,60.2,0.65,1.1,13.4,1
82735,32,1,0.1,25.7,26,59.9,0.56,1.1,13.4,1
82736,38,1,0.11,25.8,26.2,59.8,0.56,1.1,13.4,0
82737,33,1,0.12,25.7,26.1,59.6,0.65,1.1,13.4,0
82738,31,2,0.12,25.3,25.8,59.9,0.47,1.1,13.4,1
82739,25,1,0.11,25.3,25.7,59.9,0.56,1.1,13.4,-1
82740,28,2,0.12,25.3,25.7,59.8,0.46,1.1,13.4,0
82741,37,1,0.11,25.4,25.8,60,0.56,1.1,13.4,0
82742,29,1,0.1,25.5,25.8,59.4,0.56,1.1,13.4,0
82743,22,1,0.17,25.1,25.7,59.8,0.56,1.1,13.4,1
82744,24,1,0.12,25.3,26,59.3,0.65,1.1,13.4,1
82745,49,1,0.13,25.3,25.8,59.6,0.65,1.1,13.4,-1
82746,39,1,0.1,25.4,25.9,59.3,0.65,1.1,13.4,1
82747,29,1,0.12,25.8,26.1,59.1,0.56,1.1,13.4,1
82748,40,1,0.12,25.7,26.1,58.7,0.65,1.1,13.4,0
82749,28,1,0.11,25.5,25.9,59.2,0.56,1.1,13.4,-1
82750,37,1,0.1,25.5,26,59.2,0.65,1.1,13.4,1
82751,30,1,0.19,24.3,25,61.1,0.51,1.1,13.4,0
82752,56,1,0.11,24.8,25.1,60.7,0.72,1.1,13.4,-1
82753,34,1,0.12,25.2,25.6,62.3,0.65,1.1,13.4,-1
82754,38,2,0.11,23.8,24.4,64.8,0.46,1.1,13.4,0
82755,32,1,0.12,24.3,24.8,64.4,0.56,1.1,13.4,1
82756,41,2,0.13,24.8,25.1,63.4,0.71,1.1,13.4,-2
82757,35,2,0.1,24.8,25.4,63.1,0.46,1.1,13.4,1
82758,30,1,0.12,25.1,25.8,63.4,0.56,1.1,13.4,1
82759,35,1,0.1,25.1,25.9,62.5,0.56,1.1,13.4,1
82760,25,2,0.11,24.9,25.9,62.9,0.67,1.1,13.4,2
82761,26,1,0.13,24.9,25.6,63.1,0.6,1.1,13.4,1
82762,42,2,0.11,24.8,25.1,62.8,0.47,1.1,13.4,1
82763,30,2,0.11,24.3,24.8,63.8,0.56,1.1,13.4,0
82764,43,1,0.1,24.5,25,63.7,0.72,1.1,13.4,0
82765,31,1,0.1,24.6,25.2,63.7,0.65,1.1,13.4,0
82766,28,1,0.13,24.5,25.5,63.7,0.56,1.1,13.4,1
82767,25,2,0.11,24.3,25.4,63.7,0.39,1.1,13.4,1
82768,23,1,0.1,24.2,25.3,63.7,0.65,1.1,13.4,0
82769,30,1,0.11,23.5,24.3,64.8,0.56,1.1,13.4,-1
82770,19,1,0.1,23.2,24,65.2,0.56,1.1,13.4,0
82771,34,1,0.1,23.2,24,65.5,0.32,1.1,13.4,-2
