,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
53936,31,2,0.01,25.8,26.1,43.5,0.49,1.2,14.6,2
53938,31,2,0.01,23.8,24.4,45,0.66,1.3,14.6,2
53939,31,2,0.37,21.8,26.5,48.8,0.84,1,14.6,-2
53940,31,2,0.06,23.8,24.2,45,0.6,1,14.6,0
53941,31,2,0.14,25,25.4,50.6,0.64,1.2,14.6,0
53942,31,2,0.95,23.3,24.8,44,0.62,1.2,14.6,-2
53943,31,1,0.13,21.6,24,47,0.58,1.2,14.6,-1
53946,31,1,0.02,24,24.7,50.6,0.88,1.2,14.6,1
53947,31,2,0.69,24.5,22.3,45.7,0.61,1.2,14.6,-2
53948,31,1,0.74,22.9,25.2,48.6,0.68,1.2,14.6,-1
53949,31,1,0.3,23.4,23.6,52.5,0.73,1.2,14.6,-2
53950,31,1,0.01,22.5,23.3,54.7,0.64,1.8,14.6,0
53951,31,2,0.08,22.4,23.7,56.6,0.42,1.6,14.6,-2
53952,31,2,0.53,23.9,24.8,49.9,0.68,1,14.6,0
53953,31,1,0.29,22.1,22.4,60.2,0.73,1.2,14.6,-2
53954,31,1,0.11,21.6,23.1,58,0.54,2.2,14.6,0
53955,31,1,0.08,27.2,28.3,52.8,0.63,1.2,25.4,0
53956,31,1,0.04,27.7,28.3,52.3,0.57,1.2,25.4,1
53957,31,1,0.02,27.5,28.4,49.1,0.6,1.1,25.4,1
53958,31,1,0.06,28,28.6,49.8,0.32,1.4,25.4,2
53959,31,1,0.05,29.3,29.7,46.1,0.57,1.2,25.4,2
53960,31,1,0.06,25.9,29,51.8,0.48,2,25.4,0
53961,31,2,0.06,27.3,28.6,51.3,0.47,1.3,25.4,2
53962,31,1,0.1,27.2,28.8,52.4,0.36,1,25.4,0
53963,31,2,0.07,27.2,28.3,52.9,0.52,1.1,25.4,-1
53964,31,2,0.14,29.4,31,43.8,0.4,1.5,25.4,2
53965,31,1,0.06,30,30.8,41.4,0.5,1.3,25.4,2
53966,31,2,0.12,31,31.8,38.4,0.32,1.3,25.4,2
53967,31,2,0.05,30.7,31.8,35.2,0.46,1.2,25.4,2
53968,31,1,0.1,30.5,31.8,39.3,0.42,1.1,25.4,2
53969,31,2,0.06,30.6,31.6,38.2,0.35,1.3,25.4,2
53970,31,1,0.16,30.3,31.3,35.6,0.43,1.3,25.4,2
53971,31,2,0.05,30.4,31.3,37.5,0.34,1.2,25.4,2
53993,31,2,0.03,24.9,25.5,57.3,0.58,1.2,18.2,0
53994,31,2,0.04,25.3,26.3,55.2,0.63,1.9,18.2,0
53995,31,2,0.04,24.8,26.3,56.4,0.6,1.2,18.2,0
53996,31,1,0.05,25,26.6,57.4,0.44,1.8,18.2,1
53997,31,1,0.09,25.7,27.4,54.7,0.51,1.9,18.2,0
53998,31,1,0.09,26,27.3,54.1,0.54,1.3,18.2,1
54039,31,2,0.06,25.9,27.9,63.1,0.54,2,22.5,0
54040,31,1,0.02,26,27.9,59.5,0.51,2,22.5,-1
54041,31,2,0.37,26.4,30.4,60.3,0.71,2,22.5,2
54042,31,1,0.04,26,27.9,63.9,0.47,2.4,22.5,1
54043,31,1,0.12,25.8,27.9,64.2,0.56,2,22.5,1
54044,31,1,0.15,25,26.9,64.2,0.49,1.9,22.5,0
54045,31,2,0.12,26.2,28.2,61.4,0.86,1.2,22.5,0
54046,31,1,0.27,25.5,28.5,60.2,0.56,1.6,22.5,-1
54047,31,1,0.1,25.1,27,58.3,0.63,1.2,22.5,0
54048,31,2,0.05,24.8,27.3,57.7,0.53,1.5,22.5,0
54049,31,2,0.04,26.1,27.9,56.2,0.61,1.2,22.5,1
54050,31,2,0.05,26,28.1,60.4,0.6,1.2,22.5,0
54051,31,2,0.06,26.1,28.5,60.7,0.6,1.2,22.5,0
54052,31,2,0.05,26.3,27.5,55.5,0.6,1.2,22.5,0
54053,31,2,0.06,26.3,28,57.4,0.65,1.2,22.5,0
54119,31,1,0.03,24.7,24.4,52.7,0.83,1.3,20.1,-1
54120,31,1,0.02,25.3,25.2,49.7,0.7,1.2,20.1,0
54121,31,2,0.04,25.4,26.5,50.2,0.47,1.2,20.1,2
54122,31,2,0.11,24.9,27.1,52.4,0.49,1.2,20.1,0
54123,31,2,0.07,25.1,26.8,52,0.4,1.2,20.1,-2
54125,31,1,1.14,26.6,28.5,52.8,0.68,1.2,20.1,2
54126,31,2,1.96,26.7,29.8,49,0.48,1.2,20.1,1
54127,31,2,0.13,26.3,27.6,50.3,0.7,1.2,20.1,1
54128,31,2,0.11,25.4,27.5,46.4,0.37,1.2,20.1,1
54129,31,2,1.89,24.9,29.4,45.9,0.68,1.2,20.1,2
54130,31,1,1.3,28.4,27.6,46,0.57,1.2,20.1,2
54131,31,1,0.09,27.5,28.4,50.9,0.57,1.1,18,1
54132,31,1,0.11,27.3,28.5,51,0.58,1.3,18,2
54133,31,2,0.06,26.3,27.9,50.7,0.44,1.3,18,0
54134,31,1,0.05,26.7,27.7,48.9,0.5,1.3,18,1
54135,31,2,0.08,24.3,27.7,56.9,0.51,1.3,18,-1
54136,31,1,0.06,27.2,28.2,48.5,0.56,1.3,18,1
54137,31,1,0.05,27.5,28,47.8,0.52,1.3,18,1
54138,31,1,0.09,27.3,28.3,48.4,0.51,1.4,18,1
54139,31,1,0.06,27.4,28.2,47,0.4,1.2,18,0
54140,31,2,0.08,27.5,28.3,47.7,0.57,1.3,18,0
54141,31,1,0.06,28,28.6,45.9,0.36,1.3,18,1
54142,31,2,0.09,26.9,28.6,49.6,0.65,1,18,0
54143,31,1,0.07,28.4,28.9,44.8,0.93,1.3,18,2
54144,31,2,0.08,26.6,27.9,49,0.56,1.3,18,0
54145,31,1,0.08,27.2,28.1,47,0.51,1.3,18,0
54146,31,2,0.07,27.1,28,46.5,0.54,1.2,18,1
54147,31,2,0.06,27.7,28.2,45.3,0.55,1.3,18,1
54148,31,2,0.08,27.5,28.7,46.1,0.24,2.6,18,1
54149,31,1,0.04,27.4,28.6,45.2,0.57,1.2,18,2
54150,31,2,0.05,27.3,28.6,47,0.47,1.2,18,-1
54151,31,2,0.08,25.8,27.1,50.1,0.46,1.2,18,1
54152,31,1,0.03,26.1,27.2,46,0.59,1.4,18,0
54153,31,2,0.08,26.6,27.8,48,0.39,1.3,18,0
54154,31,1,0.05,21.5,23.1,59.6,0.7,1.2,16.2,0
54155,31,1,0.09,21.9,23.1,59.4,0.64,1.2,16.2,0
54156,31,1,0.04,23,23.9,55.7,0.56,1.6,16.2,0
54157,31,1,0.06,21.5,23.1,61.7,0.63,1.2,16.2,0
54158,31,1,0.05,23.3,24.3,55.9,0.78,1.2,16.2,0
54159,31,1,0.03,23.2,24.7,56.2,0.56,1.6,16.2,0
54160,31,1,0.05,23.3,24.9,55.9,0.53,1.8,16.2,0
54161,31,1,0.08,23,24.9,56.8,0.69,1.2,16.2,0
54162,31,1,0.21,22.4,23.5,56.3,0.69,1.3,16.2,0
54163,31,1,0.03,23.2,24.2,55.4,0.69,1.2,16.2,0
54201,31,1,0.05,24.6,25.5,50.3,0.59,1.4,13.4,-1
54203,31,2,0.04,25.1,26,49.2,0.71,1.1,13.4,1
54205,31,1,0.08,25.2,25.8,50,0.64,1.4,13.4,0
54207,31,2,0.04,24.8,25.7,51,0.48,1.2,13.4,1
54208,31,2,0.06,25.6,26.6,48.6,0.86,1.3,13.4,0
54209,31,2,0.03,26.3,27.1,46.2,0.61,1.4,13.4,0
54210,31,1,0.04,25.6,26.9,49.7,0.59,1.2,13.4,1
54211,31,2,0.09,27.3,27.1,45,0.55,1.4,13.4,1
54212,31,1,0.63,27.2,28.2,46.3,0.63,1.4,13.4,-1
54213,31,2,0.07,26.5,27.4,47,0.28,2,13.4,2
54214,31,2,0.05,26.1,27.1,49,0.5,1.9,13.4,2
54215,31,1,0.06,26,27.4,49.8,0.64,1.2,13.4,0
54216,31,2,0.24,26.4,26.9,49.2,0.45,2.2,13.4,0
54217,31,2,0.05,27,27.4,47.9,0.53,2.2,13.4,1
54218,31,1,0.07,26.6,27.5,49.3,0.58,1.5,13.4,1
54278,31,1,0.1,28.1,28.4,36.5,0.57,2,28.9,1
54280,31,1,0.1,28.2,29.6,37.7,0.66,1.2,28.9,0
54324,31,2,0.1,28.4,27.7,48.5,0.66,1.2,24.1,1
54325,31,2,0.1,27.3,28.7,48.5,0.65,1.2,24.1,0
54327,31,1,0.1,29.6,27.7,48.5,0.66,1.2,24.1,0
78252,31,2,0.07,20.4,21.2,66.5,0.65,1.2,7.3,2
78253,31,2,0.07,20.4,21.2,66.5,0.65,1.2,7.3,0
78254,31,2,0.07,20.4,21.2,66.5,0.65,1.2,7.3,1
78255,31,1,0.07,20.4,21.2,66.5,0.6,1.2,7.3,1
78256,31,1,0.07,20.4,21.2,66.5,0.35,1.2,7.3,2
78261,31,1,0.07,20.4,21.2,66.5,0.35,1.2,7.3,0
78262,31,2,0.07,20.4,21.2,66.5,0.4,1.2,7.3,1
78263,31,1,0.07,20.4,21.2,66.5,0.35,1.2,7.3,1
78265,31,1,0.07,20.4,21.2,66.5,0.6,1.2,7.3,2
78279,31,2,0.07,20.4,21.2,66.5,0.4,1.2,7.3,2
78280,31,2,0.09,21.6,22.1,60.5,0.4,1.2,7.3,0
78281,31,1,0.09,21.6,22.1,60.5,0.6,1.2,7.3,1
78282,31,1,0.09,21.6,22.1,60.5,0.6,1.2,7.3,-2
78283,31,2,0.09,21.6,22.1,60.5,0.65,1.2,7.3,1
78285,31,2,0.09,21.6,22.1,60.5,0.65,1.2,7.3,-1
78286,31,1,0.09,21.6,22.1,60.5,0.6,1.2,7.3,-1
78287,31,2,0.09,21.6,22.1,60.5,0.65,1.2,7.3,0
78288,31,1,0.09,21.6,22.1,60.5,0.6,1.2,7.3,0
78290,31,1,0.09,21.6,22.1,60.5,0.6,1.2,7.3,2
78291,31,2,0.09,21.6,22.1,60.5,0.4,1.2,7.3,-2
78293,31,1,0.09,21.6,22.1,60.5,0.35,1.2,7.3,1
78297,31,2,0.09,21.6,22.1,60.5,0.4,1.2,7.3,1
78300,31,1,0.09,21.6,22.1,60.5,0.35,1.2,7.3,-1
78308,31,1,0.09,21.6,22.1,60.5,0.35,1.2,7.3,0
78310,31,2,0.04,19.5,21.4,57.7,0.4,1.2,7.3,0
78311,31,1,0.04,19.5,21.4,57.7,0.6,1.2,7.3,1
78312,31,2,0.04,19.5,21.4,57.7,0.4,1.2,7.3,-1
78314,31,1,0.04,19.5,21.4,57.7,0.6,1.2,7.3,-1
78315,31,2,0.04,19.5,21.4,57.7,0.4,1.2,7.3,-2
78316,31,1,0.04,19.5,21.4,57.7,0.6,1.2,7.3,0
78317,31,2,0.04,19.5,21.4,57.7,0.65,1.2,7.3,-2
78321,31,2,0.04,19.5,21.4,57.7,0.65,1.2,7.3,-1
78326,31,2,0.04,19.5,21.4,57.7,0.65,1.2,7.3,0
78331,31,1,0.04,19.5,21.4,57.7,0.35,1.2,7.3,0
78333,31,1,0.04,19.5,21.4,57.7,0.6,1.2,7.3,-2
78334,31,2,0.04,19.5,21.4,57.7,0.4,1.2,7.3,2
78337,31,1,0.04,19.5,21.4,57.7,0.35,1.2,7.3,-1
78339,31,1,0.04,19.5,21.4,57.7,0.35,1.2,7.3,-2
78340,31,1,0.07,20.8,21.2,61.4,0.6,1.2,7.3,-1
78341,31,2,0.07,20.8,21.2,61.4,0.65,1.2,7.3,-2
78342,31,1,0.07,20.8,21.2,61.4,0.35,1.2,7.3,-2
78343,31,2,0.07,20.8,21.2,61.4,0.4,1.2,7.3,2
78344,31,1,0.07,20.8,21.2,61.4,0.6,1.2,7.3,-2
78346,31,2,0.07,20.8,21.2,61.4,0.65,1.2,7.3,1
78351,31,1,0.07,20.8,21.2,61.4,0.35,1.2,7.3,1
78352,31,2,0.07,20.8,21.2,61.4,0.65,1.2,7.3,0
78353,31,2,0.07,20.8,21.2,61.4,0.4,1.2,7.3,1
78358,31,2,0.07,20.8,21.2,61.4,0.4,1.2,7.3,-1
78361,31,2,0.07,20.8,21.2,61.4,0.65,1.2,7.3,-1
78362,31,1,0.07,20.8,21.2,61.4,0.35,1.2,7.3,-1
78367,31,1,0.07,20.8,21.2,61.4,0.6,1.2,7.3,2
78368,31,1,0.13,20.3,19.9,54.5,0.35,1.2,7.3,-2
78369,31,1,0.13,20.3,19.9,54.5,0.6,1.2,7.3,1
78370,31,1,0.13,20.3,19.9,54.5,0.6,1.2,7.3,0
78371,31,1,0.13,20.3,19.9,54.5,0.6,1.2,7.3,2
78373,31,1,0.13,20.3,19.9,54.5,0.35,1.2,7.3,1
78374,31,2,0.13,20.3,19.9,54.5,0.65,1.2,7.3,-2
78375,31,2,0.13,20.3,19.9,54.5,0.4,1.2,7.3,2
78376,31,1,0.13,20.3,19.9,54.5,0.6,1.2,7.3,-1
78381,31,1,0.13,20.3,19.9,54.5,0.35,1.2,7.3,0
78383,31,2,0.13,20.3,19.9,54.5,0.4,1.2,7.3,-2
78384,31,2,0.13,20.3,19.9,54.5,0.4,1.2,7.3,1
78386,31,2,0.13,20.3,19.9,54.5,0.65,1.2,7.3,-1
78387,31,1,0.13,20.3,19.9,54.5,0.6,1.2,7.3,-2
78389,31,1,0.13,20.3,19.9,54.5,0.35,1.2,7.3,-1
78392,31,2,0.13,20.3,19.9,54.5,0.65,1.2,7.3,0
78393,31,2,0.13,20.3,19.9,54.5,0.65,1.2,7.3,1
78396,31,2,0.05,20.3,21.3,56.9,0.4,1.2,7.3,2
78397,31,1,0.05,20.3,21.3,56.9,0.35,1.2,7.3,0
78398,31,2,0.05,20.3,21.3,56.9,0.65,1.2,7.3,0
78399,31,2,0.05,20.3,21.3,56.9,0.65,1.2,7.3,1
78400,31,2,0.05,20.3,21.3,56.9,0.4,1.2,7.3,-2
78401,31,1,0.05,20.3,21.3,56.9,0.35,1.2,7.3,-1
78402,31,1,0.05,20.3,21.3,56.9,0.6,1.2,7.3,2
78404,31,1,0.05,20.3,21.3,56.9,0.6,1.2,7.3,1
78405,31,1,0.05,20.3,21.3,56.9,0.6,1.2,7.3,-2
78408,31,1,0.05,20.3,21.3,56.9,0.6,1.2,7.3,0
78410,31,1,0.05,20.3,21.3,56.9,0.6,1.2,7.3,-1
78411,31,2,0.05,20.3,21.3,56.9,0.65,1.2,7.3,2
78422,31,1,0.05,20.3,21.3,56.9,0.35,1.2,7.3,2
78423,31,1,0.04,18.6,19.7,58.3,0.6,1.2,7.3,2
78424,31,1,0.04,18.6,19.7,58.3,0.35,1.2,7.3,2
78425,31,2,0.04,18.6,19.7,58.3,0.4,1.2,7.3,0
78426,31,2,0.04,18.6,19.7,58.3,0.65,1.2,7.3,-2
78427,31,1,0.04,18.6,19.7,58.3,0.6,1.2,7.3,0
78430,31,1,0.04,18.6,19.7,58.3,0.35,1.2,7.3,-2
78431,31,2,0.04,18.6,19.7,58.3,0.65,1.2,7.3,-1
78433,31,2,0.04,18.6,19.7,58.3,0.65,1.2,7.3,0
78434,31,2,0.04,18.6,19.7,58.3,0.4,1.2,7.3,-2
78435,31,2,0.04,18.6,19.7,58.3,0.65,1.2,7.3,1
78439,31,1,0.04,18.6,19.7,58.3,0.6,1.2,7.3,-1
78440,31,2,0.04,18.6,19.7,58.3,0.4,1.2,7.3,-1
78441,31,2,0.04,18.6,19.7,58.3,0.65,1.2,7.3,2
78442,31,1,0.04,18.6,19.7,58.3,0.6,1.2,7.3,1
78448,31,1,0.04,18.6,19.7,58.3,0.35,1.2,7.3,-1
78452,31,2,0.09,19.9,21.1,59.2,0.65,1.2,7.3,1
78454,31,2,0.09,19.9,21.1,59.2,0.4,1.2,7.3,2
78455,31,1,0.09,19.9,21.1,59.2,0.6,1.2,7.3,1
78457,31,2,0.09,19.9,21.1,59.2,0.65,1.2,7.3,0
78459,31,1,0.09,19.9,21.1,59.2,0.35,1.2,7.3,-2
78460,31,1,0.09,19.9,21.1,59.2,0.6,1.2,7.3,0
78461,31,1,0.09,19.9,21.1,59.2,0.35,1.2,7.3,1
78464,31,1,0.09,19.9,21.1,59.2,0.6,1.2,7.3,-1
78465,31,2,0.09,19.9,21.1,59.2,0.65,1.2,7.3,-1
78469,31,1,0.09,19.9,21.1,59.2,0.35,1.2,7.3,-1
78471,31,2,0.09,19.9,21.1,59.2,0.4,1.2,7.3,0
78472,31,2,0.09,19.9,21.1,59.2,0.65,1.2,7.3,2
78481,31,1,0.09,19.9,21.1,59.2,0.35,1.2,7.3,0
78482,31,2,0.09,23.1,23.3,46.5,0.4,1.2,13.2,0
78483,31,2,0.09,23.1,23.3,46.5,0.4,1.2,13.2,-1
78484,31,1,0.09,23.1,23.3,46.5,0.6,1.2,13.2,1
78485,31,1,0.09,23.1,23.3,46.5,0.35,1.2,13.2,1
78486,31,2,0.09,23.1,23.3,46.5,0.65,1.2,13.2,0
78488,31,1,0.09,23.1,23.3,46.5,0.6,1.2,13.2,0
78489,31,1,0.09,23.1,23.3,46.5,0.35,1.2,13.2,-1
78494,31,1,0.09,23.1,23.3,46.5,0.6,1.2,13.2,2
78496,31,1,0.09,23.1,23.3,46.5,0.35,1.2,13.2,2
78499,31,2,0.09,23.1,23.3,46.5,0.4,1.2,13.2,1
78501,31,2,0.09,23.1,23.3,46.5,0.4,1.2,13.2,-2
78507,31,2,0.09,23.1,23.3,46.5,0.4,1.2,13.2,2
78510,31,1,0.07,22.7,23.7,51.6,0.35,1.2,13.2,-1
78511,31,1,0.07,22.7,23.7,51.6,0.6,1.2,13.2,0
78512,31,2,0.07,22.7,23.7,51.6,0.65,1.2,13.2,1
78513,31,2,0.07,22.7,23.7,51.6,0.65,1.2,13.2,-2
78514,31,2,0.07,22.7,23.7,51.6,0.4,1.2,13.2,-1
78515,31,1,0.07,22.7,23.7,51.6,0.6,1.2,13.2,-2
78516,31,1,0.07,22.7,23.7,51.6,0.6,1.2,13.2,1
78517,31,1,0.07,22.7,23.7,51.6,0.35,1.2,13.2,1
78519,31,2,0.07,22.7,23.7,51.6,0.4,1.2,13.2,0
78521,31,2,0.07,22.7,23.7,51.6,0.4,1.2,13.2,2
78522,31,2,0.07,22.7,23.7,51.6,0.4,1.2,13.2,-2
78523,31,1,0.07,22.7,23.7,51.6,0.35,1.2,13.2,2
78524,31,1,0.07,22.7,23.7,51.6,0.35,1.2,13.2,-2
78528,31,1,0.07,22.7,23.7,51.6,0.6,1.2,13.2,-1
78529,31,2,0.07,22.7,23.7,51.6,0.4,1.2,13.2,1
78536,31,1,0.1,23.3,24.4,39.3,0.35,1.2,13.2,0
78537,31,1,0.1,23.3,24.4,39.3,0.35,1.2,13.2,2
78538,31,1,0.1,23.3,24.4,39.3,0.35,1.2,13.2,1
