,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
50192,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,2.0,,cooler,,less,,0.5,10.0,26.78,0.59,1.1,,,,,26.3,79.3,,,,,,,,,26.7,80.1,26.5,79.7,,,,,,,49.6,no change,-2.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50193,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,1.0,,cooler,,no change,,0.9,22.0,29.62,0.77,1.4,,,,,24.2,75.6,,,,,,,,,27.1,80.8,25.7,78.3,,,,,,,55.5,no change,-1.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50194,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,-1.0,,no change,,less,,0.5,10.0,26.83,0.61,1.1,,,,,26.1,79.0,,,,,,,,,26.9,80.4,26.5,79.7,,,,,,,50.2,drier,-2.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50195,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,1.0,,cooler,,less,,0.8,18.0,28.57,0.6,1.4,,,,,25.2,77.4,,,,,,,,,26.1,79.0,25.8,78.4,,,,,,,55.4,drier,-1.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50294,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,1.0,,cooler,,no change,,0.6,12.0,28.1,0.7,1.6,,,,,22.8,73.0,,,,,,,,,26.7,80.1,23.8,74.8,,,,,,,45.2,drier,-1.0,0.1,19.69,,,,,,,,,,,,,,15.5,59.9,Database 2
50297,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,no change,,no change,,0.4,9.0,26.9,0.69,1.3,,,,,24.1,75.4,,,,,,,,,26.8,80.2,24.8,76.6,,,,,,,40.0,no change,1.0,0.0,0.0,,,,,,,,,,,,,,15.5,59.9,Database 2
50300,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,cooler,,less,,0.3,7.0,26.13,0.65,1.2,,,,,24.6,76.3,,,,,,,,,27.2,81.0,25.3,77.5,,,,,,,40.4,drier,-1.0,0.0,0.0,,,,,,,,,,,,,,15.5,59.9,Database 2
50302,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,-1.0,,warmer,,no change,,0.4,8.0,26.7,0.62,1.3,,,,,23.7,74.7,,,,,,,,,27.5,81.5,24.8,76.6,,,,,,,40.9,no change,0.0,0.1,19.69,,,,,,,,,,,,,,15.5,59.9,Database 2
50303,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,no change,,no change,,0.8,18.0,28.28,0.54,1.7,,,,,24.7,76.5,,,,,,,,,27.1,80.8,25.4,77.7,,,,,,,39.5,no change,0.0,0.0,0.0,,,,,,,,,,,,,,15.5,59.9,Database 2
50305,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,-1.0,,no change,,no change,,0.2,6.0,26.02,0.61,1.2,,,,,25.0,77.0,,,,,,,,,27.1,80.8,25.5,77.9,,,,,,,39.0,more humid,1.0,0.1,19.69,,,,,,,,,,,,,,15.5,59.9,Database 2
