,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
90236,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,2.0,,cooler,,,,2.35,89.66,31.09,0.62,1.13,,,,,32.6,90.7,,,32.6,90.7,,,31.5,88.6,30.3,86.6,30.9,87.6,,,30.9,87.6,,,69.3,,,1.3,255.83,,,1.3,255.83,,,,,,,,,,,,Database 1
90237,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,1.23,36.78,29.32,0.6,0.89,,,,,29.9,85.8,,,29.9,85.8,,,30.0,85.9,30.0,86.0,30.0,86.0,,,30.0,86.0,,,75.2,,,0.42,83.17,,,0.42,83.17,,,,,,,,,,,,Database 1
90238,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,1.0,,cooler,,,,1.49,50.55,29.95,0.6,0.89,,,,,30.5,86.9,,,30.5,86.9,,,30.5,86.9,30.5,86.9,30.5,86.9,,,30.5,86.9,,,73.3,,,0.42,83.17,,,0.42,83.17,,,,,,,,,,,,Database 1
90239,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,1.87,70.72,30.56,0.6,1.01,,,,,30.8,87.4,,,30.8,87.4,,,30.7,87.2,30.6,87.0,30.6,87.1,,,30.6,87.1,,,72.0,,,0.42,83.17,,,0.42,83.17,,,,,,,,,,,,Database 1
90240,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,2.02,77.83,31.34,0.6,1.01,,,,,31.0,87.8,,,31.0,87.8,,,31.0,87.8,31.0,87.8,31.0,87.8,,,31.0,87.8,,,70.8,,,0.32,63.96,,,0.32,63.96,,,,,,,,,,,,Database 1
90241,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,2.02,77.66,30.68,0.6,1.01,,,,,31.1,88.0,,,31.1,88.0,,,31.2,88.2,31.3,88.4,31.3,88.3,,,31.3,88.3,,,67.7,,,0.42,83.17,,,0.42,83.17,,,,,,,,,,,,Database 1
90242,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,1.26,38.34,28.92,0.6,0.77,,,,,31.4,88.5,,,31.4,88.5,,,31.3,88.4,31.3,88.3,31.3,88.3,,,31.3,88.3,,,66.4,,,1.02,200.81,,,1.02,200.81,,,,,,,,,,,,Database 1
90243,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,1.0,,no change,,,,2.05,78.83,30.4,0.6,1.01,,,,,31.3,88.3,,,31.3,88.3,,,31.4,88.4,31.4,88.6,31.4,88.5,,,31.4,88.5,,,66.2,,,0.5,99.23,,,0.5,99.23,,,,,,,,,,,,Database 1
90244,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,0.0,,no change,,,,2.27,87.23,34.2,0.6,1.88,,,,,31.0,87.8,,,31.0,87.8,,,31.1,88.0,31.2,88.2,31.2,88.2,,,31.2,88.2,,,66.5,,,0.36,70.87,,,0.36,70.87,,,,,,,,,,,,Database 1
90245,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Pakistan,,Naturally Ventilated,,,25.0,Female,1.0,,no change,,,,1.95,74.24,30.56,0.6,1.01,,,,,30.9,87.6,,,30.9,87.6,,,31.0,87.8,31.1,88.0,31.1,88.0,,,31.1,88.0,,,67.3,,,0.38,75.67,,,0.38,75.67,,,,,,,,,,,,Database 1
