,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
9023,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.45,1.6,,,,,30.7,87.2,,,,,,,,,,,,,,,,,,,27.9,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9024,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,1.2,,,,,30.9,87.5,,,,,,,,,,,,,,,,,,,27.8,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9025,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,1.6,,,,,29.8,85.7,,,,,,,,,,,,,,,,,,,39.2,,,0.14,27.56,,,,,,,,,,,,,,17.0,62.6,Database 2
9026,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,1.6,,,,,29.4,84.9,,,,,,,,,,,,,,,,,,,40.4,,,0.16,31.5,,,,,,,,,,,,,,17.0,62.6,Database 2
9027,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,1.6,,,,,29.3,84.8,,,,,,,,,,,,,,,,,,,43.3,,,0.14,27.56,,,,,,,,,,,,,,17.0,62.6,Database 2
9028,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,0.0,,no change,,,,,,,0.37,1.2,,,,,29.4,85.0,,,,,,,,,,,,,,,,,,,30.0,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9029,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,0.0,,cooler,,,,,,,0.37,1.9,,,,,29.8,85.7,,,,,,,,,,,,,,,,,,,32.5,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9030,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,0.0,,cooler,,,,,,,0.37,1.9,,,,,30.0,86.0,,,,,,,,,,,,,,,,,,,25.7,,,0.06,11.81,,,,,,,,,,,,,,17.0,62.6,Database 2
9031,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,1.9,,,,,30.0,86.0,,,,,,,,,,,,,,,,,,,26.0,,,0.04,7.87,,,,,,,,,,,,,,17.0,62.6,Database 2
9032,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,2.7,,,,,30.2,86.3,,,,,,,,,,,,,,,,,,,31.4,,,0.07,13.78,,,,,,,,,,,,,,17.0,62.6,Database 2
9033,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,2.7,,,,,30.3,86.6,,,,,,,,,,,,,,,,,,,27.6,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9034,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,2.7,,,,,30.3,86.6,,,,,,,,,,,,,,,,,,,31.2,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9035,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,2.7,,,,,30.7,87.2,,,,,,,,,,,,,,,,,,,27.9,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9036,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,2.7,,,,,30.9,87.5,,,,,,,,,,,,,,,,,,,27.8,,,0.08,15.75,,,,,,,,,,,,,,17.0,62.6,Database 2
9037,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,1.0,,cooler,,,,,,,0.37,2.7,,,,,29.8,85.7,,,,,,,,,,,,,,,,,,,39.2,,,0.14,27.56,,,,,,,,,,,,,,17.0,62.6,Database 2
9038,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Summer,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,,,0.0,,cooler,,,,,,,0.37,2.7,,,,,29.4,84.9,,,,,,,,,,,,,,,,,,,40.4,,,0.16,31.5,,,,,,,,,,,,,,17.0,62.6,Database 2
