,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
20894,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,1.0,0.0,cooler,1.0,no change,4.0,0.2,6.0,26.36,0.81,1.3,,,,,23.6,74.5,,,,,,,,,,,,,23.0,73.4,,,,,46.4,,,0.13,26.45,,,,,,,,,,,,,,25.9,78.6,Database 2
20895,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,-1.0,1.0,no change,1.0,no change,6.0,-0.5,10.0,23.44,0.5,1.3,,,,,23.4,74.1,,,,,,,,,,,,,22.7,72.9,,,,,46.3,,,0.14,27.87,,,,,,,,,,,,,,25.9,78.6,Database 2
20896,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,-1.0,1.0,cooler,1.0,no change,5.0,0.3,7.0,26.1,0.54,1.4,,,,,25.9,78.5,,,,,,,,,,,,,24.7,76.4,,,,,39.7,,,0.13,26.51,,,,,,,,,,,,,,25.9,78.6,Database 2
20897,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-1.0,1.0,cooler,1.0,more,4.0,-0.9,21.0,22.61,0.4,1.1,,,,,24.5,76.1,,,,,,,,,,,,,24.3,75.7,,,,,47.0,,,0.15,29.77,,,,,,,,,,,,,,25.9,78.6,Database 2
20898,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-1.0,1.0,cooler,1.0,more,5.0,-0.1,5.0,24.7,0.56,1.1,,,,,24.7,76.4,,,,,,,,,,,,,24.6,76.3,,,,,45.9,,,0.11,21.04,,,,,,,,,,,,,,25.9,78.6,Database 2
20899,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,0.0,1.0,cooler,1.0,more,5.0,-2.1,81.0,19.13,0.4,1.1,,,,,24.3,75.8,,,,,,,,,,,,,23.7,74.7,,,,,46.4,,,0.49,96.58,,,,,,,,,,,,,,25.9,78.6,Database 2
20900,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-1.0,1.0,no change,1.0,more,5.0,-0.4,8.0,23.38,0.41,1.5,,,,,23.6,74.5,,,,,,,,,,,,,23.1,73.6,,,,,43.8,,,0.17,34.2,,,,,,,,,,,,,,25.9,78.6,Database 2
20901,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,-1.0,1.0,no change,1.0,more,4.0,0.0,5.0,25.19,0.78,1.4,,,,,23.0,73.4,,,,,,,,,,,,,22.7,72.8,,,,,46.2,,,0.24,47.74,,,,,,,,,,,,,,25.9,78.6,Database 2
20902,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-1.0,1.0,no change,1.0,no change,5.0,0.0,5.0,25.23,0.67,1.3,,,,,24.1,75.3,,,,,,,,,,,,,23.4,74.1,,,,,43.2,,,0.13,25.9,,,,,,,,,,,,,,25.9,78.6,Database 2
20903,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-2.0,1.0,warmer,0.0,more,3.0,-1.1,30.0,21.52,0.39,1.1,,,,,23.1,73.6,,,,,,,,,,,,,22.9,73.2,,,,,45.5,,,0.11,20.67,,,,,,,,,,,,,,25.9,78.6,Database 2
