,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Tg_h (¡C),Outdoor monthly air temperature (¡F)
22473,-1.363333333,43.57,20.59333333,0.6,1,21.3,60.8,0.053333333,-1,21.46666667,72.2
22474,-1.363333333,43.51333333,20.86666667,0.48,1,21,63.8,0.066666667,0,21.83333333,63.5
22475,-0.54,12.8,23.14,0.7,0.8,23.3,54.2,0.06,2,22.8,66.4
22476,-0.5,10.20666667,23.38333333,0.8,1.7,23.3,54.2,0.103333333,0,23.06666667,66.4
22477,-1.096666667,32.82333333,21.88666667,0.5,1,21.7,63.9,0.093333333,1,21.96666667,63.5
22478,-0.68,15.28333333,23.01,0.52,1,21.4,63.1,0.09,2,21.86666667,63.3
22479,-1.11,31.23,21.52666667,0.65,2,20.2,62.8,0.076666667,0,21.76666667,67
22480,-0.523333333,14.36333333,23.46333333,0.65,1.5,21.7,54.1,0.11,0,21.83333333,62.1
22481,-1.086666667,32.75333333,21.51,0.8,1,21.8,46.5,0.103333333,1,21.26666667,67.2
22482,-1.25,38.30666667,21.39666667,0.5,1.7,22.6,63.8,0.096666667,1,22.23333333,66.4
22483,-1.07,33.15333333,21.80666667,0.52,1.7,22.6,63.8,0.073333333,0,22.23333333,66.4
22484,-1.07,33.15333333,21.80666667,0.47,1.7,22.7,63.8,0.073333333,0,22.23333333,66.2
22485,0.446666667,10.78,27.21,0.49,1,24.3,46.3,0.093333333,1,24.23333333,59.3
22486,0.446666667,10.78,27.21,0.74,1,24.3,46.3,0.093333333,1,24.46666667,59.3
22487,-0.373333333,24.32333333,24.81,0.52,1,24.4,46.5,0.1,0,24.33333333,59.2
22488,-0.82,19.44,22.3,0.66,1,22.3,57.1,0.196666667,2,21.7,65.7
22489,-0.176666667,7.243333333,24.82666667,0.64,1,22.4,60.4,0.053333333,2,22.36666667,74.6
22490,-0.5,9,23.38,0.54,2,24.4,63.8,0.08,2,22.73333333,70.7
22491,-1.26,38.34333333,20.83,0.34,1,20,63.8,0.06,0,21.26666667,70.7
22492,1.106666667,42.16333333,31.51,0.53,1.7,23.9,58.6,0.05,2,22.56666667,65.3
22493,-0.146666667,6.013333333,24.55333333,0.8,1,23.9,58.6,0.05,1,22.56666667,65.3
22494,-1.383333333,44.66333333,21.15,0.74,1.1,21.7,64.1,0.07,0,21.96666667,65.5
22495,-0.526666667,10.75,23.44,0.45,1.2,24.3,54.3,0.116666667,-1,23.73333333,67.4
22496,1.363333333,45.88666667,31.31,0.76,4,24.3,52.9,0.05,-1,23.56666667,66.2
22497,0.486666667,14.73666667,26.98666667,0.64,1,25.5,45.2,0.033333333,0,24.7,71.9
22498,0.403333333,20.33333333,27.33,0.62,2,22.8,57,0.05,2,22.23333333,66.2
22499,-0.33,9.293333333,24.15333333,0.51,0.8,22.5,60.8,0.053333333,1,22.2,69.8
22500,-0.59,12.69666667,23.01,0.48,1,23.3,53.1,0.043333333,0,23.26666667,71.3
22501,-0.4,8,23.95,0.64,1,21.8,60.7,0.07,1,21.56666667,65.5
22502,-0.493333333,27.99,24.28333333,0.8,1.1,21,58.3,0.04,1,20.76666667,69.8
22503,1.106666667,42.16333333,31.51,0.63,1,24.2,58.7,0.05,1,22.73333333,67.6
22504,1.106666667,42.16333333,31.51,0.43,1,24.2,58.7,0.05,2,22.56666667,67.6
22505,-0.78,27.03333333,22.35666667,0.66,1,21.7,68.2,0.193333333,-1,23.7,62.9
22506,-0.846666667,28.03333333,22.11666667,0.37,1.2,21.9,66.1,0.173333333,-2,23.06666667,62.1
22507,-0.066666667,5,24.91,0.61,1,23.4,63.8,0.09,0,23.6,64
22508,-0.066666667,5,24.91,0.7,1.2,23.4,63.8,0.09,0,23.6,64
22509,-0.2,6,24.32,0.47,1,23.4,63.8,0.09,0,23.6,64
22510,-0.473333333,13.28666667,23.57333333,0.69,1,23.1,63.8,0.076666667,-1,22.63333333,64.1
22511,-0.066666667,5,24.91,0.68,1,23.4,63.8,0.09,0,23.6,63.8
22512,-0.866666667,21.63666667,22.25,0.64,1.5,22.2,49.3,0.033333333,0,21.63333333,64.8
22513,-0.773333333,18.15666667,22.5,0.64,1,22.8,50.7,0.056666667,0,22.7,61.7
