PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
0.8,17,28.63,0.57,2,22.6,42.3,0,0,23.9,23.7,0,65.9
1.3,39,32.61,0.88,2.3,22.7,41.5,0,1,23.7,23.4,0,65.9
-0.2,6,24.32,0.63,1.2,22.7,42,0,0,23.9,23.6,0,65.9
0.9,22,29.65,0.66,2,22.8,40.6,0,0,24.4,24.2,0,65.9
0.5,9,26.88,0.54,1.7,23.1,39.8,0,0,24.4,24.2,0,65.9
0.5,10,27.28,0.7,1.6,23.3,39.7,0,0,23.5,23.5,0,65.9
-0.3,7,24.21,0.63,1.2,22,60.9,0.1,0,23,22.6,0,67.6
0.2,6,25.97,0.53,1.6,22.9,55.3,0,-1,23.1,23,1,67.6
1.3,41,31.86,0.57,2.5,22.5,54.9,0,-1,23.9,23.4,0,67.6
0.3,7,27.15,0.73,1.4,22,59.2,0.1,1,23.6,22.9,0,67.6
0.4,9,27.66,0.83,1.4,22.3,58.4,0,-1,24.4,23.8,1,67.6
0.4,9,27,0.56,1.6,23.5,52.8,0,0,24.2,24.1,0,67.6
0.1,5,25.67,0.76,1.2,22.4,54.3,0,0,24.5,23.9,0,67.6
0.5,9,27.02,0.56,1.6,23.6,52.2,0,1,24.3,24.1,0,67.6
0.7,17,28.7,0.54,1.8,23.1,54.8,0,0,24.9,24.4,0,67.6
0.4,8,27.27,0.88,1.2,22.5,60.5,0.1,0,24.2,23.6,0,67.6
0,5,25.68,0.58,1.2,22.2,58.5,0.1,0,25.9,24.3,1,67.6
1,25,30.78,0.88,1.7,23.5,56,0,1,24.5,24.4,-1,67.6
0.2,6,26.24,0.69,1.2,23.7,56,0,0,25,24.7,1,67.6
0.3,7,26.71,0.73,1.2,23.3,56.9,0.1,-1,24.9,24.3,0,67.6
0.4,8,26.85,0.59,1.4,23.6,56.2,0,0,24.4,24.3,0,67.6
0.3,6,26.47,0.57,1.4,22.7,59.5,0.1,0,24.2,23.6,0,67.6
0.6,13,27.84,0.58,1.6,23.8,55.3,0,0,25,24.9,0,67.6
0.3,7,26.24,0.64,1.2,24.3,54.2,0,0,25.1,25,0,67.6
0.6,12,27.42,0.61,1.4,24.8,53.1,0,0,24.9,24.9,0,67.6
0.1,5,25.57,0.58,1.2,23.9,50.7,0,0,25.4,25.2,0,67.6
0.3,7,26.34,0.68,1.2,23.9,52.2,0,0,25.6,25.1,0,67.6
0.9,20,29.1,0.67,1.6,24.5,49.5,0,1,26.4,25.9,0,67.6
0.5,10,27.44,0.82,1.2,23.8,53.8,0,0,25.6,25.2,-1,67.6
0.5,11,27.71,0.66,1.6,23.3,54.1,0,1,24,23.8,0,67.6
0.5,11,27.72,0.84,1.3,24.2,52.8,0,0,24.4,24.3,1,67.6
0.7,16,28.45,0.64,1.6,24,53.3,0,1,25.3,25.1,1,67.6
0.166666667,5.666666667,25.81666667,0.74,1.2,23.6,45.4,0.003333333,0,24.06666667,24.03333333,0,67.6
0.6,14,28,0.47,1.7,23.5,53.86666667,0,0,24.46666667,24.26666667,0,67.6
0.3,7.333333333,26.65,0.86,1.2,23.23333333,52.3,0.036666667,1,24.2,23.9,0,67.6
0.9,23,30.01,0.7,1.8,24,53.1,0,1,24.2,24.2,-1,67.6
0.2,6,26.28,0.72,1.6,22,46.7,0,0,21.6,21.6,2,47.2
0.1,5,25.93,0.97,1.3,21.2,48.2,0,0,21.8,21.8,0,47.2
0,5,25.26,0.88,1.2,21.9,49.2,0,0,22.1,22.1,0,47.2
0.9,23,31.25,0.96,2,21.3,50.2,0,0,22.1,22,0,47.2
-0.6,11,23.15,0.63,1.2,21.7,46.2,0,0,22.2,22.1,0,46
-0.2,6,24.67,0.78,1.2,22.2,44.2,0,0,22.5,22.4,1,46
-0.3,7,24.03,0.67,1.2,22.3,44.4,0,1,22.7,22.7,1,45.2
0.1,5,25.88,0.95,1.2,21.9,43.8,0,0,22.7,22.6,0,45.2
0.2,6,26.36,0.95,1.2,22.9,40.9,0,0,22.9,22.9,0,45.2
0,5,25.42,0.83,1.2,22.5,41.8,0,-1,23.1,23,0,44.5
-0.2,5,24.69,0.76,1.2,22.4,43.4,0,0,22.7,22.6,2,44.5
0,5,25.29,0.72,1.3,22,46.9,0,-1,23.3,22.9,1,44.5
0.4,8,27.25,0.81,1.5,21.9,46.2,0,1,23.3,23,2,44.1
0.1,5,25.95,0.95,1.2,21.9,44.5,0,0,22.7,22.7,0,44.1
0.4,8,27.18,0.68,1.7,22.1,46.7,0,0,22.5,22.4,0,44.1
0.8,18,29.63,0.78,1.9,22.4,46.8,0,0,23,23,1,43.5
0.3,7,26.72,0.66,1.6,21.9,47.2,0,1,23.1,23,-2,43.3
-0.3,7,24.14,0.73,1.2,21.4,48.8,0,0,23.1,22.6,0,43.3
-0.1,5,24.88,0.73,1.2,22.6,48.4,0,0,23,23,0,43.3
-0.2,5,24.67,0.68,1.2,22.6,49.3,0,0,23.3,23.3,0,43.3
-0.5,9,23.52,0.68,1.2,21.5,52.3,0,-1,22,22,0,43.6
-0.2,6,24.31,0.56,1.3,22.5,52.6,0,0,22.9,22.9,0,43.3
0.9,21,29.92,0.67,2,22.5,53.1,0,0,23.2,23.2,0,43.4
0.2,6,26.6,0.93,1.2,22.4,51.9,0,1,23.7,23.4,1,43.4
0.7,16,29.35,0.81,1.7,22.4,52.6,0,0,23.3,23.1,1,43.4
0.4,8,27.32,0.63,1.7,21.5,54.5,0,0,23,22.7,0,43.6
0.6,14,29.42,0.93,1.7,21.2,56.1,0,-1,22.7,22.2,0,43.6
0.5,11,28.62,0.91,1.6,21.2,56.9,0,0,22.1,22,0,43.7
1,28,30.34,0.62,2.3,22.8,43.4,0,0,22.7,22.8,0,53
-0.1,5,24.77,0.67,1.2,23.2,43.3,0,0,23.4,23.4,0,53
1.1,29,30.27,0.58,2.3,23.1,43.5,0,0,23.3,23.3,0,53
0,5,25.26,0.82,1.2,22.1,45.1,0,0,23.1,23,0,53
0.1,5,25.91,0.79,1.4,21.6,47,0,-1,22.5,22.4,0,53
0.8,20,30.06,0.9,1.7,22.6,45.2,0,0,23.8,23.6,0,53
0.3,7,26.08,0.55,1.6,23.1,42.9,0,0,23.6,23.6,0,53
0,5,25.41,0.73,1.2,23.2,44.3,0,0,23.9,23.7,0,53
0.5,10,27.16,0.61,1.6,23.4,45.1,0,1,24.6,24.3,1,53
0.8,20,29.94,0.98,1.6,23.2,45.3,0,0,24.4,24.2,1,53
0.3,6,26.5,0.86,1.2,23,46.8,0,0,24.2,24,0,53
-0.4,8,23.75,0.63,1.2,22.4,47.2,0,0,22.6,22.6,0,53
0.5,11,27.66,0.7,1.6,23,46.3,0,0,23.3,23.3,0,53
0.7,16,28.87,0.84,1.6,23.6,43.8,0,0,24,23.9,0,53
-0.3,7,24.22,0.73,1.2,21.6,48.1,0,0,22.9,22.6,0,53
-0.1,5,24.81,0.63,1.2,23.4,43.2,0,1,24,23.9,-1,53
1.2,37,30.48,0.46,2.5,22.9,45.1,0,1,23.8,23.8,1,53
0.2,6,26.04,0.66,1.3,23.5,44.1,0,0,24.3,24.2,0,53
0.7,14,28.5,0.75,1.6,23.2,44.9,0,0,24.3,24.2,0,53
0.8,20,28.78,0.52,2,23.4,43,0,-1,24.4,24.2,1,53
0.6,13,28.43,0.88,1.5,23.1,45.2,0,0,23.8,23.7,0,53
-0.2,6,24.45,0.64,1.3,21,50,0.1,0,22.7,22.1,0,53
0.5,10,27.79,0.94,1.3,23.3,43.6,0,0,23.9,23.7,3,53
0.7,15,28.27,0.64,1.7,23.6,44.5,0,1,24.6,24.4,0,53
0.9,21,30.01,0.81,1.8,22.9,45.9,0,0,24.4,24.2,0,53
-0.3,7,24.12,0.72,1.2,22.1,49.9,0,0,22.1,22.1,0,55.5
0,5,25.45,0.82,1.2,22.6,47.8,0,0,22.8,22.8,1,55.5
0.1,5,25.65,0.82,1.2,22.8,46.2,0,0,23.1,23.1,0,55.5
0.2,6,26.25,0.93,1.2,22.4,47.2,0,0,23.2,23,0,55.5
0.3,7,26.96,1.03,1.2,22.4,47.3,0,-2,23.1,23,0,55.5
-0.1,5,24.78,0.69,1.2,22.9,45.2,0,0,23.3,23.3,0,55.5
0,5,25.48,0.78,1.2,22.3,47.6,0,0,24.2,23.7,0,55.5
0.3,7,26.8,0.93,1.2,23.1,45.5,0,0,23.7,23.6,0,55.5
0.3,7,27.09,0.78,1.4,22.2,47.4,0.1,0,23.8,23.3,0,55.5
-0.1,5,25.08,0.73,1.2,22.3,46.9,0,0,24.2,23.7,0,55.5
0.6,12,27.9,0.71,1.6,23.4,44,0,-1,24.2,24.2,0,55.5
-0.1,5,24.84,0.73,1.2,22.5,46.4,0,1,23.3,23.1,1,55.5
-0.3,7,24.1,0.66,1.2,22,47.5,0,-1,23.2,23.1,0,55.5
0.2,6,26.26,0.93,1.2,22.1,46.9,0,0,23.7,23.3,0,55.5
0.2,6,26.27,0.9,1.2,22.6,45.4,0,-1,23.6,23.4,0,55.5
0.6,13,28.96,1.01,1.6,21.7,47.7,0,-2,22.7,22.5,0,55.5
0,5,25.4,0.93,1.2,21.6,47.1,0,0,22,22,1,55.5
1.4,46,33.94,0.96,2.5,21.5,47.4,0,-1,22.1,22,0,55.5
0.1,5,25.75,0.81,1.2,23.2,42.8,0,1,23.3,23.3,-1,55.5
-0.3,6,24.13,0.58,1.2,23.2,43.6,0,0,23.6,23.5,2,55.5
-0.1,5,24.82,0.73,1.2,22.5,43.5,0,0,23.2,23.2,0,55.5
-0.2,6,24.53,0.68,1.2,22.3,44.3,0,0,23.7,23.5,0,55.5
-0.1,5,24.62,0.65,1.2,23.3,41.7,0,0,23.4,23.4,0,55.5
0.4,9,27.29,0.99,1.2,23.5,40.5,0,0,23.9,23.8,1,55.5
0.5,11,27.61,0.73,1.6,23.6,39.9,0,0,23.3,23.4,0,55.5
0,5,25.24,0.73,1.2,23.4,40.9,0,0,23.4,23.4,0,55.5
-0.4,8,23.86,0.73,1.2,21.7,45.1,0,-1,23.2,22.7,1,55.5
0.5,11,28.02,0.86,1.6,22.4,43,0,0,22.9,22.8,0,55.5
-0.4,8,23.77,0.63,1.2,22.4,33,0,0,23.1,23.1,-1,49.8
0.4,8,26.84,0.75,1.6,22.7,31.9,0,0,22.8,22.8,0,49.8
0.1,5,25.96,0.94,1.2,22.5,33.2,0,0,23.1,23,0,49.8
0.1,5,25.36,0.64,1.4,22.6,31.4,0,0,23.3,23.1,0,49.8
0.6,12,27.99,0.85,1.6,23.3,30.4,0,0,23.4,23.3,0,49.8
0.4,8,26.89,0.77,1.6,22.4,32.1,0,-1,22.9,22.8,1,49.8
0.7,15,28.81,0.88,1.7,22.8,31.1,0,-2,23.3,23.3,0,49.8
0.5,10,27.47,0.8,1.6,22.8,31.4,0,0,23.3,23.3,0,49.8
0.1,5,25.32,0.56,1.6,22.5,32.2,0,0,23.4,23.1,0,49.8
0.533333333,13,27.43333333,0.65,1.8,23.23333333,45.26666667,0,0,24.16666667,23.9,0,49.8
0.3,7,26.72,0.75,1.6,22.5,30.7,0,0,22.8,22.8,0,49.8
-0.1,5,24.69,0.59,1.4,22.8,30.7,0,0,23.2,23.1,0,49.8
0.1,5,25.57,0.67,1.4,22.6,30.4,0,0,23.2,23.1,0,49.8
0.2,6,26.09,0.82,1.2,24,27.8,0,2,24.1,24.1,0,49.8
0.4,8,27.08,1,1.2,23,36.9,0,1,24.2,23.9,0,49.6
