,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air movement acceptability,Tg_h (¡C)
63,-0.2,6,25.1,0.67,1,25.1,42.2,0.2,-1,1,25.5
64,0.8,17,28.73,0.73,1.4,25.6,41.7,0.13,1,1,25.6
65,1,28,30.66,1.01,1.5,25.6,41.3,0.08,-2,1,25.2
66,0.8,18,28.81,0.99,1.3,25.2,48.7,0.24,-1,1,25.5
67,0.1,5,24.76,0.51,1.5,25.3,46.9,0.29,-1,1,24.9
68,0.9,21,29.26,1.01,1.3,25.7,46.9,0.22,0,1,25.8
69,0.5,11,28.13,0.91,1.3,23.6,58.9,0.09,-1,1,23.5
70,0.5,11,28.14,0.85,1.4,23.6,58.9,0.09,-1,1,23.5
71,-1,25,22.04,0.49,1.1,23.3,61.3,0.13,-1,1,22.7
72,0.1,5,25.58,0.75,1.1,23.4,59.6,0.07,-1,1,23.7
73,0.3,7,26.9,0.55,1.5,23.2,60.5,0.13,-1,1,23.9
74,0.1,5,26.03,0.74,1.2,23.4,59.9,0.11,-2,1,23.2
75,0.4,8,26.96,0.9,1.2,23.4,59.9,0.08,-1,1,23.4
76,0,5,25.63,0.65,1.2,23.6,59.9,0.11,-1,1,23.6
77,-0.2,6,23.82,0.48,1.3,24.6,49.9,0.07,-1,1,23.3
78,-0.2,6,24.28,0.57,1.2,23.6,51.9,0.08,-1,1,23.2
79,0.1,5,25.53,0.59,1.3,24.8,45.1,0.13,-1,1,24.3
80,0.8,20,29.24,0.84,1.5,24.8,44,0.19,-2,0,25.3
81,-0.4,8,23.51,0.63,1.1,23.6,45.6,0.07,2,1,22.9
82,0.5,10,27.19,0.74,1.3,23.6,38.5,0.03,0,0,24.7
83,0,5,25.29,0.73,1.1,24.1,40.4,0.08,-2,1,24.1
84,0.2,6,26.46,0.95,1.2,23.4,40.9,0.09,-2,1,22.7
85,-0.4,8,23.78,0.65,1.4,22.3,50.8,0.13,0,1,21.2
86,0.2,6,26.1,0.85,1.7,21.5,52.2,0.28,1,1,21.1
87,0.2,6,26.56,0.95,1.2,22,47.9,0.1,-2,1,22.5
88,-0.1,5,25.42,0.85,1.2,22.4,47.5,0.13,-2,1,22.2
89,0.1,5,25.89,0.92,1.2,22.5,47.5,0.08,-1,1,22.4
90,-0.1,5,24.74,0.69,1.3,22.5,47.6,0.03,-2,1,22.3
91,-1.2,36,21.03,0.49,1.2,22.3,48,0.14,-2,1,21.4
92,-0.3,7,24.13,0.74,1.5,20.9,49,0.13,-1,0,20
93,-0.6,13,22.8,0.63,1.2,20.9,58.3,0.07,-2,1,21.2
94,-0.1,5,25.09,0.93,1.1,22.5,46.9,0.09,-1,1,22.4
95,0,5,26.02,0.95,1.2,21.2,57.1,0.12,-2,1,21.6
96,-0.1,5,24.88,0.95,1.1,22,59.9,0.09,-2,0,21.9
97,0.4,8,27.61,1.09,1.2,22.1,61,0.03,-2,1,22
98,-0.5,10,23.27,0.73,1.2,22,51.1,0.11,-2,1,21.3
99,0.1,5,25.56,0.59,1.4,22.1,46.5,0.1,-2,1,23
100,-0.9,22,21.93,0.93,1.1,21.6,47.8,0.25,-1,1,20.6
101,-0.6,13,23.29,0.67,1.2,21.6,52.7,0.18,1,1,21.9
102,-0.8,18,22.43,0.65,1.2,22,44.3,0.15,-2,1,21.2
103,0,5,25.28,0.87,1.1,22.5,50.8,0.07,-1,1,22.9
104,0.6,14,29.37,1.01,1.5,22.8,49.5,0.12,-1,1,22.9
105,0.2,6,26.7,0.85,1.3,23,52.7,0.18,-1,1,23.1
106,-0.6,13,23,0.65,1.3,21.8,49,0.16,-1,1,21.4
107,0.3,7,26.88,0.93,1.3,24.7,53.4,0.18,-2,1,23.1
108,0.7,15,29.72,1.09,1.6,23.4,56.2,0.19,-1,1,22.4
109,-0.1,5,25.01,0.63,1.2,23.5,54.9,0.1,-1,1,23.5
110,-0.5,11,23.09,0.49,1.2,23.5,54.5,0.08,-1,1,23.2
111,-0.2,6,24.24,0.67,1.1,25.5,49.5,0.17,-2,1,24
112,-0.4,8,24.02,0.67,1.1,24.3,48.1,0.19,0,1,23.8
113,0.3,7,27.12,0.95,1.3,23.1,47.4,0.1,-2,1,22.4
114,-0.7,14,23.14,0.71,1.1,22.6,48.5,0.16,-2,1,22.3
115,0.4,8,26.91,0.67,1.4,24.9,45.5,0.13,-2,1,24.2
116,0.5,10,27.29,0.67,1.7,24.1,46.3,0.19,0,1,23.5
117,-0.4,8,23.91,0.73,1,24.6,45.8,0.24,0,1,24.3
118,0.3,7,25.67,0.57,1.6,24.6,45.5,0.24,1,1,24.3
119,0.6,11,27.51,0.63,1.6,24.2,46.9,0.07,0,1,23.7
120,0.8,18,29.52,0.91,1.5,25.1,49.2,0.1,1,1,24
121,-0.9,22,21.23,0.49,1.3,23.6,46.5,0.28,-2,1,22.4
122,0,5,25.18,0.73,1.3,22.8,48.4,0.1,-2,1,22.1
123,-0.8,20,21.68,0.73,1.2,23.2,46.9,0.28,-1,1,21.6
124,0.3,7,26.62,0.73,1.2,23.8,50.8,0.1,-1,1,24.7
125,-0.6,12,22.73,0.73,1.2,23.8,47.9,0.32,-1,1,22.8
126,-0.2,6,24.35,0.57,1.1,24.4,60.7,0.04,-1,1,23.8
127,0.1,5,25.89,0.75,1.1,24.5,59.8,0.19,-2,1,24.8
128,0.3,7,26.45,0.67,1.2,24.4,58.9,0.09,0,1,24.2
129,0.6,12,28.47,0.73,1.4,24.5,61.5,0.13,-1,1,24.3
130,0,5,25.5,0.9,1.2,24.3,47.8,0.14,-1,1,22.9
131,0.5,10,27.44,0.99,1.2,24.7,44.7,0.09,-1,1,23.9
132,0.5,9,27.29,0.59,1.2,25.2,70.1,0.18,0,1,26
133,0.1,5,24.93,0.65,1.1,25.8,48.6,0.32,-2,1,25.8
134,0.8,18,28.44,0.7,1.4,24.9,42.2,0.03,-1,1,25.9
135,-0.6,12,22.99,0.49,1.2,24,64.9,0.12,0,1,23
136,0.5,10,28.39,1.01,1.2,23.3,70.3,0.12,-1,1,23
137,-0.5,11,22.87,0.59,1.3,23.1,72,0.28,-2,1,22.7
138,0.1,5,24.42,0.59,1.7,24.4,48.5,0.32,-2,1,23.1
139,0,5,25.44,0.84,1.3,22,49.7,0.12,-2,1,21.4
140,-0.4,8,23.81,0.73,1.1,22.2,49.1,0.1,-2,1,22.4
141,-0.7,17,22.47,0.59,1.2,22.2,48.1,0.11,-2,1,21.8
142,0.5,11,27.8,0.73,1.5,23.4,56.4,0.09,0,1,23.4
143,-0.2,6,24.44,0.59,1.2,23.4,55.9,0.09,-1,1,23.4
144,0.4,8,26.77,0.65,1.4,23.4,56.4,0.09,-1,1,23.4
145,0.6,12,28.24,0.84,1.4,23.5,56.9,0.09,-1,1,23.5
146,0.2,6,26.58,0.84,1.2,23.8,59.1,0.14,-2,1,23.2
147,-0.5,11,23.4,0.59,1.1,23.7,58.7,0.14,-2,1,23
148,0,5,25.44,0.73,1.2,23.7,58.7,0.14,-1,1,23
149,0,5,25.58,0.65,1.3,23.8,59.1,0.14,-2,1,23.2
150,-0.1,5,25.31,0.67,1.2,23.6,71.5,0.19,2,1,23.7
151,0.6,12,27.98,0.65,1.6,24,53.1,0.1,-1,1,23.8
152,0.1,5,25.78,0.67,1.2,24.1,48.7,0.13,-1,0,23.9
153,0.3,7,26.68,0.65,1.3,24,57.1,0.1,1,1,23.9
154,-0.6,13,22.31,0.59,1.2,25.3,48.6,0.29,0,1,23.6
155,0.1,5,25.35,0.67,1.6,23.1,38.7,0.1,-2,1,21.4
156,-0.1,5,24.83,0.59,1.1,23.7,63.6,0.07,-1,1,24.1
157,0.8,18,28.83,0.73,1.4,25.3,59.5,0.08,-1,1,24.9
158,0.1,5,25.54,0.67,1,25.2,59.6,0.1,-1,1,24.9
