,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡F)
72,0.1,5.0,25.58,0.75,1.1,23.4,59.6,0.07,-1.0,1.0,1.0,5.0,74.1,23.7,74.6,13.84,78.6
73,0.3,7.0,26.9,0.55,1.5,23.2,60.5,0.13,-1.0,1.0,1.0,6.0,73.8,23.9,74.9,25.47,78.6
74,0.1,5.0,26.03,0.74,1.2,23.4,59.9,0.11,-2.0,1.0,1.0,6.0,74.2,23.2,73.7,22.02,78.6
75,0.4,8.0,26.96,0.9,1.2,23.4,59.9,0.08,-1.0,1.0,1.0,4.0,74.2,23.4,74.1,15.32,78.6
76,0.0,5.0,25.63,0.65,1.2,23.6,59.9,0.11,-1.0,1.0,1.0,5.0,74.4,23.6,74.4,22.02,78.6
77,-0.2,6.0,23.82,0.48,1.3,24.6,49.9,0.07,-1.0,1.0,1.0,5.0,76.3,23.3,74.0,14.33,78.6
78,-0.2,6.0,24.28,0.57,1.2,23.6,51.9,0.08,-1.0,1.0,1.0,6.0,74.4,23.2,73.7,15.75,78.6
79,0.1,5.0,25.53,0.59,1.3,24.8,45.1,0.13,-1.0,1.0,1.0,6.0,76.6,24.3,75.7,26.39,78.6
80,0.8,20.0,29.24,0.84,1.5,24.8,44.0,0.19,-2.0,0.0,0.0,5.0,76.6,25.3,77.5,38.08,78.6
81,-0.4,8.0,23.51,0.63,1.1,23.6,45.6,0.07,2.0,0.0,1.0,4.0,74.5,22.9,73.3,12.86,78.6
82,0.5,10.0,27.19,0.74,1.3,23.6,38.5,0.03,0.0,0.0,0.0,1.0,74.5,24.7,76.5,5.6,78.6
83,0.0,5.0,25.29,0.73,1.1,24.1,40.4,0.08,-2.0,1.0,1.0,1.0,75.3,24.1,75.4,15.75,78.6
84,0.2,6.0,26.46,0.95,1.2,23.4,40.9,0.09,-2.0,1.0,1.0,6.0,74.2,22.7,72.9,17.72,78.6
85,-0.4,8.0,23.78,0.65,1.4,22.3,50.8,0.13,0.0,1.0,1.0,6.0,72.2,21.2,70.2,24.98,78.6
86,0.2,6.0,26.1,0.85,1.7,21.5,52.2,0.28,1.0,1.0,1.0,4.0,70.6,21.1,70.0,55.43,78.6
87,0.2,6.0,26.56,0.95,1.2,22.0,47.9,0.1,-2.0,1.0,1.0,4.0,71.7,22.5,72.5,19.75,78.6
88,-0.1,5.0,25.42,0.85,1.2,22.4,47.5,0.13,-2.0,1.0,1.0,4.0,72.3,22.2,72.0,26.45,78.6
89,0.1,5.0,25.89,0.92,1.2,22.5,47.5,0.08,-1.0,1.0,1.0,4.0,72.5,22.4,72.3,16.3,78.6
90,-0.1,5.0,24.74,0.69,1.3,22.5,47.6,0.03,-2.0,1.0,1.0,5.0,72.5,22.3,72.1,5.17,78.6
91,-1.2,36.0,21.03,0.49,1.2,22.3,48.0,0.14,-2.0,1.0,1.0,3.0,72.1,21.4,70.4,27.81,78.6
92,-0.3,7.0,24.13,0.74,1.5,20.9,49.0,0.13,-1.0,1.0,0.0,6.0,69.7,20.0,68.0,26.39,78.6
93,-0.6,13.0,22.8,0.63,1.2,20.9,58.3,0.07,-2.0,1.0,1.0,4.0,69.7,21.2,70.2,12.92,78.6
94,-0.1,5.0,25.09,0.93,1.1,22.5,46.9,0.09,-1.0,1.0,1.0,5.0,72.4,22.4,72.3,18.27,78.6
95,0.0,5.0,26.02,0.95,1.2,21.2,57.1,0.12,-2.0,1.0,1.0,5.0,70.2,21.6,71.0,23.07,78.6
96,-0.1,5.0,24.88,0.95,1.1,22.0,59.9,0.09,-2.0,0.0,0.0,5.0,71.6,21.9,71.4,18.21,78.6
97,0.4,8.0,27.61,1.09,1.2,22.1,61.0,0.03,-2.0,1.0,1.0,5.0,71.7,22.0,71.6,5.17,78.6
