City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
Karachi,Pakistan,37,1,0.15,31.4,33.4,56.2,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.18,30,31.2,64,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.37,31.4,29,64.8,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.1,29.9,31.8,62.3,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.06,29.9,31.8,64,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.06,30.3,31.6,61.4,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.18,31,30.8,62.3,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.01,30.8,31.9,64,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.06,31.8,31.7,60.1,13.3,0.58,1.88,1
Karachi,Pakistan,32,1,0.52,33.1,32.7,60.5,13.3,0.21,0.65,0
Karachi,Pakistan,32,1,0.36,33.6,33.7,56.5,13.3,0.21,0.77,1
Karachi,Pakistan,32,1,0.26,33.5,34.1,54.6,13.3,0.21,0.77,1
Karachi,Pakistan,32,1,0.4,33.1,33,57.4,13.3,0.21,1.88,0
Karachi,Pakistan,32,1,0.32,32.9,32.7,59.2,13.3,0.31,0.77,0
Karachi,Pakistan,32,1,0.48,33,33.1,59.2,13.3,0.26,0.89,0
Karachi,Pakistan,32,1,0.02,32.8,33,61,13.3,0.26,1.01,0
Karachi,Pakistan,32,1,0.32,30.4,30.7,67.6,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.36,30.9,31,68.5,13.3,0.58,0.77,0
Karachi,Pakistan,32,1,0.01,31,31.2,68.5,13.3,0.4,1.88,0
Karachi,Pakistan,32,1,0.04,32.8,33,57.7,13.3,0.26,1.88,0
Karachi,Pakistan,32,1,0.23,32.4,32.7,57.9,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.18,32.1,32.2,61.4,13.3,0.4,0.89,0
Karachi,Pakistan,32,1,0.26,31.7,31.9,64,13.3,0.26,0.89,0
Karachi,Pakistan,32,1,0.03,32.6,32.6,61.4,13.3,0.26,1.88,0
Karachi,Pakistan,32,1,0.52,31.8,31.8,65.2,13.3,0.26,1.88,0
Karachi,Pakistan,32,1,0.36,31,31.1,67.7,13.3,0.21,1.88,0
Karachi,Pakistan,32,1,0.48,30.3,30.4,70.8,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.36,30.3,30.4,68.9,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.36,30.4,30.4,67.7,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.4,30.8,30.7,66.6,13.3,0.26,1.88,0
Karachi,Pakistan,32,1,0.02,32.7,32.9,59.2,13.3,0.42,1.88,1
Karachi,Pakistan,32,1,0.32,32.6,32.8,58.2,13.3,0.21,1.88,0
Karachi,Pakistan,32,1,0.52,32.5,32.7,59.2,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.26,31.8,32.1,63,13.3,0.26,1.88,0
Karachi,Pakistan,32,1,0.29,31.9,31.8,61.8,13.3,0.26,1.88,0
Karachi,Pakistan,32,1,0.32,31.4,31.5,64.3,13.3,0.21,1.88,0
Karachi,Pakistan,32,1,0.2,31,31.4,66.5,13.3,0.21,1.01,0
Karachi,Pakistan,32,1,0.04,32.9,32.9,56,13.3,0.26,0.89,0
Karachi,Pakistan,32,1,0.26,32.7,33,54.6,13.3,0.26,0.77,0
Karachi,Pakistan,32,1,0.2,32.5,33.2,54.2,13.3,0.26,0.77,0
Karachi,Pakistan,32,1,0.16,32.1,32.4,58.9,13.3,0.26,0.77,0
Karachi,Pakistan,32,1,0.02,32.4,32.9,58.3,13.3,0.26,0.77,0
Karachi,Pakistan,32,1,0.4,31.6,31.6,63.5,13.3,0.21,1.88,0
Karachi,Pakistan,32,1,0.32,31.3,31.4,63.6,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.48,33,33.2,51.8,13.3,0.26,1.01,0
Karachi,Pakistan,32,1,0.4,33.2,33.4,50.8,13.3,0.21,0.89,0
Karachi,Pakistan,32,1,0.62,33,33.2,46.8,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,1.25,33,33.3,49.3,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.23,32.3,32.6,56,13.3,0.26,1.01,0
Karachi,Pakistan,32,1,0.2,32.2,33.1,55.6,13.3,0.4,1.88,0
Karachi,Pakistan,32,1,0.4,32.2,32.2,56.9,13.3,0.4,1.88,0
Karachi,Pakistan,32,1,0.29,30.9,31.1,63,13.3,0.4,1.01,0
Karachi,Pakistan,32,1,0.02,33.1,33.4,51.3,13.3,0.4,1.88,0
Karachi,Pakistan,32,1,0.02,33.3,33.4,49.3,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.29,31.8,32,56.5,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.32,32,31.8,54.5,13.3,0.42,1.88,0
Karachi,Pakistan,32,1,0.07,32.6,32.8,53.7,13.3,0.4,1.01,0
Karachi,Pakistan,32,1,0.23,31,31.1,61.4,13.3,0.21,0.77,0
Karachi,Pakistan,32,1,0.32,30.9,31.1,60.5,13.3,0.21,0.77,0
Karachi,Pakistan,25,2,0.46,27.9,25.3,17.1,13.3,0.77,0.65,0
Karachi,Pakistan,25,2,0.03,24.3,24.4,16.7,13.3,0.77,1.13,0
