City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Bangkok,Thailand,32,1,0.1,23.4,24.4,70.7,13.3,0.45,1.1,0
Bangkok,Thailand,30,2,0.13,23.6,24.4,73.2,13.3,0.46,1.1,0
Bangkok,Thailand,27,1,0.12,23.7,24.4,73.2,13.3,0.56,1.1,1
Bangkok,Thailand,27,2,0.11,23,24,70.6,13.3,0.46,1.1,0
Bangkok,Thailand,29,1,0.16,22.2,22.6,70.4,13.3,0.65,1.1,0
Bangkok,Thailand,37,2,0.11,22.7,23.2,69.3,13.3,0.78,1.1,-1
Bangkok,Thailand,25,2,0.12,23,23.7,68.6,13.3,0.56,1.1,-1
Bangkok,Thailand,31,1,0.13,22.9,23.7,68.3,13.3,0.45,1.1,0
Bangkok,Thailand,28,2,0.11,24,25.2,64.1,13.3,0.55,1.1,0
Bangkok,Thailand,25,2,0.13,23.7,24.2,70.1,13.3,0.55,1.1,0
Bangkok,Thailand,32,2,0.14,23.2,23.6,70.3,13.3,0.29,1.1,-1
Bangkok,Thailand,30,2,0.12,23.3,23.7,70.4,13.3,0.46,1.1,1
Bangkok,Thailand,28,2,0.11,24,24.6,69.7,13.3,0.41,1.1,1
Bangkok,Thailand,22,2,0.16,23.8,24,70.2,13.3,0.52,1.1,0
Bangkok,Thailand,29,2,0.1,24.7,25,69.5,13.3,0.55,1.1,1
Bangkok,Thailand,31,1,0.11,24.4,24.7,68.9,13.3,0.56,1.1,2
Bangkok,Thailand,25,1,0.14,24.4,24.7,69.3,13.3,0.56,1.1,2
Bangkok,Thailand,26,1,0.11,23.1,23.3,70.8,13.3,0.78,1.1,-2
Bangkok,Thailand,33,2,0.11,21.9,22.8,71.7,13.3,0.41,1.1,0
Bangkok,Thailand,29,2,0.11,21.6,22.8,66.9,13.3,0.63,1.1,-1
Bangkok,Thailand,23,2,0.13,21.5,22.5,67.7,13.3,0.67,1.1,-1
Bangkok,Thailand,28,1,0.11,21.5,21.9,69.4,13.3,0.56,1.1,-1
Bangkok,Thailand,41,1,0.11,22.2,22.4,72.6,13.3,0.65,1.1,-1
Bangkok,Thailand,24,1,0.13,22.9,23.4,72.1,13.3,0.65,1.1,0
Bangkok,Thailand,31,2,0.11,22.9,23.4,71.6,13.3,0.59,1.1,1
Bangkok,Thailand,31,1,0.13,23,23.2,71.4,13.3,0.56,1.1,0
Bangkok,Thailand,65,1,0.12,21.7,22.2,72.8,13.3,0.51,1.1,-1
Bangkok,Thailand,30,2,0.11,23,23.5,73.3,13.3,0.55,1.1,0
Bangkok,Thailand,31,1,0.15,22.1,22.3,72.3,13.3,0.56,1.1,0
Bangkok,Thailand,32,1,0.1,24.1,24.7,69.4,13.3,0.65,1.1,1
Bangkok,Thailand,33,2,0.14,23.4,24.2,65.1,13.3,0.55,1.1,1
Bangkok,Thailand,33,2,0.11,23.2,24.1,65.5,13.3,0.67,1.1,0
Bangkok,Thailand,32,2,0.12,23,24.1,66.3,13.3,0.51,1.1,-2
Bangkok,Thailand,31,2,0.13,23.3,24.3,65.8,13.3,0.51,1.1,0
Bangkok,Thailand,30,2,0.11,23.6,24.4,66.2,13.3,0.55,1.1,0
Bangkok,Thailand,29,2,0.13,23.6,24.4,66.4,13.3,0.51,1.1,0
Bangkok,Thailand,36,2,0.12,23.8,24.5,67.6,13.3,0.6,1.1,1
Bangkok,Thailand,26,2,0.13,23.8,24.1,66.7,13.3,0.47,1.1,1
Bangkok,Thailand,28,2,0.12,23,23.7,67.1,13.3,0.51,1.1,0
