,City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
81471,Goulburn,Australia,80,2,0.06,21.9,22.1,47.7,21.4,0.96,1,0
81472,Goulburn,Australia,90,1,0.25,22.6,23.8,45.3,21.4,0.66,1,0
81473,Goulburn,Australia,55,2,0.11,20.4,21.4,56.3,20.9,0.65,1.3,0
81474,Goulburn,Australia,35,2,0.09,20.5,21.4,56,20.9,0.49,1.5,0
81475,Goulburn,Australia,80,2,0.05,21.3,22,54.3,20.9,2.16,0.8,0
81476,Goulburn,Australia,95,1,0.1,20.1,22.2,49.1,20.9,0.82,1,0
81477,Goulburn,Australia,55,1,0.07,21.4,22,53.9,20.9,0.3,1,0
81478,Goulburn,Australia,80,1,0.06,21,22.2,50.2,20.9,0.99,1,0
81479,Goulburn,Australia,70,2,0.07,22.1,22.2,55.5,20.9,0.94,1,0
81480,Goulburn,Australia,31,2,0.11,22.5,23,53.6,20.9,1.29,1,0
81481,Goulburn,Australia,55,2,0.08,22.9,23.6,52.4,20.9,0.3,1.2,0
81482,Goulburn,Australia,55,1,0.07,22.7,23.2,52.1,20.9,0.62,1,0
81483,Goulburn,Australia,90,2,0.05,21.5,21.7,54.1,20.9,1.74,0.8,0
81484,Goulburn,Australia,90,2,0.07,21.8,22.5,50.9,20.9,0.94,1,0
81485,Goulburn,Australia,80,2,0.05,21.9,22.3,52.1,20.9,0.6,1,0
81486,Goulburn,Australia,55,2,0.14,22.4,22.6,53.4,20.9,0.3,1.9,0
81487,Goulburn,Australia,31,2,0.1,23.2,23.5,51,20.9,0.6,1,0
81488,Goulburn,Australia,55,2,0.12,23.6,23.8,51,20.9,0.49,1.6,2
81489,Goulburn,Australia,70,1,0.11,23.2,23.7,53.1,20.9,0.63,1.6,0
81490,Goulburn,Australia,31,2,0.16,23.9,23.9,50.8,20.9,0.59,1,1
81491,Goulburn,Australia,31,2,0.3,23.4,24.7,50.7,20.9,0.59,1,2
81492,Goulburn,Australia,55,1,0.1,21.7,23.1,54.5,20.9,0.59,1,0
81493,Wollongong,Australia,55,2,0.08,17.1,18.8,39.6,17.6,0.44,1,-1
81494,Wollongong,Australia,55,1,0.09,20.3,20.6,37.9,17.6,0.63,1.2,0
81495,Wollongong,Australia,55,2,0.09,20.4,20.9,36.9,17.6,0.76,1.2,-1
81496,Wollongong,Australia,31,1,0.21,21.3,21.4,33.5,17.6,0.85,1,0
81497,Wollongong,Australia,80,2,0.06,21.4,22,36.4,17.6,1.73,0.8,-1
81498,Wollongong,Australia,90,2,0.17,21.4,22.5,33.2,17.6,0.94,1,0
81499,Wollongong,Australia,90,2,0.07,21.3,22.1,35.8,17.6,0.99,1,0
81500,Wollongong,Australia,90,2,0.08,21.3,22.1,35.7,17.6,2.29,0.8,0
81501,Wollongong,Australia,80,2,0.06,21.4,21.8,36.4,17.6,0.32,0.8,0
81502,Wollongong,Australia,80,1,0.07,21.6,22.1,31.9,17.6,0.66,1,-2
81503,Wollongong,Australia,31,1,0.09,20.4,21.3,34.3,17.6,1.11,1,0
81504,Wollongong,Australia,90,1,0.07,20.7,20.9,36.2,17.6,1.97,0.8,0
81505,Wollongong,Australia,55,2,0.09,20.4,21,36.1,17.6,0.49,2,0
81506,Wollongong,Australia,90,1,0.14,20.2,20.6,33.9,17.6,0.82,1,0
81507,Wollongong,Australia,90,2,0.06,21,20.7,37.1,17.6,1.84,0.8,-2
81508,Wollongong,Australia,80,1,0.06,21.3,21.5,35.1,17.6,1.08,1,0
81509,Wollongong,Australia,31,2,0.09,21.7,21.9,31.6,17.6,0.49,1.9,0
81510,Wollongong,Australia,55,2,0.08,20.3,21.2,31,17.6,0.49,2,0
81511,Wollongong,Australia,25,2,0.08,19.2,20,33.9,17.6,0.87,1.6,-1
81512,Wollongong,Australia,80,1,0.06,20.5,20.8,36.7,17.6,0.96,1,-2
81513,Wollongong,Australia,55,2,0.07,20.5,20.8,36.8,17.6,0.69,1.2,0
81514,Wollongong,Australia,25,2,0.07,20.6,21.1,36.2,17.6,0.5,1.2,-2
81515,Wollongong,Australia,35,2,0.07,20.6,21,36.5,17.6,0.84,1.2,0
81516,Wollongong,Australia,35,2,0.11,20,20.5,31,17.6,0.83,1.2,-1
81517,Wollongong,Australia,25,2,0.11,20.8,20.8,32.4,17.6,0.69,1.2,-2
81518,Wollongong,Australia,25,2,0.08,21,20.8,32.3,17.6,0.59,1.2,0
81519,Wollongong,Australia,80,1,0.06,21.4,21.5,33.1,17.6,2.33,0.8,0
81520,Wollongong,Australia,35,2,0.06,21,21,44,15.7,0.53,1.6,0
81521,Wollongong,Australia,55,2,0.1,21.4,22.4,35.3,15.7,0.71,1.2,1
81522,Wollongong,Australia,55,2,0.34,22.2,22.2,34.9,15.7,0.59,1.1,0
81523,Wollongong,Australia,35,1,0.12,18.2,20.3,38.7,15.7,0.73,1,-1
81524,Wollongong,Australia,80,1,0.05,21.1,20.9,41.8,15.7,1.16,1,1
81525,Wollongong,Australia,90,2,0.08,21.4,21.4,40.9,15.7,0.73,1,0
81526,Wollongong,Australia,80,1,0.05,21.7,22.2,38.7,15.7,0.92,1,0
81527,Wollongong,Australia,90,1,0.09,22.1,22.7,39,15.7,1.04,1,0
81528,Wollongong,Australia,35,2,0.09,22.3,23,38.9,15.7,0.59,1.2,0
81529,Wollongong,Australia,90,2,0.07,21.5,22.2,41.6,15.7,0.97,1,0
81530,Wollongong,Australia,55,2,0.05,21.4,22,41.2,15.7,0.77,1,1
81531,Wollongong,Australia,90,1,0.05,21.4,21.9,41.6,15.7,1.06,1,0
81532,Wollongong,Australia,55,2,0.07,21.8,22.5,39,15.7,0.96,1,0
81533,Wollongong,Australia,55,2,0.07,21.9,22.5,38.7,15.7,0.73,1.2,1
81534,Wollongong,Australia,90,2,0.05,21.2,22.4,38.1,15.7,1.01,1,0
81535,Wollongong,Australia,70,1,0.07,22.2,22.8,38.9,15.7,0.64,1,1
81536,Wollongong,Australia,95,2,0.06,22.2,22.8,39.1,15.7,0.94,1,0
81537,Wollongong,Australia,95,2,0.08,20.1,20.3,42.9,16,1.04,1,0
81538,Wollongong,Australia,95,2,0.05,20.8,21.2,39.9,16,1.14,1.2,0
81539,Wollongong,Australia,80,2,0.06,21.3,22,36.8,16,0.35,1,0
81540,Wollongong,Australia,55,1,0.06,21.4,22,36.9,16,0.62,1,-1
81541,Wollongong,Australia,90,1,0.07,21,22.2,37.1,16,1.08,1,1
81542,Wollongong,Australia,55,2,0.07,21,21.3,37.2,16,0.61,0.9,-1
81543,Wollongong,Australia,80,1,0.08,20.4,21.2,38.5,16,2.26,0.8,0
81544,Wollongong,Australia,35,2,0.11,20.8,21.2,38.9,16,0.53,2,0
81545,Wollongong,Australia,90,1,0.07,21.8,21.4,40.3,16,1.09,1,0
81546,Wollongong,Australia,31,1,0.05,18.8,19.2,51.5,13.3,2.28,0.8,0
81547,Wollongong,Australia,90,1,0.05,19.4,20.2,48.3,13.3,0.78,1,0
81548,Wollongong,Australia,90,1,0.06,19.2,20.2,50.2,13.3,2.23,0.8,-1
81549,Wollongong,Australia,31,1,0.05,20.1,20.3,49.3,13.3,2.28,0.8,0
81550,Wollongong,Australia,55,2,0.05,20.6,21.1,41.9,13.3,0.84,0.9,-2
81551,Wollongong,Australia,80,2,0.05,20.1,20.7,43.1,13.3,0.89,1,0
81552,Wollongong,Australia,90,2,0.05,20.4,20.3,42.7,13.3,1.99,0.8,0
81553,Wollongong,Australia,31,2,0.05,20.5,20.6,42.6,13.3,0.84,1,0
81554,Wollongong,Australia,90,2,0.08,21.7,21,43.7,13.3,0.89,1,-1
81555,Wollongong,Australia,70,2,0.09,20.6,21.3,42.1,13.3,0.83,1,0
81556,Wollongong,Australia,55,2,0.06,21.3,20.9,42.8,13.3,0.93,1,1
81557,Wollongong,Australia,35,2,0.05,21.8,21.5,42.3,13.3,0.69,1,-1
81558,Wollongong,Australia,35,1,0.06,22,22.2,43.9,13.3,0.49,2,0
81559,Wollongong,Australia,35,2,0.09,21.5,21.5,43.5,13.3,0.69,1,0
81560,Wollongong,Australia,31,2,0.06,21.9,20.5,48.5,13.3,1.04,1,0
81561,Wollongong,Australia,35,2,0.07,22.3,21.6,45.9,13.3,0.59,1,0
81562,Wollongong,Australia,80,1,0.06,24.1,22.5,40.9,13.3,1.51,0.8,0
81563,Wollongong,Australia,80,1,0.05,21.3,21.7,45.3,13.3,1.29,1.2,-1
81564,Wollongong,Australia,31,2,0.13,21.3,22.1,43,13.3,1.08,1,0
81565,Wollongong,Australia,31,2,0.13,21.3,22.1,43,13.3,1.01,1,0
81566,Wollongong,Australia,31,1,0.11,21,22.2,42.2,13.3,0.98,1,0
81567,Wollongong,Australia,35,2,0.05,21.1,21.3,45,13.3,1,1,0
81568,Wollongong,Australia,55,2,0.05,21.8,21.6,46.4,13.3,1.08,0.9,0
81569,Wollongong,Australia,31,2,0.06,21.9,21.7,46.3,13.3,0.83,1,0
81570,Wollongong,Australia,25,2,0.06,22.1,22.2,45.9,13.3,1.01,1,-1
81571,Wollongong,Australia,31,1,0.06,22.2,22.7,44.6,13.3,0.89,1,0
81572,Wollongong,Australia,55,1,0.1,22.9,22.8,43.3,13.3,0.46,2,1
81573,Goulburn,Australia,90,2,0.06,21,20.2,29.4,5.4,0.93,1,0
81574,Goulburn,Australia,55,2,0.17,16.3,22.5,25.2,5.4,0.49,2,0
81575,Goulburn,Australia,70,2,0.15,22.2,20,26.7,5.4,0.78,1,0
81576,Goulburn,Australia,90,1,0.06,22.2,22.6,25.8,5.4,1.12,1,0
81577,Goulburn,Australia,31,1,0.06,21.4,22.4,25.3,5.4,1.92,0.8,0
81578,Goulburn,Australia,35,2,0.09,22.9,23.2,25.5,5.4,0.79,1.2,1
81579,Goulburn,Australia,95,1,0.07,21.7,23.7,24.7,5.4,1.19,1,0
81580,Goulburn,Australia,90,2,0.06,20.5,22,27,5.4,1.27,1,0
81581,Goulburn,Australia,55,1,0.06,20.9,21.3,25.7,5.4,0.92,1,1
81582,Goulburn,Australia,90,2,0.08,20.9,21.5,26.6,5.4,1.04,1,0
81583,Goulburn,Australia,70,2,0.05,21.4,21.6,27.2,5.4,1.04,1,0
81584,Goulburn,Australia,55,2,0.14,21.2,21.6,30.7,5.4,0.71,1.6,0
81585,Goulburn,Australia,90,2,0.07,21.3,21.1,28.3,5.4,0.93,0.8,0
81586,Goulburn,Australia,90,2,0.09,21.5,21.9,27.4,5.4,0.81,1,0
81587,Goulburn,Australia,55,2,0.06,20.4,21.2,29.5,5.4,0.68,1,0
81588,Goulburn,Australia,80,2,0.06,20.3,21.2,29.5,5.4,0.74,1,0
81589,Goulburn,Australia,70,2,0.08,21,20.9,32.5,5.4,0.98,1,0
81590,Goulburn,Australia,55,1,0.05,21.9,21.7,28.6,5.4,0.59,1,0
81591,Goulburn,Australia,55,2,0.06,21.8,21.7,28.6,5.4,0.59,1,0
81592,Goulburn,Australia,31,2,0.12,20,22.3,28.8,5.4,0.49,2,0
81593,Goulburn,Australia,25,1,0.07,19,20.3,30.9,5.4,0.68,1,0
81594,Goulburn,Australia,35,2,0.07,19,20.3,30.9,5.4,0.87,1,0
81595,Goulburn,Australia,55,2,0.07,19,20.3,31.3,5.4,0.59,1,0
81596,Goulburn,Australia,55,2,0.12,21.1,19.8,30.7,5.4,0.97,1,0
81597,Goulburn,Australia,55,2,0.05,21.5,21.6,30.9,5.4,0.59,1,0
81598,Goulburn,Australia,55,2,0.05,21.5,21.7,31.1,5.4,0.59,1,0
81599,Goulburn,Australia,90,1,0.13,20.7,22.2,26.7,5.4,0.82,1,0
81600,Goulburn,Australia,90,2,0.08,21.9,21.8,27.1,5.4,2.31,0.8,0
81601,Goulburn,Australia,80,2,0.06,21,21.2,28.3,5.4,1.29,1.2,0
81602,Goulburn,Australia,70,2,0.06,20.7,21.1,28.5,5.4,1.01,1,0
81603,Goulburn,Australia,90,2,0.16,21.1,22,32.9,5.3,0.91,0.9,0
81604,Goulburn,Australia,35,1,0.13,20.2,22.5,31.4,5.3,0.77,1.6,0
81605,Goulburn,Australia,70,2,0.05,21.2,21.9,33.7,5.3,0.75,1,0
81606,Goulburn,Australia,90,1,0.09,22.7,22.8,33.1,5.3,0.92,1.6,0
81607,Goulburn,Australia,55,2,0.17,19.5,21.9,32.2,5.3,0.63,1,1
81608,Goulburn,Australia,55,1,0.13,19.3,21.5,32.4,5.3,0.73,1,0
81609,Goulburn,Australia,55,2,0.08,19.3,20.8,32.6,5.3,0.37,1,0
81610,Goulburn,Australia,80,2,0.07,21.3,20.2,34.7,5.3,0.97,1,0
81611,Goulburn,Australia,80,2,0.07,21.3,20.4,34.6,5.3,0.72,1,0
81612,Goulburn,Australia,90,2,0.17,24.6,20.5,30.3,5.3,1.08,1,0
81613,Goulburn,Australia,90,2,0.08,22.5,23.4,29.8,5.3,0.95,1,0
81614,Goulburn,Australia,80,1,0.1,20.3,22.2,31.3,5.3,1.16,1,0
81615,Goulburn,Australia,80,2,0.06,22.4,23,31.5,5.3,1.04,1,0
81616,Goulburn,Australia,90,2,0.05,22.4,23,31.8,5.3,0.88,1,0
81617,Goulburn,Australia,31,1,0.06,19.8,20.4,34,5.3,1.01,1,0
81618,Goulburn,Australia,90,1,0.06,22.9,21.2,33.9,5.3,1.06,1,0
81619,Goulburn,Australia,90,1,0.06,21.8,22.4,30.9,5.3,0.84,1,0
81620,Goulburn,Australia,95,1,0.07,22.2,22.4,29.9,5.3,1.04,1,0
81621,Goulburn,Australia,31,1,0.08,22.6,22.6,29,5.3,0.98,1,1
81622,Goulburn,Australia,55,2,0.13,22.7,23.5,28.5,5.3,0.76,1.6,0
81623,Wollongong,Australia,80,1,0.06,16.4,18,63.2,12.6,0.72,1,0
81624,Wollongong,Australia,55,2,0.07,16.8,18.7,58.9,12.6,0.81,2,0
81625,Wollongong,Australia,80,1,0.05,19.5,19.9,46.4,12.6,1.24,1,0
81626,Wollongong,Australia,70,2,0.07,16.4,18.3,46,12.6,2.63,0.8,0
81627,Wollongong,Australia,55,2,0.06,18.7,18.8,49.5,12.6,0.81,1.6,0
81628,Wollongong,Australia,70,2,0.06,20.5,20.7,43.6,12.6,0.94,1.3,0
81629,Wollongong,Australia,70,1,0.05,19.7,20.3,43.4,12.6,1.09,1,0
81630,Wollongong,Australia,70,1,0.05,19.8,20.4,43.1,12.6,0.65,1,0
81631,Wollongong,Australia,70,1,0.06,20.4,21.3,41.7,12.6,0.77,1,0
81632,Wollongong,Australia,80,2,0.08,20.3,21.7,39,12.6,1.16,1,0
81633,Wollongong,Australia,90,2,0.07,20.2,21.7,38.5,12.6,0.89,1,0
81634,Wollongong,Australia,90,2,0.05,19.7,21,40.5,12.6,1.14,0.9,0
81635,Wollongong,Australia,70,1,0.06,18.2,19.8,39.7,12.6,2.8,0.8,0
81636,Wollongong,Australia,70,2,0.05,19.3,19.6,46.4,12.6,1.06,1,0
81637,Wollongong,Australia,55,2,0.06,20.4,21.3,41.7,12.6,1.04,1.2,0
81638,Wollongong,Australia,80,2,0.05,24.3,24.4,30.7,12.6,0.81,0.8,0
81639,Wollongong,Australia,80,2,0.08,20.9,22.6,38.9,12.6,0.69,1,0
81640,Wollongong,Australia,70,1,0.05,22.8,22.5,36.9,12.6,0.84,1,0
81641,Wollongong,Australia,90,2,0.06,19.8,20.9,52,12.6,2.14,0.8,0
81642,Wollongong,Australia,80,1,0.06,21.8,21.8,49.2,12.6,0.86,1,0
81643,Wollongong,Australia,90,2,0.06,21.9,22.4,39.7,12.6,0.67,1,0
81644,Wollongong,Australia,90,1,0.05,22.1,22.5,41,12.6,0.93,1,0
81645,Wollongong,Australia,80,2,0.08,20.4,22.9,43.7,12.6,1.09,1,0
81646,Wollongong,Australia,80,2,0.06,20.7,21.1,52,12.6,1.21,1.6,0
81647,Wollongong,Australia,70,2,0.05,20.3,20.8,55.4,12.6,2.7,0.7,0
81648,Wollongong,Australia,80,2,0.06,20.8,20.8,43.8,12.6,0.88,1,-1
81649,Wollongong,Australia,80,1,0.05,21.4,21.6,42.9,12.6,0.74,1,1
81650,Wollongong,Australia,90,2,0.05,21.3,21.8,47,12.6,1.05,0.8,0
81651,Wollongong,Australia,80,2,0.06,18.8,20.5,42.2,12.8,0.85,1,0
81652,Wollongong,Australia,55,2,0.06,19.7,20.5,42.7,12.8,0.49,2,1
81653,Wollongong,Australia,55,1,0.06,19.7,20.4,43,12.8,0.38,2.1,1
81654,Wollongong,Australia,80,2,0.05,19.6,20.6,49,12.8,1.69,0.8,0
81655,Wollongong,Australia,31,2,0.05,20.6,21.4,41.5,12.8,0.91,1,-1
81656,Wollongong,Australia,90,2,0.05,21.3,22.2,37.9,12.8,2.46,1,0
81657,Wollongong,Australia,80,1,0.08,20.7,22.1,37.1,12.8,0.79,1,0
81658,Wollongong,Australia,95,2,0.12,16.9,19.5,44.8,12.8,2.87,1,-1
81659,Wollongong,Australia,70,2,0.05,21.3,21.2,46.3,12.8,0.67,1,0
81660,Wollongong,Australia,80,1,0.17,21.5,22.1,40,12.8,1.09,1,0
81661,Wollongong,Australia,31,2,0.13,22.1,22,39.6,12.8,0.94,1,0
81662,Wollongong,Australia,90,2,0.05,20.7,21.7,40.9,12.8,0.88,1,0
81663,Wollongong,Australia,90,2,0.11,22,21.9,40.5,12.8,1.15,1,0
81664,Wollongong,Australia,90,2,0.05,21.3,22.2,41.3,12.8,1.03,1,-1
81665,Wollongong,Australia,90,2,0.06,22.5,22.9,39.4,12.8,2.2,0.8,-2
81666,Wollongong,Australia,90,1,0.07,22.3,22.8,40.8,12.8,1.32,1,1
81667,Wollongong,Australia,90,2,0.05,21,21.5,43.6,12.8,0.94,1,0
81668,Wollongong,Australia,90,2,0.28,22.3,22.2,40.5,12.8,1.91,0.8,0
81669,Wollongong,Australia,80,1,0.05,22.6,22.7,39.7,12.8,0.49,1,0
81670,Wollongong,Australia,90,1,0.07,21.5,22.5,40.5,12.8,1.09,1,0
81671,Wollongong,Australia,80,1,0.09,21.3,21.9,41.3,12.8,0.88,1,0
81672,Wollongong,Australia,90,2,0.17,24.1,22.1,37.2,12.8,0.85,1,1
81673,Wollongong,Australia,70,2,0.16,24.1,22.7,37,12.8,1.02,1,2
81674,Wollongong,Australia,80,2,0.07,22.1,23.9,37.4,12.8,0.95,1,-1
81675,Wollongong,Australia,80,2,0.06,22.7,23.5,38.2,12.8,1.08,1,0
81676,Wollongong,Australia,80,2,0.07,21.8,22.9,38.7,12.8,2.49,0.8,0
81677,Wollongong,Australia,25,1,0.05,22.4,22.8,40.7,12.8,0.53,1,0
81678,Wollongong,Australia,55,2,0.05,22.4,22.8,40.7,12.8,0.82,1,1
81679,Wollongong,Australia,25,2,0.05,22.4,22.8,40.8,12.8,0.75,1,1
81680,Wollongong,Australia,90,2,0.14,21,22.5,39.6,12.8,2.59,0.8,-1
81681,Wollongong,Australia,80,2,0.16,21,22.2,40.5,12.8,2.58,1,0
81682,Wollongong,Australia,90,1,0.06,21.6,21.6,42.7,12.8,1.11,1,0
81683,Wollongong,Australia,90,2,0.05,21.5,21.6,42.7,12.8,2.3,1,0
81684,Wollongong,Australia,80,2,0.07,20.5,21.5,41.4,12.8,1.15,1,-1
81685,Wollongong,Australia,90,1,0.06,21.5,22.6,54.6,13.4,0.74,1,0
81686,Wollongong,Australia,95,2,0.06,21.7,22.9,53.9,13.4,2.27,0.8,1
81687,Wollongong,Australia,90,1,0.06,21.9,22.9,54.7,13.4,2.68,0.8,1
81688,Wollongong,Australia,90,1,0.07,21.1,22.6,55.6,13.4,0.84,1,0
81689,Wollongong,Australia,90,2,0.12,20.2,21.7,56.6,13.4,0.82,1,0
81690,Wollongong,Australia,35,1,0.05,20,20.3,61.3,13.4,0.73,0.9,1
81691,Wollongong,Australia,90,2,0.13,22.8,22.2,58.6,13.4,2.22,0.8,0
81692,Wollongong,Australia,80,2,0.05,21.6,22.7,56.4,13.4,0.81,1,0
81693,Wollongong,Australia,90,1,0.05,20,21.2,59.5,13.4,1.04,1,0
81694,Wollongong,Australia,90,2,0.05,20.8,21.3,60,13.4,1.13,1,0
81695,Wollongong,Australia,70,2,0.05,22.1,22.8,58.9,13.4,0.61,1.6,0
81696,Wollongong,Australia,90,2,0.05,21.7,22.2,58.5,13.4,1.79,0.8,0
81697,Wollongong,Australia,35,2,0.05,23,22.8,57.1,13.4,0.83,1.2,1
81698,Wollongong,Australia,80,1,0.26,21.5,22.9,57.8,13.4,0.86,1,0
81699,Wollongong,Australia,90,2,0.05,22,22.7,54.7,13.4,0.84,1,0
81700,Wollongong,Australia,80,1,0.11,22.7,23.1,58.8,13.4,1.16,1,0
81701,Wollongong,Australia,80,1,0.1,22.7,23.2,58.9,13.4,1.16,1,0
81702,Wollongong,Australia,90,1,0.1,22.6,23.1,59,13.4,1.19,1,0
81703,Wollongong,Australia,35,1,0.07,21.3,22,58.4,13.4,0.4,1.6,0
81704,Wollongong,Australia,95,1,0.05,21,21.4,61,13.4,1.14,1,0
81705,Wollongong,Australia,95,1,0.05,21,21.4,61,13.4,1.27,0.7,0
81706,Wollongong,Australia,95,2,0.07,21.3,21.4,61.2,13.4,0.8,1,0
81707,Wollongong,Australia,90,2,0.07,21.3,21.4,61.2,13.4,1.07,1,0
81708,Wollongong,Australia,90,1,0.15,21.8,22.1,59.4,13.4,2.33,0.8,0
81709,Wollongong,Australia,55,2,0.1,21.8,22.1,59.1,13.4,0.73,1,0
81710,Wollongong,Australia,90,2,0.06,21.5,21.8,59.2,13.4,0.82,1,-1
81711,Wollongong,Australia,90,1,0.08,21.8,22.2,57.3,13.4,2.36,0.8,0
81712,Wollongong,Australia,90,2,0.13,20.1,21.3,55.2,13.4,1.73,0.8,1
81713,Wollongong,Australia,90,2,0.05,21.3,21.1,59.7,13.4,0.84,1,0
81714,Wollongong,Australia,90,1,0.08,21.8,22,59,13.4,2.16,1,0
81715,Wollongong,Australia,90,1,0.05,21.8,22.3,58,13.4,1.12,1,-1
81716,Wollongong,Australia,80,2,0.06,22.3,22.6,55.8,13.4,2.22,0.8,-1
81717,Wollongong,Australia,80,2,0.06,22.3,22.6,55.8,13.4,2.02,0.8,1
81718,Wollongong,Australia,80,1,0.06,22.2,22.6,57.2,13.4,0.79,1,0
81719,Wollongong,Australia,95,1,0.05,22.2,22.6,57.3,13.4,0.97,1,-1
81720,Wollongong,Australia,70,2,0.08,22.9,23.4,54.7,13.4,1.74,0.9,1
81721,Wollongong,Australia,90,2,0.1,21.2,22.3,55.5,13.4,0.67,0.9,0
81722,Wollongong,Australia,55,2,0.15,20.2,22.5,52.4,13.7,0.9,1,0
81723,Wollongong,Australia,80,2,0.08,21.3,22.5,55.6,13.7,0.98,1,0
81724,Wollongong,Australia,90,2,0.07,21.4,22.4,55.5,13.7,0.84,1,0
81725,Wollongong,Australia,90,2,0.08,21.6,22.7,55.2,13.7,1.1,1,0
81726,Wollongong,Australia,55,2,0.08,21.5,22.8,55.2,13.7,0.82,1,0
81727,Wollongong,Australia,90,2,0.07,21.8,22.5,55,13.7,0.98,1,0
81728,Wollongong,Australia,80,2,0.07,21.5,22.2,53.6,13.7,0.72,1,0
81729,Wollongong,Australia,90,2,0.07,21.6,22.1,54.2,13.7,1.12,1,0
81730,Wollongong,Australia,70,2,0.06,21.7,22.2,54.2,13.7,0.7,1.4,0
81731,Wollongong,Australia,55,2,0.12,19.8,20.6,59.2,13.7,0.76,1,-1
81732,Wollongong,Australia,70,2,0.11,19.7,20.6,59.3,13.7,0.62,1,0
81733,Wollongong,Australia,55,2,0.1,19.7,20.4,59.7,13.7,0.88,1,-2
81734,Wollongong,Australia,80,1,0.06,20.9,21,59.6,13.7,1.69,0.8,0
81735,Wollongong,Australia,90,1,0.06,21.3,21.4,59.3,13.7,0.92,1,0
81736,Wollongong,Australia,80,2,0.05,21.3,21.5,58.8,13.7,0.89,1,0
81737,Wollongong,Australia,35,2,0.06,21.9,22.6,52.9,13.7,1.04,1,1
81738,Wollongong,Australia,90,2,0.07,21.7,22.3,55.1,13.7,2.47,0.8,0
81739,Wollongong,Australia,70,2,0.05,21.8,22.2,56.2,13.7,0.62,1.2,0
81740,Wollongong,Australia,90,2,0.05,21.8,22.3,56.3,13.7,2.54,0.8,0
81741,Wollongong,Australia,80,1,0.07,21.9,22.4,55.1,13.7,0.58,1,0
81742,Wollongong,Australia,70,2,0.07,22,22.5,55,13.7,0.88,1,1
81743,Wollongong,Australia,55,2,0.06,22,22.6,55.4,13.7,0.93,1,0
81744,Wollongong,Australia,80,2,0.06,22,22.6,55.3,13.7,0.38,2.1,1
81745,Wollongong,Australia,70,2,0.11,21.5,22.4,55.2,13.7,2.25,0.8,0
81746,Wollongong,Australia,90,2,0.06,22.4,22.8,52.5,13.7,0.94,1,0
81747,Wollongong,Australia,80,1,0.08,22.1,22.5,54.1,13.7,0.66,1,0
81748,Wollongong,Australia,80,2,0.08,22,22.5,54,13.7,0.69,1,0
81749,Wollongong,Australia,35,2,0.11,20.7,21.6,58,13.7,0.82,1,1
81750,Wollongong,Australia,55,2,0.09,20.8,21.7,57.4,13.7,0.86,1.2,0
81967,Cardiff,UK,31,1,0.06,19.1,19.6,51.3,13.3,0.65,2.1,2
81968,Cardiff,UK,31,1,0.06,19.1,19.6,51.3,13.3,0.78,2.1,2
81969,Cardiff,UK,31,1,0.06,20,19,51.9,13.3,1.05,2.1,1
81970,Cardiff,UK,31,1,0.06,21,20.2,49.9,13.3,0.4,2.6,2
81971,Cardiff,UK,31,1,0.06,23,21.9,45.6,13.3,0.37,3,2
81972,Cardiff,UK,31,1,0.06,19.8,19.4,51.4,13.3,1.29,2.1,1
81973,Cardiff,UK,31,1,0.06,20,19,51.9,13.3,0.6,2.1,2
81974,Cardiff,UK,31,1,0.06,21.6,22,44.7,13.3,0.48,2.6,1
81975,Cardiff,UK,31,2,0.06,21.2,20.7,48.3,13.3,0.51,2.6,2
81976,Cardiff,UK,31,2,0.06,25.2,24.7,43.9,13.3,0.54,2.6,2
81977,Cardiff,UK,31,2,0.06,23.7,22,48,13.3,0.49,2.6,2
81978,Cardiff,UK,31,2,0.06,21,20.2,49.9,13.3,0.44,3.1,1
81979,Cardiff,UK,31,2,0.06,25.3,25.1,42.6,13.3,0.42,2.6,2
81980,Cardiff,UK,31,2,0.06,22.4,21.1,49,13.3,0.72,2.6,2
81981,Cardiff,UK,31,2,0.06,22,22.5,44.4,13.3,0.59,2.6,2
81982,Cardiff,UK,31,2,0.06,22.4,22.9,44,13.3,0.51,2.6,2
81983,Cardiff,UK,31,1,0.06,23.8,24,52.5,13.3,0.89,2.6,2
81984,Cardiff,UK,31,1,0.06,23.8,24,52.5,13.3,0.63,2.6,0
81985,Cardiff,UK,31,1,0.06,25.3,25.6,49.5,13.3,0.6,3,2
81986,Cardiff,UK,31,1,0.06,23.8,24,52.5,13.3,0.95,2.6,2
81987,Cardiff,UK,31,1,0.06,25.8,25.7,54.2,13.3,0.75,2.6,2
81988,Cardiff,UK,31,2,0.06,23.2,22.4,58.1,13.3,0.53,2.6,-2
81989,Cardiff,UK,31,2,0.06,25.1,25.7,49.5,13.3,0.51,2.6,-2
81990,Cardiff,UK,31,2,0.06,25.9,25.7,50.4,13.3,0.77,2.6,2
81991,Cardiff,UK,31,2,0.06,23.7,22.9,57.5,13.3,1.1,2.6,2
81992,Cardiff,UK,31,2,0.06,23.7,22.9,57.5,13.3,0.68,2.6,2
81993,Cardiff,UK,31,2,0.06,25.1,25.7,49.5,13.3,0.67,2.6,2
81994,Cardiff,UK,31,2,0.06,25.1,25.7,49.5,13.3,0.97,2.6,-2
