,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
45,Sweden,0.1,5,25.6,0.65,1.2,23.6,54.6,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,74.5,24.6,76.3,24.3,75.7,drier,0,0,18.4,65.1,Database 2
46,Sweden,1.3,40,31.47,0.53,2.3,24.3,53.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,75.7,24.9,76.8,24.8,76.6,no change,0,0,18.4,65.1,Database 2
47,Sweden,0.4,9,26.48,0.57,1.2,25.3,50.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,2,cooler,less,77.5,25.9,78.6,25.8,78.4,more humid,2,0,18.4,65.1,Database 2
48,Sweden,0.4,9,26.64,0.57,1.3,25,51.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,77,25.8,78.4,25.6,78.1,no change,0,0,18.4,65.1,Database 2
49,Sweden,0.7,15,28.4,0.69,1.6,23.7,51.3,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,74.7,24.9,76.8,24.6,76.3,no change,0,0,18.4,65.1,Database 2
50,Sweden,1,24,29.78,0.57,1.8,23.5,50.8,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,74.3,25.9,78.6,24.9,76.8,no change,0,19.69,18.4,65.1,Database 2
51,Sweden,0.1,5,25.31,0.57,1.2,24.2,49.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,75.6,25,77,24.7,76.5,no change,0,0,18.4,65.1,Database 2
52,Sweden,0.3,7,26.37,0.65,1.2,24.4,48.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,75.9,25.6,78.1,25.4,77.7,no change,0,0,18.4,65.1,Database 2
53,Sweden,0.3,7,26.26,0.56,1.3,23.9,50.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-1,no change,no change,75,25.9,78.6,25.4,77.7,no change,0,0,18.4,65.1,Database 2
54,Sweden,0.9,20,29.36,0.67,1.7,23.9,51.3,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,75,25.9,78.6,25.2,77.4,no change,0,0,18.4,65.1,Database 2
