,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
10,Philippines,-0.3,6,23.97,0.49,1.2,23.9,41.8,0.08,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,no change,6,75,23.8,74.8,15.32,25.9,78.6,Database 2
11,Philippines,0.1,5,25.89,0.81,1.2,24,41.6,0.12,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,6,75.2,23.7,74.7,24.48,25.9,78.6,Database 2
12,Philippines,-0.1,5,24.39,0.51,1.3,24.1,40.8,0.09,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,more,6,75.5,23.8,74.9,18.21,25.9,78.6,Database 2
13,Philippines,-0.1,5,25.16,0.6,1.3,24,40.8,0.13,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,6,75.3,23.9,75,25.04,25.9,78.6,Database 2
14,Philippines,-0.6,12,23.03,0.45,1.3,24.5,46.6,0.14,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,5,76.2,23.3,73.9,27.31,25.9,78.6,Database 2
15,Philippines,-0.8,18,22.34,0.67,1.1,23.9,47.5,0.48,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,0,less,5,75.1,23.7,74.7,94.67,25.9,78.6,Database 2
16,Philippines,0.1,5,25.62,0.76,1.4,23.4,44.9,0.2,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,warmer,1,no change,5,74.1,22.8,73,38.51,25.9,78.6,Database 2
17,Philippines,-0.2,6,24.56,0.84,1.2,23.4,44.9,0.2,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,5,74.1,22.8,73,38.51,25.9,78.6,Database 2
18,Philippines,-0.3,7,24.38,0.88,1.1,23.4,44.9,0.2,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,cooler,1,no change,5,74.1,22.8,73,38.51,25.9,78.6,Database 2
19,Philippines,0.2,6,26.08,0.76,1.2,23.9,42.7,0.06,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,5,75,24.3,75.8,11.38,25.9,78.6,Database 2
20,Philippines,0.4,9,26.89,0.69,1.3,23.9,42.8,0.07,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,0,cooler,1,more,5,75,24.4,75.8,12.86,25.9,78.6,Database 2
21,Philippines,0.4,8,26.88,0.83,1.2,24.4,41.9,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,4,75.9,24.5,76.2,20.35,25.9,78.6,Database 2
22,Philippines,0.8,19,29,0.73,1.6,24.4,41.9,0.09,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,no change,5,75.9,24.5,76.2,17.29,25.9,78.6,Database 2
23,Philippines,0.2,6,24.96,0.73,1.6,24.1,40.9,0.35,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,cooler,1,no change,6,75.4,23.2,73.7,68.53,25.9,78.6,Database 2
24,Philippines,0.3,7,26.51,0.73,1.3,23.8,38.7,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,2,74.8,23.9,75,19.75,25.9,78.6,Database 2
25,Philippines,-0.1,5,25.06,0.85,1.1,23.6,39.3,0.16,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,4,74.6,23.3,73.9,30.76,25.9,78.6,Database 2
26,Philippines,0.2,6,25.67,0.73,1.4,24.1,40.3,0.08,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,0,less,4,75.4,22.2,71.9,16.3,25.9,78.6,Database 2
27,Philippines,-0.3,7,24.31,0.59,1.2,23.3,42.1,0.15,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,6,73.9,23.4,74.1,29.4,25.9,78.6,Database 2
28,Philippines,0,5,24.96,0.51,1.4,23.6,42.5,0.11,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,5,74.6,23.8,74.8,21.16,25.9,78.6,Database 2
29,Philippines,0,5,25.23,0.73,1.2,23.7,41.8,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,no change,5,74.7,23.7,74.6,19.69,25.9,78.6,Database 2
30,Philippines,-1.9,73,18.82,0.67,1.1,22.2,44.5,0.72,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,cooler,1,less,5,72,21.7,71,141.73,25.9,78.6,Database 2
31,Philippines,-0.4,8,24.05,0.73,1.1,22.2,45.6,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,no change,6,71.9,22.6,72.7,20.18,25.9,78.6,Database 2
32,Philippines,0,5,24.98,0.57,1.4,23.1,41.6,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,cooler,1,more,5,73.6,23.2,73.7,19.75,25.9,78.6,Database 2
33,Philippines,0.1,5,25.91,0.71,1.5,22.7,41.1,0.14,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,cooler,1,more,5,72.8,22.5,72.5,28.42,25.9,78.6,Database 2
34,Philippines,-0.1,5,24.95,0.88,1.1,24.2,39.9,0.25,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,cooler,1,more,5,75.6,23.7,74.7,48.78,25.9,78.6,Database 2
35,Philippines,0.3,6,26.37,0.64,1.4,24,39.8,0.12,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,more,6,75.3,24,75.2,23.56,25.9,78.6,Database 2
36,Philippines,-0.2,6,24.28,0.65,1.2,23.8,39.3,0.07,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,no change,5,74.9,23.2,73.8,12.86,25.9,78.6,Database 2
37,Philippines,-0.3,6,24.12,0.72,1.1,23.9,39.1,0.06,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,cooler,1,no change,5,75,23.1,73.6,11.87,25.9,78.6,Database 2
