,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal comfort,activity_10,activity_20,activity_30,activity_60,Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡F)
74,-0.7,16.0,22.08,0.9,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
75,-1.2,36.0,20.14,0.64,1.3,23.2,29.6,0.56,0.0,4.0,1.6,2.0,1.0,1.0,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
76,-1.3,39.0,20.18,0.69,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
77,-0.8666666666666667,22.333333333333332,21.486666666666665,0.96,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
78,-1.1,32.0,20.65,0.74,1.2,23.2,29.6,0.56,2.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
79,-0.033333333333333326,7.333333333333333,24.733333333333334,0.38,1.2,25.8,50.53333333333333,0.060000000000000005,0.0,5.0,1.2,1.2,1.2,1.2,78.43333333333332,25.8,78.43333333333332,25.266666666666666,77.46666666666667,25.666666666666668,78.13333333333334,26.166666666666668,79.03333333333333,25.733333333333334,78.3,24.833333333333332,76.7,12.013333333333334,0.060000000000000005,12.013333333333334,0.053333333333333344,10.886666666666668,0.023333333333333334,4.32,1.0,0.0,0.0,1.0,0.0,77.0
80,-0.03333333333333333,5.0,24.406666666666666,0.32,1.2,25.766666666666666,50.36666666666667,0.05666666666666667,0.0,6.0,1.6,1.2,1.0,1.2,78.36666666666666,25.766666666666666,78.36666666666666,25.133333333333336,77.26666666666667,25.566666666666666,78.0,25.76666666666667,78.3,25.566666666666663,77.96666666666667,24.433333333333334,76.03333333333333,11.25,0.05666666666666667,11.25,0.036666666666666674,7.406666666666666,0.013333333333333334,2.6633333333333336,1.0,0.0,0.0,1.0,0.0,77.0
81,0.46666666666666673,13.666666666666666,26.05,0.43,1.2,27.13333333333333,57.800000000000004,0.03333333333333333,1.0,5.0,1.2,1.2,1.2,1.2,80.8,27.13333333333333,80.8,25.96666666666667,78.8,27.166666666666668,80.93333333333334,27.100000000000005,80.76666666666667,26.900000000000002,80.36666666666666,25.733333333333334,78.33333333333333,6.56,0.03333333333333333,6.56,0.02666666666666667,5.253333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0
82,-0.9,21.0,22.18,0.54,1.2,23.3,41.3,0.18,0.0,5.0,1.2,1.2,1.2,1.2,74.0,23.3,74.0,22.6,72.6,23.2,73.8,23.0,73.3,22.9,73.2,21.9,71.3,35.43,0.18,35.43,0.04,7.88,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
83,-0.1,5.0,24.93,0.89,1.2,23.3,41.3,0.18,0.0,5.0,1.2,1.2,1.2,1.2,74.0,23.3,74.0,22.6,72.6,23.2,73.8,23.0,73.3,22.9,73.2,21.9,71.3,35.43,0.18,35.43,0.04,7.88,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
84,-0.3,7.0,24.02,0.77,1.2,23.3,41.3,0.18,-1.0,5.0,1.2,1.2,1.2,1.2,74.0,23.3,74.0,22.6,72.6,23.2,73.8,23.0,73.3,22.9,73.2,21.9,71.3,35.43,0.18,35.43,0.04,7.88,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
85,-0.7,15.0,20.75,0.51,1.6,23.5,40.8,0.79,0.0,5.0,1.6,1.6,1.6,1.6,74.3,23.5,74.3,22.8,73.0,23.3,73.9,23.2,73.8,23.1,73.5,21.9,71.5,155.51,0.79,155.51,0.08,15.76,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
86,-1.1,31.0,20.62,0.69,1.2,23.5,40.8,0.79,0.0,5.0,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.8,73.0,23.3,73.9,23.2,73.8,23.1,73.5,21.9,71.5,155.51,0.79,155.51,0.08,15.76,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
87,-1.3,40.0,20.13,0.64,1.2,23.5,40.8,0.79,0.0,4.0,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.8,73.0,23.3,73.9,23.2,73.8,23.1,73.5,21.9,71.5,155.51,0.79,155.51,0.08,15.76,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
88,-0.8,19.0,22.46,0.49,1.2,23.5,39.7,0.14,0.0,5.0,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.8,73.1,23.3,73.9,23.3,74.0,23.1,73.5,21.8,71.3,27.56,0.14,27.56,0.14,27.58,0.1,19.7,0.0,0.0,0.0,1.0,0.0,55.4
89,-0.5,9.0,23.75,0.65,1.2,23.5,39.7,0.14,0.0,5.0,1.2,1.2,1.2,1.2,74.3,23.5,74.3,22.8,73.1,23.3,73.9,23.3,74.0,23.1,73.5,21.8,71.3,27.56,0.14,27.56,0.14,27.58,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
90,-0.8,18.0,22.38,0.43,1.3,23.5,39.7,0.14,0.0,5.0,1.2,1.6,1.2,1.2,74.3,23.5,74.3,22.8,73.1,23.3,73.9,23.3,74.0,23.1,73.5,21.8,71.3,27.56,0.14,27.56,0.14,27.58,0.1,19.7,0.0,1.0,0.0,1.0,0.0,55.4
91,0.3,7.0,23.92,0.86,1.9,23.7,39.0,2.52,0.0,5.0,1.6,2.0,2.0,2.0,74.6,23.7,74.6,23.0,73.3,23.4,74.1,23.4,74.1,23.2,73.8,22.1,71.7,496.06,2.52,496.06,0.18,35.46,0.1,19.7,0.0,0.0,0.0,0.0,0.0,55.4
92,-1.1,30.0,18.62,0.51,1.7,23.7,39.0,2.52,0.0,5.0,1.0,1.0,2.0,2.0,74.6,23.7,74.6,23.0,73.3,23.4,74.1,23.4,74.1,23.2,73.8,22.1,71.7,496.06,2.52,496.06,0.18,35.46,0.1,19.7,0.0,0.0,0.0,1.0,0.0,55.4
93,-1.2,36.0,19.64,0.57,1.3,24.3,34.8,1.29,0.0,5.0,2.0,1.2,1.2,1.2,75.7,24.3,75.7,23.9,74.9,24.0,75.2,23.8,74.8,23.7,74.6,22.7,72.8,253.94,1.29,253.94,0.22,43.34,0.1,19.7,0.0,0.0,0.0,1.0,0.0,55.4
94,-0.5,10.0,22.46,0.92,1.2,24.5,33.0,1.8,1.0,3.0,1.2,1.2,1.2,1.2,76.1,24.5,76.1,23.6,74.5,24.3,75.8,24.3,75.7,24.1,75.5,23.2,73.7,354.33,1.8,354.33,0.18,35.46,0.1,19.7,1.0,0.0,0.0,1.0,0.0,55.4
95,-0.8666666666666667,21.333333333333332,20.61,0.5,1.7,23.566666666666666,39.833333333333336,1.1500000000000001,1.0,5.0,1.2,1.2,1.9,1.9,74.39999999999999,23.566666666666666,74.39999999999999,22.866666666666664,73.13333333333333,23.333333333333332,73.96666666666667,23.3,73.96666666666665,23.133333333333336,73.60000000000001,21.933333333333337,71.5,226.37666666666667,1.1500000000000001,226.37666666666667,0.13333333333333333,26.266666666666666,0.10000000000000002,19.7,0.0,0.0,0.0,1.0,0.0,55.4
96,-0.9333333333333332,24.333333333333332,21.493333333333336,0.71,1.3,23.766666666666666,38.06666666666667,0.5233333333333334,2.0,5.0,1.2,1.6,1.2,1.2,74.76666666666667,23.766666666666666,74.76666666666667,23.166666666666668,73.7,23.53333333333333,74.33333333333334,23.46666666666667,74.26666666666667,23.3,73.86666666666666,22.099999999999998,71.8,103.02,0.5233333333333334,103.02,0.16666666666666666,32.833333333333336,0.10000000000000002,19.7,0.0,0.0,0.0,1.0,0.0,55.4
97,-0.9666666666666667,25.333333333333332,21.426666666666666,0.35,1.2,23.7,38.6,0.5366666666666667,0.0,5.0,1.0,1.2,1.2,1.2,74.66666666666667,23.7,74.66666666666667,23.100000000000005,73.53333333333333,23.5,74.30000000000001,23.366666666666664,74.03333333333335,23.23333333333333,73.76666666666667,22.133333333333336,71.8,105.64333333333333,0.5366666666666667,105.64333333333333,0.13333333333333333,26.266666666666666,0.10000000000000002,19.7,1.0,0.0,0.0,1.0,1.0,55.4
98,-0.5,19.0,22.17,0.43,1.9,23.900000000000002,37.6,1.7033333333333331,1.0,3.0,1.2,2.0,2.0,2.0,74.99999999999999,23.900000000000002,74.99999999999999,23.133333333333336,73.60000000000001,23.666666666666668,74.6,23.633333333333336,74.53333333333333,23.46666666666667,74.26666666666667,22.399999999999995,72.3,335.3,1.7033333333333331,335.3,0.14666666666666667,28.893333333333334,0.10000000000000002,19.7,0.0,0.0,0.0,0.0,0.0,55.4
99,-0.9666666666666667,25.333333333333332,21.426666666666666,0.43,1.2,23.7,38.6,0.5366666666666667,0.0,5.0,1.0,1.2,1.2,1.2,74.66666666666667,23.7,74.66666666666667,23.100000000000005,73.53333333333333,23.5,74.30000000000001,23.366666666666664,74.03333333333335,23.23333333333333,73.76666666666667,22.133333333333336,71.8,105.64333333333333,0.5366666666666667,105.64333333333333,0.13333333333333333,26.266666666666666,0.10000000000000002,19.7,0.0,0.0,0.0,1.0,0.0,55.4
100,-0.9333333333333332,24.333333333333332,21.493333333333336,0.62,1.2,23.766666666666666,38.06666666666667,0.5233333333333333,0.0,5.0,1.2,1.2,1.2,1.2,74.76666666666667,23.766666666666666,74.76666666666667,23.166666666666668,73.7,23.53333333333333,74.33333333333333,23.46666666666667,74.26666666666667,23.3,73.86666666666666,22.099999999999998,71.8,103.02,0.5233333333333333,103.02,0.16666666666666666,32.833333333333336,0.10000000000000002,19.7,0.0,1.0,0.0,1.0,0.0,55.4
101,-0.9666666666666668,27.0,21.070000000000004,0.68,1.1,23.833333333333332,38.199999999999996,1.1266666666666667,1.0,1.0,1.0,1.0,1.0,1.2,74.89999999999999,23.833333333333332,74.89999999999999,23.066666666666666,73.5,23.633333333333336,74.53333333333333,23.566666666666666,74.43333333333334,23.433333333333337,74.16666666666667,22.333333333333332,72.23333333333333,221.7833333333333,1.1266666666666667,221.7833333333333,0.11333333333333334,22.326666666666668,0.10000000000000002,19.7,0.0,0.0,0.0,0.0,0.0,55.4
102,-0.8333333333333334,20.333333333333332,22.183333333333334,0.54,1.2,23.433333333333334,40.6,0.37000000000000005,1.0,5.0,1.2,1.2,1.2,1.2,74.2,23.433333333333334,74.2,22.733333333333334,72.89999999999999,23.266666666666666,73.86666666666666,23.166666666666668,73.7,23.03333333333333,73.39999999999999,21.866666666666664,71.36666666666666,72.83333333333333,0.37000000000000005,72.83333333333333,0.08666666666666667,17.073333333333334,0.10000000000000002,19.7,0.0,0.0,0.0,0.0,0.0,55.4
103,-0.9,23.666666666666668,21.590000000000003,0.56,1.1,23.766666666666666,38.36666666666667,0.9233333333333333,1.0,2.0,1.2,1.2,1.2,1.0,74.8,23.766666666666666,74.8,23.0,73.36666666666666,23.599999999999998,74.5,23.5,74.26666666666667,23.366666666666664,74.06666666666666,22.333333333333332,72.16666666666667,181.75666666666666,0.9233333333333333,181.75666666666666,0.09999999999999999,19.7,0.10000000000000002,19.7,0.0,0.0,0.0,0.0,1.0,55.4
