,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡F)
374,0.9,23.0,29.92,0.92,1.8,23.6,19.6,0.0,0.0,74.5,24.7,76.5,24.6,76.3,0.0,0.0,30.9
375,-0.2,6.0,24.84,0.87,1.2,21.6,22.3,0.1,0.0,70.9,22.6,72.7,22.2,72.0,0.0,19.69,33.0
376,0.5,11.0,27.91,0.88,1.7,21.9,22.0,0.0,0.0,71.4,22.5,72.5,22.3,72.1,1.0,0.0,33.0
377,0.5,10.0,27.86,0.97,1.6,21.9,21.9,0.0,0.0,71.4,23.2,73.8,22.8,73.0,0.0,0.0,33.0
378,0.1,5.0,25.99,1.06,1.2,21.9,20.9,0.0,0.0,71.4,22.7,72.9,22.5,72.5,1.0,0.0,33.0
379,0.4,8.0,27.12,0.98,1.4,22.3,19.8,0.0,0.0,72.1,22.4,72.3,22.4,72.3,1.0,0.0,33.0
380,0.2,6.0,26.52,1.11,1.2,22.4,19.8,0.0,0.0,72.3,22.9,73.2,22.7,72.9,0.0,0.0,33.0
381,0.5,9.0,27.83,0.98,1.6,21.6,20.7,0.0,-1.0,70.9,23.2,73.8,22.9,73.2,0.0,0.0,33.0
382,0.2,6.0,26.7,1.14,1.2,22.1,20.1,0.0,-1.0,71.8,23.1,73.6,22.9,73.2,0.0,0.0,33.0
383,-0.1,5.0,25.3,0.95,1.2,22.1,20.5,0.0,0.0,71.8,22.4,72.3,22.4,72.3,0.0,0.0,33.0
384,-0.2,6.0,24.8,0.87,1.2,22.0,20.8,0.0,0.0,71.6,22.7,72.9,22.5,72.5,0.0,0.0,33.0
385,0.0,5.0,25.12,0.78,1.4,21.9,21.4,0.0,-1.0,71.4,22.1,71.8,22.1,71.8,1.0,0.0,33.0
386,-0.3,7.0,24.32,0.82,1.2,21.8,22.1,0.0,0.0,71.2,22.5,72.5,22.3,72.1,0.0,0.0,33.0
387,-0.1,5.0,25.21,0.95,1.2,21.6,22.1,0.0,0.0,70.9,23.0,73.4,22.5,72.5,0.0,0.0,33.0
388,0.6,11.0,27.36,0.52,2.4,20.1,26.7,0.0,0.0,68.2,20.7,69.3,20.6,69.1,0.0,0.0,33.3
389,0.1,5.0,26.24,1.09,1.3,20.8,26.0,0.0,0.0,69.4,21.5,70.7,21.3,70.3,3.0,0.0,33.3
390,-0.2,6.0,24.36,0.72,1.4,20.7,28.7,0.0,0.0,69.3,21.5,70.7,21.3,70.3,-1.0,0.0,33.3
391,0.3,7.0,27.17,0.79,1.7,18.8,30.5,0.1,0.0,65.8,23.2,73.8,21.4,70.5,1.0,19.69,33.3
392,0.5,10.0,28.12,1.02,1.6,21.7,27.7,0.0,0.0,71.1,22.2,72.0,22.2,72.0,0.0,0.0,33.3
393,0.7,15.0,28.96,0.82,2.0,21.2,25.9,0.0,0.0,70.2,22.1,71.8,22.0,71.6,0.0,0.0,33.3
394,0.5,9.0,27.36,0.76,1.7,22.0,25.4,0.0,0.0,71.6,22.5,72.5,22.5,72.5,1.0,0.0,33.3
395,0.4,9.0,27.23,0.77,1.7,22.2,25.2,0.0,0.0,72.0,22.6,72.7,22.6,72.7,0.0,0.0,33.3
396,0.8,17.0,29.93,1.09,1.8,21.6,25.7,0.0,-2.0,70.9,22.2,72.0,22.1,71.8,1.0,0.0,33.3
