,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
23,Portugal,1.4,46,30.38,0.72,1.2,28.3,48.7,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,less,82.9,28.7,83.7,28.7,83.7,no change,0,0,18.9,66,Database 2
24,Portugal,1,28,29.05,0.56,1.3,26.9,52.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,no change,80.4,27.8,82,27.7,81.9,drier,-2,0,18.9,66,Database 2
25,Portugal,1.1,32,29.58,0.72,1.2,27,53.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,less,80.6,27.7,81.9,27.7,81.9,no change,0,0,18.9,66,Database 2
26,Portugal,1.5,49,32.28,0.54,2,26.1,57.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,less,79,27,80.6,27,80.6,no change,0,0,18.9,66,Database 2
27,Portugal,1.7,63,33.84,0.66,2,27.6,52.6,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,less,81.7,27.8,82,27.8,82,no change,0,0,18.9,66,Database 2
28,Portugal,1.5,52,32.51,0.6,1.8,27,55.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,less,80.6,28.2,82.8,28.1,82.6,drier,-2,0,18.9,66,Database 2
29,Portugal,0.3,7,26.57,0.73,1.2,23.4,66.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,74.1,24.4,75.9,24.3,75.7,no change,0,0,18.7,65.6,Database 2
30,Portugal,0.5,11,27.15,0.65,1.2,25.1,55.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,cooler,less,77.2,25.7,78.3,25.7,78.3,no change,0,0,18.7,65.6,Database 2
31,Portugal,0.2,6,25.88,0.59,1.2,23.8,59.1,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,-1,warmer,no change,74.8,25.2,77.4,25.2,77.4,no change,0,0,18.7,65.6,Database 2
32,Portugal,1.1,28,29.62,0.41,1.9,25.1,57,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,less,77.2,26.2,79.2,26.2,79.2,no change,0,0,18.7,65.6,Database 2
