PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation
0,5,25.62,0.7,1,25.1,50,0.22,-1
0.5,10,27.35,0.97,1,25.1,50,0.22,-1
0.6,13,27.8,0.95,1,25.2,50,0.09,-1
0.3,7,26.34,0.72,1,25.2,50,0.09,1
0.6,14,27.92,0.97,1,25.2,50,0.09,-2
0.4,8,26.44,0.75,1,25.7,50,0.01,-2
0.2,6,25.69,0.64,1,25.7,50,0.01,0
0.4,9,26.57,0.7,1,25.7,50,0.02,0
0.3,7,26.16,0.64,1,25.7,50,0.02,-1
0.4,9,26.57,0.7,1,25.7,50,0.02,-2
0.4,9,26.57,0.7,1,25.7,50,0.02,-1
0.3,7,26.16,0.64,1,25.7,50,0.02,0
0.4,9,26.57,0.7,1,25.7,50,0.02,-1
-0.3,7,24.1,0.72,1,25.6,50,0.54,-1
1,26,28.29,0.72,1,27.8,46,0.02,-1
1.7,60,32.9,0.59,2,27.8,46,0.02,2
0.9,23,27.92,0.66,1,27.8,46,0.02,1
1,26,28.29,0.72,1,27.8,46,0.02,2
1,26,28.29,0.72,1,27.8,46,0.02,-1
0.6,12,26.91,0.7,1,26.9,39,0.04,1
0.6,12,26.91,0.7,1,26.9,39,0.04,-1
0.6,12,26.91,0.7,1,26.9,39,0.04,2
0.5,10,26.54,0.64,1,26.9,39,0.04,2
0.6,12,26.91,0.7,1,26.9,39,0.04,2
0.7,14,27.16,0.7,1,27.4,43,0.03,2
0.9,20,28.02,0.84,1,27.4,43,0.03,2
1,26,28.78,0.97,1,27.4,43,0.03,2
1,26,28.78,0.97,1,27.4,43,0.03,2
0.6,13,26.91,0.66,1,27.4,43,0.03,0
0.6,13,26.91,0.66,1,27.4,43,0.03,0
0.7,15,27.29,0.72,1,27.4,43,0.03,1
0.8,18,27.52,0.72,1,27.5,43,0.01,2
0.8,18,27.38,0.7,1,28,48,0.24,1
0.8,18,27.38,0.7,1,28,48,0.24,-1
1.1,29,28.27,0.64,1,28.6,46,0.01,-1
0.6,13,26.19,0.7,1,28.3,50,0.59,2
0.6,13,26.19,0.7,1,28.3,50,0.59,2
0.6,13,27.17,0.66,1,27.6,46,0.18,2
0.6,13,27.17,0.66,1,27.6,46,0.18,1
0.7,14,27.06,0.64,1,27.2,43,0.02,1
0.7,17,27.44,0.7,1,27.2,43,0.02,1
0.7,14,27.06,0.64,1,27.2,43,0.02,0
0.7,14,27.06,0.64,1,27.2,43,0.02,1
0.7,17,27.44,0.7,1,27.2,43,0.02,2
0.1,5,25.39,0.66,1,25.3,50,0.04,0
0,5,25.25,0.64,1,25.3,50,0.04,1
0.2,5,25.67,0.7,1,25.3,50,0.04,1
0.2,6,26.01,0.75,1,25.3,50,0.04,-1
0.2,6,25.81,0.72,1,25.3,50,0.04,-1
0.2,5,25.67,0.7,1,25.3,50,0.04,2
0.2,6,26.01,0.75,1,25.3,50,0.04,0
0.2,5,25.67,0.7,1,25.3,50,0.04,0
0.2,6,26.01,0.75,1,25.3,50,0.04,0
1.2,36,28.86,0.72,1,28.6,42,0.05,1
1.2,36,28.86,0.72,1,28.6,42,0.05,1
1.2,36,28.86,0.72,1,28.6,42,0.05,0
1.2,36,28.86,0.72,1,28.6,42,0.05,2
1.2,36,28.86,0.72,1,28.6,42,0.05,2
1.2,33,28.51,0.66,1,28.6,42,0.05,2
1.2,36,28.86,0.72,1,28.6,42,0.05,2
1,26,28.15,0.7,1,28.3,44,0.04,2
1,27,28.27,0.72,1,28.3,44,0.04,2
1,27,28.27,0.72,1,28.3,44,0.04,2
1,27,28.27,0.72,1,28.3,44,0.04,0
1,27,28.27,0.72,1,28.3,44,0.04,1
0.9,24,27.91,0.66,1,28.3,44,0.04,2
1,27,28.27,0.72,1,28.3,44,0.04,0
0.6,12,26.93,0.72,1,27.1,42,0.08,0
0.6,12,26.93,0.72,1,27.1,42,0.08,2
0.6,12,26.93,0.72,1,27.1,42,0.08,0
0.6,12,26.93,0.72,1,27.1,42,0.08,-1
0.6,12,26.93,0.72,1,27.1,42,0.08,0
0.6,12,26.93,0.72,1,27.1,42,0.08,-2
0.7,15,27.76,0.64,1,27,43,0.14,-1
0.8,18,28.12,0.7,1,27,43,0.14,-1
0.8,19,28.23,0.72,1,27,43,0.14,-2
1.1,30,29.63,0.97,1,27,43,0.14,1
0.8,19,28.23,0.72,1,27,43,0.14,-1
0.8,17,28,0.68,1,27,43,0.14,-2
0.3,8,26.46,0.72,1,26.7,59,0.1,-2
0.3,7,26.31,0.7,1,26.7,59,0.1,2
0.3,7,26.31,0.7,1,26.7,59,0.1,2
0.2,6,25.86,0.64,1,26.7,59,0.1,2
0.2,6,25.93,0.65,1,26.7,59,0.1,2
-0.2,6,25.59,0.64,1,20.8,59,0.05,-1
-0.2,6,25.72,0.66,1,20.8,59,0.05,2
-0.1,5,25.98,0.7,1,20.8,59,0.05,0
-0.3,6,25.45,0.62,1,20.8,59,0.05,0
-0.1,5,26.11,0.72,1,20.8,59,0.05,-1
-0.1,5,26.11,0.72,1,20.8,59,0.05,1
-0.2,6,25.72,0.66,1,20.8,59,0.05,2
0.1,5,25.26,0.64,1,26.9,60,0.08,-1
0.1,5,25.42,0.66,1,26.9,60,0.08,1
1,26,28.86,0.72,1,27.2,69,0.03,1
1,26,28.86,0.72,1,27.2,69,0.03,1
1,28,29.07,0.75,1,27.2,69,0.03,0
1,28,29.07,0.75,1,27.2,69,0.03,0
0.9,21,28.27,0.64,1,27.2,69,0.03,-1
1,25,28.71,0.7,1,27.2,69,0.03,-1
2.3,88,33.68,0.72,1,31.6,66,0.15,2
2.3,87,33.56,0.7,1,31.6,66,0.15,2
