Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.94,29.3,23.83333333,58,28,0.42,1.2,22,25.79,2,Tunisia
0.22,30.8,25.3,66,28,0.48,1.2,75,31.67,0,Tunisia
0.19,30.8,26.1,67,28,0.45,1,77,31.24,0,Tunisia
0.17,30.8,25.2,67.6,28,0.42,1.3,78,32.96,2,Tunisia
0.25,32.6,25.3,51.5,28,0.5,1.1,94,31.4,2,Tunisia
0.65,32,25.4,51.5,28,0.49,1.1,81,28.78,2,Tunisia
0.42,31.9,25.8,53,28,0.49,1.2,81,30.08,2,Tunisia
0.19,22.2,25.9,63,28,0.42,1.1,32,22.39,0,Tunisia
0.23,26.6,24.9,53,28,0.47,1.1,6,25.44,0,Tunisia
0.08,28.5,25.4,52,28,0.35,1.3,38,28.96,1,Tunisia
0.1,24.4,25.4,60,28,0.37,1.1,6,24.29,0,Tunisia
0.15,16.93333333,26.56666667,64,13,1.4,1,30.66666667,23.55333333,0,Tunisia
0.11,16.8,26.3,65,13,1.34,1.6,6,28.18,2,Tunisia
0.1,16.93333333,25.7,58,13,1.23,1,30.66666667,23.55333333,-2,Tunisia
0.14,18.9,26.3,52,13,0.79,1,70,19.84,0,Tunisia
0.11,16.93333333,26.6,63,13,0.84,1,30.66666667,23.55333333,-2,Tunisia
0.17,16.93333333,26.8,64,13,0.72,1.6,30.66666667,23.55333333,-2,Tunisia
0.15,16.93333333,22.5,64,13,0.82,1,30.66666667,23.55333333,-2,Tunisia
0.08,16.93333333,21.9,55.5,13,1.13,1.6,30.66666667,23.55333333,0,Tunisia
0.11,16.93333333,22.4,60,13,1.55,1.2,30.66666667,23.55333333,0,Tunisia
0.11,16.93333333,20.1,65,13,0.67,1.6,30.66666667,23.55333333,-2,Tunisia
0.1,15.1,19.5,59,13,1.42,1.2,16,22.64,0,Tunisia
0.33,16.93333333,21.9,62,13,0.72,1.2,30.66666667,23.55333333,0,Tunisia
0.13,15.8,22.8,62,13,0.88,1,15.66666667,24.07333333,0,Tunisia
0.1,15.8,21.9,61,13,1.04,1.2,15.66666667,24.07333333,-2,Tunisia
0.1,16.5,22.6,57,13,1.06,1.6,37,21.29333333,-2,Tunisia
