Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.03,21.7,25.6,46.7,13,1.12,1.3,8,27.7,-2,Australia
0.06,21.7,25.6,46.7,13,0.49,1,61,20.43,0,Australia
0.07,21.5,25.6,48.4,13,0.68,1.2,13,22.9,0,Australia
0.08,21,25.6,49,13,0.46,1,81,19.33,0,Australia
0.1,21.9,25.6,50.1,13,0.87,1.5,7,27,1,Australia
0.06,18.6,25.6,56.3,13,0.89,1.1,30,21.31,-2,Australia
0.08,19.7,25.6,51.5,13,1.15,1.6,8,28.21,-1,Australia
0.12,20.3,25.6,48.7,13,0.71,1.3,12,23.2,1,Australia
0.13,20.8,25.6,50.8,13,0.67,1.3,9,24.1,1,Australia
0.08,21.3,25.6,49.5,13,0.41,1.1,56,20.24,0,Australia
0.07,19.8,25.6,52.8,13,0.43,1.3,48,20.07,0,Australia
0.1,19.7,25.6,52.8,13,0.94,1.1,15,22.86,0,Australia
0.09,21.2,25.6,49.3,13,0.55,1.1,35,21.26,2,Australia
0.05,20.3,25.6,52.6,13,0.71,1.1,27,21.63,-1,Australia
0.11,21.2,25.6,52.4,13,1.16,1.1,5,25.94,-2,Australia
0.08,27.4,25.6,26.7,13,0.42,1.1,11,26.13,0,Australia
0.07,20.3,25.6,36.7,13,0.43,1.3,45,20.37,0,Australia
0.08,21.3,25.6,36.1,13,0.9,1.1,10,23.62,-2,Australia
0.12,23,25.6,30.3,13,0.98,1.2,5,26.06,0,Australia
0.08,21.9,25.6,34.1,13,0.75,1.3,6,24.33,-1,Australia
0.11,21.6,25.6,32.1,13,0.88,1.4,5,25.87,-1,Australia
0.15,21.1,25.6,32.8,13,0.91,1.4,5,25.51,-1,Australia
0.1,19.6,25.6,37.6,13,0.88,1.2,13,23.1,-1,Australia
0.07,21.3,25.6,35.6,13,0.81,1.3,6,24.58,0,Australia
0.1,24.4,25.6,29.7,13,0.8,1.1,8,26.72,-2,Australia
0.09,20.9,25.6,35.8,13,0.84,1.2,10,23.46,-2,Australia
0.07,21.6,25.6,33.8,13,0.77,1.1,14,23.04,-1,Australia
0.05,19.1,25.6,50.1,13,1.16,1.1,12,23.28,-2,Australia
0.1,19.5,25.6,43.6,13,0.91,1.1,18,22.57,0,Australia
0.12,21.5,25.6,41.9,13,0.77,1.2,15,22.83,0,Australia
