,loss,accuracy,weighted_accuracy,val_loss,val_accuracy,val_weighted_accuracy
2,0.8684196829795837,0.6610653936862946,0.6610653936862946,0.8722728967666626,0.6659669995307922,0.6659669995307922
3,0.8456377297639847,0.6717318594455719,0.6717318594455719,0.877106922864914,0.6633686244487762,0.6633686244487762
4,0.8370214730501175,0.6799298703670502,0.6799298703670502,0.8659039735794067,0.6766393423080445,0.6766393423080445
0,0.9847762286663055,0.6072236597537994,0.6072236597537994,0.869938725233078,0.6643086045980453,0.6643086045980453
1,0.8270481169223786,0.6961096227169037,0.6961096227169037,0.8041359096765518,0.7190649390220643,0.7190649390220643
2,0.7681006759405136,0.7293347895145417,0.7293347895145417,0.7815357714891433,0.7243566155433655,0.7243566155433655
3,0.7484112232923508,0.7444617092609406,0.7444617092609406,0.7607524961233139,0.7396829664707184,0.7396829664707184
4,0.7273909628391266,0.7494188070297241,0.7494188070297241,0.7564410597085953,0.7397814393043518,0.7397814393043518
0,0.860788083076477,0.6890317738056183,0.6890317738056183,0.7865614295005798,0.7288402497768403,0.7288402497768403
1,0.727473822236061,0.7531421601772308,0.7531421601772308,0.7259984344244004,0.754233306646347,0.754233306646347
2,0.701407128572464,0.7629841983318328,0.7629841983318328,0.7305477857589722,0.7521270275115967,0.7521270275115967
3,0.6882057040929794,0.7674060881137847,0.7674060881137847,0.7246915608644485,0.7564311027526855,0.7564311027526855
4,0.6794661909341813,0.772032618522644,0.772032618522644,0.7186451137065888,0.75794997215271,0.75794997215271
0,0.8062949776649475,0.7164541780948639,0.7164541780948639,0.7417313128709793,0.7479894518852234,0.7479894518852234
1,0.7061116904020309,0.7610555112361908,0.7610555112361908,0.7251694738864899,0.7531113505363465,0.7531113505363465
2,0.6779899090528488,0.771225905418396,0.771225905418396,0.7265412151813507,0.7525664508342743,0.7525664508342743
3,0.6722856044769288,0.7698321163654327,0.7698321163654327,0.7334638476371765,0.7446288943290711,0.7446288943290711
4,0.6765922695398331,0.7700684666633606,0.7700684666633606,0.7229832530021667,0.7560734033584595,0.7560734033584595
0,0.7887290418148041,0.7253767490386963,0.7253767490386963,0.742516177892685,0.749216514825821,0.749216514825821
1,0.6934368163347244,0.770934671163559,0.770934671163559,0.7303884714841843,0.7552983582019805,0.7552983582019805
2,0.6820646822452545,0.7709625720977783,0.7709625720977783,0.720489901304245,0.7630383968353271,0.7630383968353271
3,0.6660790741443634,0.7776390433311462,0.7776390433311462,0.7048871845006943,0.7643669664859771,0.7643669664859771
4,0.6519650757312775,0.7823248267173767,0.7823248267173767,0.7411785125732422,0.750244814157486,0.750244814157486
0,0.7806613326072693,0.7289644777774811,0.7289644777774811,0.7503785371780396,0.7464701294898987,0.7464701294898987
1,0.6821595013141633,0.7680459558963776,0.7680459558963776,0.7094822198152542,0.7596564829349518,0.7596564829349518
2,0.6605826705694199,0.7790707051753998,0.7790707051753998,0.7082506358623505,0.7633868932724,0.7633868932724
