,loss,accuracy,weighted_accuracy,val_loss,val_accuracy,val_weighted_accuracy
4,1.2527067065238953,0.49290376901626587,0.49290376901626587,1.2615365445613862,0.5041772067546845,0.5041772067546845
0,1.3015973687171936,0.47315778732299807,0.47315778732299807,1.2722521781921388,0.4973004937171936,0.4973004937171936
1,1.2546860933303834,0.49241356253623964,0.49241356253623964,1.267224282026291,0.493701633810997,0.493701633810997
2,1.2565092086791991,0.4885374903678894,0.4885374903678894,1.2498030364513397,0.4953541338443756,0.4953541338443756
3,1.24148690700531,0.4991969734430313,0.4991969734430313,1.2631369352340698,0.5011612474918365,0.5011612474918365
4,1.2476947784423829,0.4912328153848648,0.4912328153848648,1.2546696722507478,0.49908786714076997,0.49908786714076997
0,1.2958728432655335,0.47462765127420425,0.47462765127420425,1.2523613750934601,0.4969679653644562,0.4969679653644562
1,1.2488838672637939,0.49824478924274446,0.49824478924274446,1.2427901387214662,0.5022456496953964,0.5022456496953964
2,1.2332568526268006,0.5002984821796417,0.5002984821796417,1.2365970075130464,0.5110660046339035,0.5110660046339035
3,1.2342479467391967,0.49855982065200805,0.49855982065200805,1.2278291225433349,0.5142128348350525,0.5142128348350525
4,1.2264755725860597,0.5078014999628067,0.5078014999628067,1.2223488092422485,0.5055215120315552,0.5055215120315552
0,1.2659198641777039,0.49043872356414797,0.49043872356414797,1.2535813689231872,0.49365189373493196,0.49365189373493196
1,1.2291277050971985,0.5014596372842789,0.5014596372842789,1.238475900888443,0.5061975419521332,0.5061975419521332
2,1.2265745162963868,0.5055171430110932,0.5055171430110932,1.2287183582782746,0.511564302444458,0.511564302444458
3,1.221071994304657,0.5020433753728867,0.5020433753728867,1.2259893000125885,0.5092674642801285,0.5092674642801285
4,1.2191229701042174,0.4999162495136261,0.4999162495136261,1.249244749546051,0.4987069606781006,0.4987069606781006
0,1.244532322883606,0.494465759396553,0.494465759396553,1.2282290577888488,0.5067394703626633,0.5067394703626633
1,1.2149500846862793,0.5037441194057465,0.5037441194057465,1.2194042205810547,0.5134294122457504,0.5134294122457504
2,1.2118121981620789,0.5072074264287949,0.5072074264287949,1.2297186017036439,0.5160633027553558,0.5160633027553558
3,1.207591986656189,0.5068704545497894,0.5068704545497894,1.226853108406067,0.5079151004552841,0.5079151004552841
4,1.2055539727210998,0.5089419513940812,0.5089419513940812,1.2128363013267518,0.5180219829082489,0.5180219829082489
0,1.2411477208137511,0.49452520310878756,0.49452520310878756,1.2267862796783446,0.5078246235847473,0.5078246235847473
1,1.220720684528351,0.5061543881893158,0.5061543881893158,1.2169971883296966,0.5092608153820037,0.5092608153820037
2,1.2124175906181336,0.5050603687763214,0.5050603687763214,1.2206244468688965,0.5154270499944686,0.5154270499944686
3,1.2103071689605713,0.5086763471364975,0.5086763471364975,1.221642553806305,0.5192855834960938,0.5192855834960938
4,1.2080162167549133,0.5086690843105316,0.5086690843105316,1.2120244681835175,0.5181027054786682,0.5181027054786682
0,1.240026557445526,0.4976581037044525,0.4976581037044525,1.2389295816421508,0.5049099832773208,0.5049099832773208
1,1.2123156666755677,0.5087246149778366,0.5087246149778366,1.218550729751587,0.5181294828653336,0.5181294828653336
2,1.2120093703269958,0.5060764878988266,0.5060764878988266,1.2215565145015717,0.5011922150850296,0.5011922150850296
3,1.2073833465576171,0.5030042171478272,0.5030042171478272,1.2149220049381255,0.5083514720201492,0.5083514720201492
4,1.2000087678432465,0.5082042932510376,0.5082042932510376,1.2143361151218415,0.5140316039323807,0.5140316039323807
0,1.2369686245918274,0.49265722930431366,0.49265722930431366,1.2199752449989318,0.5040407210588456,0.5040407210588456
1,1.2110997080802917,0.5044804096221924,0.5044804096221924,1.2085478901863098,0.5146759301424026,0.5146759301424026
2,1.2018012583255768,0.5037167817354202,0.5037167817354202,1.2146942079067231,0.5131628274917602,0.5131628274917602
3,1.2026495456695556,0.503312474489212,0.503312474489212,1.2121853947639465,0.5000651091337204,0.5000651091337204
4,1.1899103462696075,0.5066683530807495,0.5066683530807495,1.2128641784191132,0.5148044466972351,0.5148044466972351
